accession,gsm,title,organism,genotype,cell_type_sorted,tissue,instrument,alignment
GSE310335,GSM9294138,Control organoids S51,Homo sapiens,,,lung,Illumina NovaSeq 6000,"The demultiplexing, barcoded processing, gene counting and aggregation were made using the Cell Ranger software v5.0.1 (https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/what-is-cell-ranger) | Assembly: GRCh38 | Supplementary files format and content: Tab-seperated values files and matrix files"
GSE310335,GSM9294139,Control organoids S52,Homo sapiens,,,lung,Illumina NovaSeq 6000,"The demultiplexing, barcoded processing, gene counting and aggregation were made using the Cell Ranger software v5.0.1 (https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/what-is-cell-ranger) | Assembly: GRCh38 | Supplementary files format and content: Tab-seperated values files and matrix files"
GSE310335,GSM9294140,Control organoids S17,Homo sapiens,,,lung,Illumina NovaSeq 6000,"The demultiplexing, barcoded processing, gene counting and aggregation were made using the Cell Ranger software v5.0.1 (https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/what-is-cell-ranger) | Assembly: GRCh38 | Supplementary files format and content: Tab-seperated values files and matrix files"
GSE310335,GSM9294141,Control organoids S18,Homo sapiens,,,lung,Illumina NovaSeq 6000,"The demultiplexing, barcoded processing, gene counting and aggregation were made using the Cell Ranger software v5.0.1 (https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/what-is-cell-ranger) | Assembly: GRCh38 | Supplementary files format and content: Tab-seperated values files and matrix files"
GSE310335,GSM9294142,Control organoids S19,Homo sapiens,,,lung,Illumina NovaSeq 6000,"The demultiplexing, barcoded processing, gene counting and aggregation were made using the Cell Ranger software v5.0.1 (https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/what-is-cell-ranger) | Assembly: GRCh38 | Supplementary files format and content: Tab-seperated values files and matrix files"
GSE310335,GSM9294143,Control organoids S20,Homo sapiens,,,lung,Illumina NovaSeq 6000,"The demultiplexing, barcoded processing, gene counting and aggregation were made using the Cell Ranger software v5.0.1 (https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/what-is-cell-ranger) | Assembly: GRCh38 | Supplementary files format and content: Tab-seperated values files and matrix files"
GSE310335,GSM9294144,KrasG12D-transduced organoids S53,Homo sapiens,,,lung,Illumina NovaSeq 6000,"The demultiplexing, barcoded processing, gene counting and aggregation were made using the Cell Ranger software v5.0.1 (https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/what-is-cell-ranger) | Assembly: GRCh38 | Supplementary files format and content: Tab-seperated values files and matrix files"
GSE310335,GSM9294145,KrasG12D-transduced organoids S54,Homo sapiens,,,lung,Illumina NovaSeq 6000,"The demultiplexing, barcoded processing, gene counting and aggregation were made using the Cell Ranger software v5.0.1 (https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/what-is-cell-ranger) | Assembly: GRCh38 | Supplementary files format and content: Tab-seperated values files and matrix files"
GSE310335,GSM9294146,KrasG12D-transduced organoids S55,Homo sapiens,,,lung,Illumina NovaSeq 6000,"The demultiplexing, barcoded processing, gene counting and aggregation were made using the Cell Ranger software v5.0.1 (https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/what-is-cell-ranger) | Assembly: GRCh38 | Supplementary files format and content: Tab-seperated values files and matrix files"
GSE310335,GSM9294147,KrasG12D-transduced organoids S56,Homo sapiens,,,lung,Illumina NovaSeq 6000,"The demultiplexing, barcoded processing, gene counting and aggregation were made using the Cell Ranger software v5.0.1 (https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/what-is-cell-ranger) | Assembly: GRCh38 | Supplementary files format and content: Tab-seperated values files and matrix files"
GSE310335,GSM9294148,KrasG12D-transduced organoids S21,Homo sapiens,,,lung,Illumina NovaSeq 6000,"The demultiplexing, barcoded processing, gene counting and aggregation were made using the Cell Ranger software v5.0.1 (https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/what-is-cell-ranger) | Assembly: GRCh38 | Supplementary files format and content: Tab-seperated values files and matrix files"
GSE310335,GSM9294149,KrasG12D-transduced organoids S22,Homo sapiens,,,lung,Illumina NovaSeq 6000,"The demultiplexing, barcoded processing, gene counting and aggregation were made using the Cell Ranger software v5.0.1 (https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/what-is-cell-ranger) | Assembly: GRCh38 | Supplementary files format and content: Tab-seperated values files and matrix files"
GSE310335,GSM9294150,KrasG12D-transduced organoids S23,Homo sapiens,,,lung,Illumina NovaSeq 6000,"The demultiplexing, barcoded processing, gene counting and aggregation were made using the Cell Ranger software v5.0.1 (https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/what-is-cell-ranger) | Assembly: GRCh38 | Supplementary files format and content: Tab-seperated values files and matrix files"
GSE310335,GSM9294151,KrasG12D-transduced organoids S24,Homo sapiens,,,lung,Illumina NovaSeq 6000,"The demultiplexing, barcoded processing, gene counting and aggregation were made using the Cell Ranger software v5.0.1 (https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/what-is-cell-ranger) | Assembly: GRCh38 | Supplementary files format and content: Tab-seperated values files and matrix files"
GSE247505,GSM7890829,Expt1_Confetti RFP,Mus musculus,Sftpc-CreERT2; R26R-Confetti,Lineage-labelled AT2-derived,Distal lung,Illumina NovaSeq 6000,"Quality of fastq files was assessed with FastQC v0.11.3, MultiQC v1.8. | Alignment and protein-coding gene quantification was performed using 10x cellranger v3.1.0 | Assembly: GRCm38 | Supplementary files format and content: Tab-separated value files and matrix files"
GSE247505,GSM7890830,Expt1_Confetti YFP,Mus musculus,Sftpc-CreERT2; R26R-Confetti,Lineage-labelled AT2-derived,Distal lung,Illumina NovaSeq 6000,"Quality of fastq files was assessed with FastQC v0.11.3, MultiQC v1.8. | Alignment and protein-coding gene quantification was performed using 10x cellranger v3.1.0 | Assembly: GRCm38 | Supplementary files format and content: Tab-separated value files and matrix files"
GSE247505,GSM7890831,Expt1_4d RFP r1,Mus musculus,Sftpc-CreERT2; Red2Kras,Lineage-labelled AT2-derived,Distal lung,Illumina NovaSeq 6000,"Quality of fastq files was assessed with FastQC v0.11.3, MultiQC v1.8. | Alignment and protein-coding gene quantification was performed using 10x cellranger v3.1.0 | Assembly: GRCm38 | Supplementary files format and content: Tab-separated value files and matrix files"
GSE247505,GSM7890832,Expt1_4d RFP r2,Mus musculus,Sftpc-CreERT2; Red2Kras,Lineage-labelled AT2-derived,Distal lung,Illumina NovaSeq 6000,"Quality of fastq files was assessed with FastQC v0.11.3, MultiQC v1.8. | Alignment and protein-coding gene quantification was performed using 10x cellranger v3.1.0 | Assembly: GRCm38 | Supplementary files format and content: Tab-separated value files and matrix files"
GSE247505,GSM7890833,Expt1_4d YFP r1,Mus musculus,Sftpc-CreERT2; Red2Kras,Lineage-labelled AT2-derived,Distal lung,Illumina NovaSeq 6000,"Quality of fastq files was assessed with FastQC v0.11.3, MultiQC v1.8. | Alignment and protein-coding gene quantification was performed using 10x cellranger v3.1.0 | Assembly: GRCm38 | Supplementary files format and content: Tab-separated value files and matrix files"
GSE247505,GSM7890834,Expt1_4d YFP r2,Mus musculus,Sftpc-CreERT2; Red2Kras,Lineage-labelled AT2-derived,Distal lung,Illumina NovaSeq 6000,"Quality of fastq files was assessed with FastQC v0.11.3, MultiQC v1.8. | Alignment and protein-coding gene quantification was performed using 10x cellranger v3.1.0 | Assembly: GRCm38 | Supplementary files format and content: Tab-separated value files and matrix files"
GSE247505,GSM7890835,Expt1_2w RFP r1,Mus musculus,Sftpc-CreERT2; Red2Kras,Lineage-labelled AT2-derived,Distal lung,Illumina NovaSeq 6000,"Quality of fastq files was assessed with FastQC v0.11.3, MultiQC v1.8. | Alignment and protein-coding gene quantification was performed using 10x cellranger v3.1.0 | Assembly: GRCm38 | Supplementary files format and content: Tab-separated value files and matrix files"
GSE247505,GSM7890836,Expt1_2w RFP r2,Mus musculus,Sftpc-CreERT2; Red2Kras,Lineage-labelled AT2-derived,Distal lung,Illumina NovaSeq 6000,"Quality of fastq files was assessed with FastQC v0.11.3, MultiQC v1.8. | Alignment and protein-coding gene quantification was performed using 10x cellranger v3.1.0 | Assembly: GRCm38 | Supplementary files format and content: Tab-separated value files and matrix files"
GSE247505,GSM7890837,Expt1_2w YFP r1,Mus musculus,Sftpc-CreERT2; Red2Kras,Lineage-labelled AT2-derived,Distal lung,Illumina NovaSeq 6000,"Quality of fastq files was assessed with FastQC v0.11.3, MultiQC v1.8. | Alignment and protein-coding gene quantification was performed using 10x cellranger v3.1.0 | Assembly: GRCm38 | Supplementary files format and content: Tab-separated value files and matrix files"
GSE247505,GSM7890838,Expt1_2w YFP r2,Mus musculus,Sftpc-CreERT2; Red2Kras,Lineage-labelled AT2-derived,Distal lung,Illumina NovaSeq 6000,"Quality of fastq files was assessed with FastQC v0.11.3, MultiQC v1.8. | Alignment and protein-coding gene quantification was performed using 10x cellranger v3.1.0 | Assembly: GRCm38 | Supplementary files format and content: Tab-separated value files and matrix files"
GSE247505,GSM7890839,Expt2_Confetti RFP r1,Mus musculus,Sftpc-CreERT2; R26R-Confetti,Lineage-labelled AT2-derived,Distal lung,Illumina NovaSeq 6000,"Quality of fastq files was assessed with FastQC v0.11.3, MultiQC v1.8. | Alignment and protein-coding gene quantification was performed using 10x cellranger v3.1.0 | Assembly: GRCm38 | Supplementary files format and content: Tab-separated value files and matrix files"
GSE247505,GSM7890840,Expt2_Confetti RFP r2,Mus musculus,Sftpc-CreERT2; R26R-Confetti,Lineage-labelled AT2-derived,Distal lung,Illumina NovaSeq 6000,"Quality of fastq files was assessed with FastQC v0.11.3, MultiQC v1.8. | Alignment and protein-coding gene quantification was performed using 10x cellranger v3.1.0 | Assembly: GRCm38 | Supplementary files format and content: Tab-separated value files and matrix files"
GSE247505,GSM7890841,Expt2_2w het RFP r1,Mus musculus,Il1r1+/-; Sftpc-CreERT2; Red2Kras,Lineage-labelled AT2-derived,Distal lung,Illumina NovaSeq 6000,"Quality of fastq files was assessed with FastQC v0.11.3, MultiQC v1.8. | Alignment and protein-coding gene quantification was performed using 10x cellranger v3.1.0 | Assembly: GRCm38 | Supplementary files format and content: Tab-separated value files and matrix files"
GSE247505,GSM7890842,Expt2_2w het RFP r2,Mus musculus,Il1r1+/-; Sftpc-CreERT2; Red2Kras,Lineage-labelled AT2-derived,Distal lung,Illumina NovaSeq 6000,"Quality of fastq files was assessed with FastQC v0.11.3, MultiQC v1.8. | Alignment and protein-coding gene quantification was performed using 10x cellranger v3.1.0 | Assembly: GRCm38 | Supplementary files format and content: Tab-separated value files and matrix files"
GSE247505,GSM7890843,Expt2_2w hom RFP r1,Mus musculus,Il1r1-/-; Sftpc-CreERT2; Red2Kras,Lineage-labelled AT2-derived,Distal lung,Illumina NovaSeq 6000,"Quality of fastq files was assessed with FastQC v0.11.3, MultiQC v1.8. | Alignment and protein-coding gene quantification was performed using 10x cellranger v3.1.0 | Assembly: GRCm38 | Supplementary files format and content: Tab-separated value files and matrix files"
GSE247505,GSM7890844,Expt2_2w hom RFP r2,Mus musculus,Il1r1-/-; Sftpc-CreERT2; Red2Kras,Lineage-labelled AT2-derived,Distal lung,Illumina NovaSeq 6000,"Quality of fastq files was assessed with FastQC v0.11.3, MultiQC v1.8. | Alignment and protein-coding gene quantification was performed using 10x cellranger v3.1.0 | Assembly: GRCm38 | Supplementary files format and content: Tab-separated value files and matrix files"
GSE247505,GSM7890845,Expt2_12w het RFP r1,Mus musculus,Il1r1+/-; Sftpc-CreERT2; Red2Kras,Lineage-labelled AT2-derived,Distal lung,Illumina NovaSeq 6000,"Quality of fastq files was assessed with FastQC v0.11.3, MultiQC v1.8. | Alignment and protein-coding gene quantification was performed using 10x cellranger v3.1.0 | Assembly: GRCm38 | Supplementary files format and content: Tab-separated value files and matrix files"
GSE247505,GSM7890846,Expt2_12w het RFP r2,Mus musculus,Il1r1+/-; Sftpc-CreERT2; Red2Kras,Lineage-labelled AT2-derived,Distal lung,Illumina NovaSeq 6000,"Quality of fastq files was assessed with FastQC v0.11.3, MultiQC v1.8. | Alignment and protein-coding gene quantification was performed using 10x cellranger v3.1.0 | Assembly: GRCm38 | Supplementary files format and content: Tab-separated value files and matrix files"
GSE247505,GSM7890847,Expt2_12w hom RFP r1,Mus musculus,Il1r1-/-; Sftpc-CreERT2; Red2Kras,Lineage-labelled AT2-derived,Distal lung,Illumina NovaSeq 6000,"Quality of fastq files was assessed with FastQC v0.11.3, MultiQC v1.8. | Alignment and protein-coding gene quantification was performed using 10x cellranger v3.1.0 | Assembly: GRCm38 | Supplementary files format and content: Tab-separated value files and matrix files"
GSE247505,GSM7890848,Expt2_12w hom RFP r2,Mus musculus,Il1r1-/-; Sftpc-CreERT2; Red2Kras,Lineage-labelled AT2-derived,Distal lung,Illumina NovaSeq 6000,"Quality of fastq files was assessed with FastQC v0.11.3, MultiQC v1.8. | Alignment and protein-coding gene quantification was performed using 10x cellranger v3.1.0 | Assembly: GRCm38 | Supplementary files format and content: Tab-separated value files and matrix files"
