gene	transcript_id	feature	start	end	tss	parent_ids	eligible
ITGB6	NM_001282388.2	transcript	160557538	160657754	160657753	ITGB6	True
ITGB6	NM_001282389.2	transcript	160557538	160657754	160657753	ITGB6	True
ITGB6	NM_001282390.2	transcript	160557538	160657754	160657753	ITGB6	True
ETV5	NM_004454.3	transcript	188862122	188924868	188924867	ETV5	True
TP63	NM_001329964.2	transcript	192413469	192713713	192413469	TP63	True
TP63	NM_001114979.2	transcript	192448079	192697938	192448079	TP63	True
TP63	NM_001114978.2	transcript	192448079	192713713	192448079	TP63	True
TP63	NM_001329144.2	transcript	192448079	192713713	192448079	TP63	True
TP63	NM_001329148.2	transcript	192448079	192713713	192448079	TP63	True
TP63	NM_003722.5	transcript	192448079	192713713	192448079	TP63	True
TP63	NM_001114982.2	transcript	192606306	192697938	192606306	TP63	True
TP63	NM_001114980.2	transcript	192606306	192713713	192606306	TP63	True
TP63	NM_001114981.2	transcript	192606306	192713713	192606306	TP63	True
TP63	NM_001329145.2	transcript	192606306	192713713	192606306	TP63	True
TP63	NM_001329146.2	transcript	192606306	192713713	192606306	TP63	True
TP63	NM_001329149.2	transcript	192606306	192713713	192606306	TP63	True
TP63	NM_001329150.2	transcript	192606306	192713713	192606306	TP63	True
HOPX	NM_001145459.2	transcript	60135863	60144364	60144363	HOPX	True
HOPX	NM_139211.5	transcript	60135863	60144364	60144363	HOPX	True
HOPX	XM_017008731.3	transcript	60135863	60144364	60144363	HOPX	True
HOPX	XM_017008734.2	transcript	60135863	60144364	60144363	HOPX	True
HOPX	XM_017008730.3	transcript	60135863	60145748	60145747	HOPX	True
HOPX	NM_001145460.2	transcript	60135863	60169119	60169118	HOPX	True
HOPX	NM_032495.6	transcript	60135863	60169119	60169118	HOPX	True
HOPX	NM_139212.4	transcript	60135863	60169119	60169118	HOPX	True
HOPX	XM_017008729.3	transcript	60135863	60169119	60169118	HOPX	True
HOPX	XM_017008732.2	transcript	60135863	60169119	60169118	HOPX	True
HOPX	XM_047416319.1	transcript	60135863	60169119	60169118	HOPX	True
HOPX	XM_047416320.1	transcript	60135863	60169119	60169118	HOPX	True
HOPX	XM_047416321.1	transcript	60135863	60169119	60169118	HOPX	True
HOPX	XM_047416322.1	transcript	60135863	60169119	60169118	HOPX	True
HOPX	XM_017008728.2	transcript	60135863	60169529	60169528	HOPX	True
AGER	NM_001136.5	transcript	32034159	32037444	32037443	AGER	True
AGER	NM_001206929.2	transcript	32034159	32037444	32037443	AGER	True
AGER	NM_001206932.2	transcript	32034159	32037444	32037443	AGER	True
AGER	NM_001206934.2	transcript	32034159	32037444	32037443	AGER	True
AGER	NM_001206936.2	transcript	32034159	32037444	32037443	AGER	True
AGER	NM_001206940.2	transcript	32034159	32037444	32037443	AGER	True
AGER	NM_001206954.2	transcript	32034159	32037444	32037443	AGER	True
AGER	NM_001206966.2	transcript	32034159	32037444	32037443	AGER	True
AGER	NM_172197.3	transcript	32034159	32037444	32037443	AGER	True
AGER	NR_038190.2	transcript	32034159	32037444	32037443	AGER	True
AGER	XM_017010328.3	transcript	32034159	32037444	32037443	AGER	True
AGER	XM_047418260.1	transcript	32034547	32037444	32037443	AGER	True
AGER	XM_047418261.1	transcript	32034547	32037444	32037443	AGER	True
CDKN1A	NM_001220777.2	transcript	36497107	36508013	36497107	CDKN1A	True
CDKN1A	NM_001291549.3	transcript	36497107	36508013	36497107	CDKN1A	True
CDKN1A	NM_001374509.1	transcript	36497107	36508013	36497107	CDKN1A	True
CDKN1A	NM_001374510.1	transcript	36497107	36508013	36497107	CDKN1A	True
CDKN1A	NM_078467.3	transcript	36497107	36508013	36497107	CDKN1A	True
CDKN1A	NR_164655.1	transcript	36499358	36501512	36499358	CDKN1A	True
CDKN1A	NR_164656.1	transcript	36499358	36501512	36499358	CDKN1A	True
CDKN1A	NM_000389.5	transcript	36499358	36508013	36499358	CDKN1A	True
CDKN1A	NM_001220778.2	transcript	36499358	36508013	36499358	CDKN1A	True
CDKN1A	NM_001374511.1	transcript	36499358	36508013	36499358	CDKN1A	True
CDKN1A	NM_001374512.1	transcript	36499358	36508013	36499358	CDKN1A	True
CDKN1A	NM_001374513.1	transcript	36499358	36508013	36499358	CDKN1A	True
CLDN4	NM_001305.5	transcript	75031890	75033585	75031890	CLDN4	True
CAV1	NM_001172895.1	transcript	117840040	117876175	117840040	CAV1	True
CAV1	NM_001753.5	transcript	117840067	117876169	117840067	CAV1	True
CAV1	NM_001172896.2	transcript	117841395	117876169	117841395	CAV1	True
CAV1	NM_001172897.2	transcript	117841395	117876169	117841395	CAV1	True
SFTPC	NM_001385654.1	transcript	22431327	22438424	22431327	SFTPC	True
SFTPC	NM_001385655.1	transcript	22431327	22438424	22431327	SFTPC	True
SFTPC	NM_001385656.1	transcript	22431327	22438424	22431327	SFTPC	True
SFTPC	NM_001385657.1	transcript	22431327	22438424	22431327	SFTPC	True
SFTPC	NM_001385658.1	transcript	22431327	22438424	22431327	SFTPC	True
SFTPC	NM_001385660.1	transcript	22431327	22438424	22431327	SFTPC	True
SFTPC	NM_001385659.1	transcript	22432423	22438424	22432423	SFTPC	True
SFTPC	XM_011544613.4	transcript	22435720	22438424	22435720	SFTPC	True
SFTPC	NM_001172357.2	transcript	22435742	22438424	22435742	SFTPC	True
SFTPC	NM_001172410.2	transcript	22435742	22438424	22435742	SFTPC	True
SFTPC	NM_001317778.2	transcript	22435742	22438424	22435742	SFTPC	True
SFTPC	NM_001317779.2	transcript	22435742	22438424	22435742	SFTPC	True
SFTPC	NM_001317780.2	transcript	22435742	22438424	22435742	SFTPC	True
SFTPC	NM_001385653.1	transcript	22435742	22438424	22435742	SFTPC	True
SFTPC	NM_003018.4	transcript	22435742	22438424	22435742	SFTPC	True
AQP5	NM_001651.4	transcript	49924862	49928671	49924862	AQP5	True
AQP5	XM_005268838.3	transcript	49924862	49928671	49924862	AQP5	True
KRT8	NM_002273.4	transcript	52861777	52869657	52869656	KRT8	True
KRT8	NM_001256282.2	transcript	52861777	52891057	52891056	KRT8	True
KRT8	NM_001256293.2	transcript	52861777	52914419	52914418	KRT8	True
KRT8	NR_045962.2	transcript	52861777	52914419	52914418	KRT8	True
NKX2-1	NM_003317.4	transcript	30705670	30708840	30708839	NKX2-1	True
NKX2-1	NM_001079668.3	transcript	30705670	30709516	30709515	NKX2-1	True
ABCA3	NM_001089.3	transcript	2298326	2363113	2363112	ABCA3	True
TP53	NM_001126115.2	transcript	7572543	7579368	7579367	TP53	True
TP53	NM_001126116.2	transcript	7572543	7579368	7579367	TP53	True
TP53	NM_001126117.2	transcript	7572543	7579368	7579367	TP53	True
TP53	NM_001276697.3	transcript	7572543	7579368	7579367	TP53	True
TP53	NM_001276698.3	transcript	7572543	7579368	7579367	TP53	True
TP53	NM_001276699.3	transcript	7572543	7579368	7579367	TP53	True
TP53	NM_000546.6	transcript	7572543	7591594	7591593	TP53	True
TP53	NM_001126112.3	transcript	7572543	7591594	7591593	TP53	True
TP53	NM_001126113.3	transcript	7572543	7591594	7591593	TP53	True
TP53	NM_001126114.3	transcript	7572543	7591594	7591593	TP53	True
TP53	NM_001126118.2	transcript	7572543	7591594	7591593	TP53	True
TP53	NM_001276695.3	transcript	7572543	7591594	7591593	TP53	True
TP53	NM_001276696.3	transcript	7572543	7591594	7591593	TP53	True
TP53	NM_001276760.3	transcript	7572543	7591594	7591593	TP53	True
TP53	NM_001276761.3	transcript	7572543	7591594	7591593	TP53	True
HNF1B	NM_000458.4	transcript	38673400	38732032	38732031	HNF1B	True
HNF1B	NM_001165923.4	transcript	38673400	38732032	38732031	HNF1B	True
HNF1B	NM_001304286.2	transcript	38673400	38732032	38732031	HNF1B	True
HNF1B	XM_011525160.1	transcript	38673400	38732032	38732031	HNF1B	True
HNF1B	XM_011525161.1	transcript	38673400	38732032	38732031	HNF1B	True
HNF1B	XM_011525164.1	transcript	38673400	38732032	38732031	HNF1B	True
HNF1B	XM_047436630.1	transcript	38673400	38732032	38732031	HNF1B	True
HNF1B	XM_011525162.3	transcript	38707609	38732032	38732031	HNF1B	True
HNF1B	XM_047436631.1	transcript	38707609	38732032	38732031	HNF1B	True
HNF1B	XM_011525163.3	transcript	38707929	38732032	38732031	HNF1B	True
KRT19	NM_002276.5	transcript	42379160	42383869	42383868	KRT19	True
KRT17	NM_000422.3	transcript	42474894	42480028	42480027	KRT17	True
COL1A1	NM_000088.4	transcript	51051161	51068680	51068679	COL1A1	True
COL1A1	XM_005257058.5	transcript	51051161	51068680	51068679	COL1A1	True
COL1A1	XM_005257059.5	transcript	51051161	51068680	51068679	COL1A1	True
COL1A1	XM_011524341.2	transcript	51051161	51068680	51068679	COL1A1	True
CEBPA	NM_001285829.2	transcript	35819705	35822306	35822305	CEBPA	True
CEBPA	NM_001287424.2	transcript	35819705	35822306	35822305	CEBPA	True
CEBPA	NM_001287435.2	transcript	35819705	35822306	35822305	CEBPA	True
CEBPA	NM_004364.5	transcript	35819705	35822306	35822305	CEBPA	True
