gene	gene_group	chrom	strand	tss	baseline_tss	is_baseline	transcript_count	transcript_ids	parent_gene_count	half_width_bp	start	end	state	replicate	mark	gsm	mean_CPM	covered_fraction	H3_mean_CPM	H3_covered_fraction	ratio_eligible	log2_mark_over_H3
PDPN	AT1	chr1	+	13026225	13025716	False	3	XM_006710295.2;XM_024451404.2;XM_047434471.1	1	1000	13025225	13027225	iAT1	CUT1	H3K27ac	GSM8796438	0.6514317592605948	1.0	0.025394157320261002	1.0	True	4.681045551709387
PDPN	AT1	chr1	+	13026225	13025716	False	3	XM_006710295.2;XM_024451404.2;XM_047434471.1	1	5000	13021225	13031225	iAT1	CUT1	H3K27ac	GSM8796438	0.2906568052619696	1.0	0.018752606846392156	1.0	True	3.954153620072773
PDPN	AT1	chr1	+	13027416	13025716	False	3	NM_001006624.2;NM_001006625.2;NM_001385053.1	1	1000	13026416	13028416	iAT1	CUT1	H3K27ac	GSM8796438	0.281239858597517	1.0	0.011069244984537364	1.0	True	4.66717234756137
PDPN	AT1	chr1	+	13027416	13025716	False	3	NM_001006624.2;NM_001006625.2;NM_001385053.1	1	5000	13022416	13032416	iAT1	CUT1	H3K27ac	GSM8796438	0.289923502355814	1.0	0.015627174358814954	1.0	True	4.213543443888677
HOPX	AT1	chr4	-	60144363	60169528	False	4	NM_001145459.2;NM_139211.5;XM_017008731.3;XM_017008734.2	1	1000	60143363	60145363	iAT1	CUT1	H3K27ac	GSM8796438	0.24363468535244465	1.0	0.05110084035992622	1.0	True	2.2533006171476364
HOPX	AT1	chr4	-	60144363	60169528	False	4	NM_001145459.2;NM_139211.5;XM_017008731.3;XM_017008734.2	1	5000	60139363	60149363	iAT1	CUT1	H3K27ac	GSM8796438	0.10768877160772682	1.0	0.023242810505628587	1.0	True	2.212011397989236
HOPX	AT1	chr4	-	60145747	60169528	False	1	XM_017008730.3	1	1000	60144747	60146747	iAT1	CUT1	H3K27ac	GSM8796438	0.0928691816367209	1.0	0.025394147355109455	1.0	True	1.8707038877298061
HOPX	AT1	chr4	-	60145747	60169528	False	1	XM_017008730.3	1	5000	60140747	60150747	iAT1	CUT1	H3K27ac	GSM8796438	0.12702097649276256	1.0	0.02161758529022336	1.0	True	2.5547894797088713
HOPX	AT1	chr4	-	60169118	60169528	False	9	NM_001145460.2;NM_032495.6;NM_139212.4;XM_017008729.3;XM_017008732.2;XM_047416319.1;XM_047416320.1;XM_047416321.1;XM_047416322.1	1	1000	60168118	60170118	iAT1	CUT1	H3K27ac	GSM8796438	1.9361819211542606	1.0	0.09850332019478082	1.0	True	4.29689834903894
HOPX	AT1	chr4	-	60169118	60169528	False	9	NM_001145460.2;NM_032495.6;NM_139212.4;XM_017008729.3;XM_017008732.2;XM_047416319.1;XM_047416320.1;XM_047416321.1;XM_047416322.1	1	5000	60164118	60174118	iAT1	CUT1	H3K27ac	GSM8796438	0.565362833724171	1.0	0.030827212557941675	1.0	True	4.196900695401323
HOPX	AT1	chr4	-	60169528	60169528	True	1	XM_017008728.2	1	1000	60168528	60170528	iAT1	CUT1	H3K27ac	GSM8796438	1.402689549639821	1.0	0.06120643652975559	1.0	True	4.518368553342633
HOPX	AT1	chr4	-	60169528	60169528	True	1	XM_017008728.2	1	5000	60164528	60174528	iAT1	CUT1	H3K27ac	GSM8796438	0.565500716689974	1.0	0.03398910894989968	1.0	True	4.05638440647208
CAV1	AT1	chr7	+	117840040	117840040	True	1	NM_001172895.1	1	1000	117839040	117841040	iAT1	CUT1	H3K27ac	GSM8796438	2.4675273400358857	1.0	0.09506533863022923	1.0	True	4.698002837469504
CAV1	AT1	chr7	+	117840040	117840040	True	1	NM_001172895.1	1	5000	117835040	117845040	iAT1	CUT1	H3K27ac	GSM8796438	0.9391897142678499	1.0	0.04323518507182598	1.0	True	4.4411388385553625
CAV1	AT1	chr7	+	117840067	117840040	False	1	NM_001753.5	1	1000	117839067	117841067	iAT1	CUT1	H3K27ac	GSM8796438	2.4815823160484434	1.0	0.09506533863022923	1.0	True	4.706197078500367
CAV1	AT1	chr7	+	117840067	117840040	False	1	NM_001753.5	1	5000	117835067	117845067	iAT1	CUT1	H3K27ac	GSM8796438	0.9391897142678499	1.0	0.04323518507182598	1.0	True	4.4411388385553625
CAV1	AT1	chr7	+	117841395	117840040	False	2	NM_001172896.2;NM_001172897.2	1	1000	117840395	117842395	iAT1	CUT1	H3K27ac	GSM8796438	2.1365235437080266	1.0	0.09428395224735141	1.0	True	4.502109169301176
CAV1	AT1	chr7	+	117841395	117840040	False	2	NM_001172896.2;NM_001172897.2	1	5000	117836395	117846395	iAT1	CUT1	H3K27ac	GSM8796438	0.9371684313341975	1.0	0.04505835654214024	1.0	True	4.378441758803424
AQP5	AT1	chr12	+	49924862	49924862	True	2	NM_001651.4;XM_005268838.3	1	1000	49923862	49925862	iAT1	CUT1	H3K27ac	GSM8796438	0.05857013063505292	1.0	0.05110086029022932	1.0	True	0.19681753290085205
AQP5	AT1	chr12	+	49924862	49924862	True	2	NM_001651.4;XM_005268838.3	1	5000	49919862	49929862	iAT1	CUT1	H3K27ac	GSM8796438	0.05652376339361072	1.0	0.056070299268513916	1.0	True	0.011620754526400141
KRT8	transition_stress	chr12	-	52869656	52914418	False	1	NM_002273.4	1	1000	52868656	52870656	iAT1	CUT1	H3K27ac	GSM8796438	1.4933335422426461	1.0	0.04753265008330345	1.0	True	4.973473784840243
KRT8	transition_stress	chr12	-	52869656	52914418	False	1	NM_002273.4	1	5000	52864656	52874656	iAT1	CUT1	H3K27ac	GSM8796438	1.1970422128237783	1.0	0.03310877199620008	1.0	True	5.176116716353187
KRT8	transition_stress	chr12	-	52891056	52914418	False	1	NM_001256282.2	1	1000	52890056	52892056	iAT1	CUT1	H3K27ac	GSM8796438	4.002132119894028	1.0	0.20393473530560732	1.0	True	4.294589365531276
KRT8	transition_stress	chr12	-	52891056	52914418	False	1	NM_001256282.2	1	5000	52886056	52896056	iAT1	CUT1	H3K27ac	GSM8796438	1.1917711336538195	1.0	0.06342031057924032	1.0	True	4.232018456127947
KRT8	transition_stress	chr12	-	52914418	52914418	True	2	NM_001256293.2;NR_045962.2	1	1000	52913418	52915418	iAT1	CUT1	H3K27ac	GSM8796438	1.2950288094505669	1.0	0.029014445781707764	1.0	True	5.480069010932417
KRT8	transition_stress	chr12	-	52914418	52914418	True	2	NM_001256293.2;NR_045962.2	1	5000	52909418	52919418	iAT1	CUT1	H3K27ac	GSM8796438	1.2553333596237004	1.0	0.024352341331541537	1.0	True	5.687866233769862
CLDN4	transition_stress	chr7	+	75031890	75031890	True	1	NM_001305.5	1	1000	75030890	75032890	iAT1	CUT1	H3K27ac	GSM8796438	2.232964629381895	1.0	0.022789617348462344	1.0	True	6.6144398874512245
CLDN4	transition_stress	chr7	+	75031890	75031890	True	1	NM_001305.5	1	5000	75026890	75036890	iAT1	CUT1	H3K27ac	GSM8796438	1.7210798158980907	1.0	0.050137187987565994	1.0	True	5.101289111449772
KRT19	transition_stress	chr17	-	42383868	42383868	True	1	NM_002276.5	1	1000	42382868	42384868	iAT1	CUT1	H3K27ac	GSM8796438	1.718681825518608	1.0	0.0393544160425663	1.0	True	5.44863314475574
KRT19	transition_stress	chr17	-	42383868	42383868	True	1	NM_002276.5	1	5000	42378868	42388868	iAT1	CUT1	H3K27ac	GSM8796438	0.8364929064378143	1.0	0.025654603224247695	1.0	True	5.027063688085328
CDKN1A	transition_stress	chr6	+	36497107	36497107	True	5	NM_001220777.2;NM_001291549.3;NM_001374509.1;NM_001374510.1;NM_078467.3	1	1000	36496107	36498107	iAT1	CUT1	H3K27ac	GSM8796438	0.30093551709875466	1.0	0.010600429583340884	1.0	True	4.827259750462643
CDKN1A	transition_stress	chr6	+	36497107	36497107	True	5	NM_001220777.2;NM_001291549.3;NM_001374509.1;NM_001374510.1;NM_078467.3	1	5000	36492107	36502107	iAT1	CUT1	H3K27ac	GSM8796438	0.3815924228914082	1.0	0.02838936325162649	1.0	True	3.748610128522502
CDKN1A	transition_stress	chr6	+	36499358	36497107	False	7	NM_000389.5;NM_001220778.2;NM_001374511.1;NM_001374512.1;NM_001374513.1;NR_164655.1;NR_164656.1	1	1000	36498358	36500358	iAT1	CUT1	H3K27ac	GSM8796438	1.0595419031381608	1.0	0.052715664826333525	1.0	True	4.329065102392991
CDKN1A	transition_stress	chr6	+	36499358	36497107	False	7	NM_000389.5;NM_001220778.2;NM_001374511.1;NM_001374512.1;NM_001374513.1;NR_164655.1;NR_164656.1	1	5000	36494358	36504358	iAT1	CUT1	H3K27ac	GSM8796438	0.39830166585743426	1.0	0.025217047069966792	1.0	True	3.9813902633549545
SFN	transition_stress	chr1	+	26701223	26701223	True	1	NM_006142.5	1	1000	26700223	26702223	iAT1	CUT1	H3K27ac	GSM8796438	0.29736303302273154	1.0	0.05800283230468631	1.0	True	2.3580300539596375
SFN	transition_stress	chr1	+	26701223	26701223	True	1	NM_006142.5	1	5000	26696223	26706223	iAT1	CUT1	H3K27ac	GSM8796438	0.3257895345978439	1.0	0.050658100079745055	1.0	True	2.68507538539152
ITGB6	transition_stress	chr2	-	160657753	160657753	True	7	NM_000888.5;NM_001282353.2;NM_001282354.2;NM_001282355.2;NM_001282388.2;NM_001282389.2;NM_001282390.2	1	1000	160656753	160658753	iAT1	CUT1	H3K27ac	GSM8796438	0.3859388295039535	1.0	0.010991106569766998	1.0	True	5.133963654170399
ITGB6	transition_stress	chr2	-	160657753	160657753	True	7	NM_000888.5;NM_001282353.2;NM_001282354.2;NM_001282355.2;NM_001282388.2;NM_001282389.2;NM_001282390.2	1	5000	160652753	160662753	iAT1	CUT1	H3K27ac	GSM8796438	0.18920112010091544	1.0	0.008579318321496249	1.0	True	4.462913797992896
KRT17	transition_stress	chr17	-	42480027	42480027	True	1	NM_000422.3	1	1000	42479027	42481027	iAT1	CUT1	H3K27ac	GSM8796438	0.09678639844059944	1.0	0.044329089909791945	1.0	True	1.1265505735010723
KRT17	transition_stress	chr17	-	42480027	42480027	True	1	NM_000422.3	1	5000	42475027	42485027	iAT1	CUT1	H3K27ac	GSM8796438	0.029150305930525065	1.0	0.044688499718159434	1.0	True	-0.6163925869093657
TP63	transition_stress	chr3	+	192413469	192413469	True	1	NM_001329964.2	1	1000	192412469	192414469	iAT1	CUT1	H3K27ac	GSM8796438	0.010184748843312264	1.0	0.0455792642198503	1.0	True	-2.1619672317802054
TP63	transition_stress	chr3	+	192413469	192413469	True	1	NM_001329964.2	1	5000	192408469	192418469	iAT1	CUT1	H3K27ac	GSM8796438	0.0026637030020356177	1.0	0.015757403858006	1.0	True	-2.5645247216638114
TP63	transition_stress	chr3	+	192448079	192413469	False	5	NM_001114978.2;NM_001114979.2;NM_001329144.2;NM_001329148.2;NM_003722.5	1	1000	192447079	192449079	iAT1	CUT1	H3K27ac	GSM8796438	0.004700651206076145	1.0	0.00520906001329422	1.0	True	-0.14816242358369497
TP63	transition_stress	chr3	+	192448079	192413469	False	5	NM_001114978.2;NM_001114979.2;NM_001329144.2;NM_001329148.2;NM_003722.5	1	5000	192443079	192453079	iAT1	CUT1	H3K27ac	GSM8796438	0.0028203922882676126	1.0	0.01289241498336196	1.0	True	-2.1925547858863292
TP63	transition_stress	chr3	+	192606306	192413469	False	7	NM_001114980.2;NM_001114981.2;NM_001114982.2;NM_001329145.2;NM_001329146.2;NM_001329149.2;NM_001329150.2	1	1000	192605306	192607306	iAT1	CUT1	H3K27ac	GSM8796438	0.07101117032021284	1.0	0.02130503834038973	1.0	True	1.7368513359623559
TP63	transition_stress	chr3	+	192606306	192413469	False	7	NM_001114980.2;NM_001114981.2;NM_001114982.2;NM_001329145.2;NM_001329146.2;NM_001329149.2;NM_001329150.2	1	5000	192601306	192611306	iAT1	CUT1	H3K27ac	GSM8796438	0.05303900046274066	1.0	0.025524393301457168	1.0	True	1.0551769180781692
COL1A1	transition_stress	chr17	-	51068679	51068679	True	4	NM_000088.4;XM_005257058.5;XM_005257059.5;XM_011524341.2	1	1000	51067679	51069679	iAT1	CUT1	H3K27ac	GSM8796438	0.30734415746852756	1.0	0.06891581585630774	1.0	True	2.1569480422971568
COL1A1	transition_stress	chr17	-	51068679	51068679	True	4	NM_000088.4;XM_005257058.5;XM_005257059.5;XM_011524341.2	1	5000	51063679	51073679	iAT1	CUT1	H3K27ac	GSM8796438	0.22867405528202653	1.0	0.0544554955907166	1.0	True	2.0701431342433962
ATF3	regulators	chr1	+	211810344	211810344	True	1	NM_001030287.4	1	1000	211809344	211811344	iAT1	CUT1	H3K27ac	GSM8796438	0.052584613859653476	1.0	0.014324899949133395	1.0	True	1.8761156692673846
ATF3	regulators	chr1	+	211810344	211810344	True	1	NM_001030287.4	1	5000	211805344	211815344	iAT1	CUT1	H3K27ac	GSM8796438	0.09089804921299219	1.0	0.025456662883609534	1.0	True	1.8362060240905131
ATF3	regulators	chr1	+	211851925	211810344	False	1	XM_011509579.2	1	1000	211850925	211852925	iAT1	CUT1	H3K27ac	GSM8796438	1.076840036176145	1.0	0.08139152163639665	1.0	True	3.7257816240827384
ATF3	regulators	chr1	+	211851925	211810344	False	1	XM_011509579.2	1	5000	211846925	211856925	iAT1	CUT1	H3K27ac	GSM8796438	0.6270664632320404	1.0	0.05977394750341773	1.0	True	3.391029636058349
ATF3	regulators	chr1	+	211853698	211810344	False	5	NM_001040619.3;NM_001206484.3;NM_001206488.3;NM_001674.4;XM_005273146.2	1	1000	211852698	211854698	iAT1	CUT1	H3K27ac	GSM8796438	1.7666915029734374	1.0	0.16223616199195384	1.0	True	3.4448828073850364
ATF3	regulators	chr1	+	211853698	211810344	False	5	NM_001040619.3;NM_001206484.3;NM_001206488.3;NM_001674.4;XM_005273146.2	1	5000	211848698	211858698	iAT1	CUT1	H3K27ac	GSM8796438	0.6290783419817686	1.0	0.05765907310396433	1.0	True	3.447620143508006
ATF3	regulators	chr1	+	211859954	211810344	False	1	NM_001206486.2	1	1000	211858954	211860954	iAT1	CUT1	H3K27ac	GSM8796438	0.02533650391176343	1.0	0.030499023467302322	1.0	True	-0.2675455843111297
ATF3	regulators	chr1	+	211859954	211810344	False	1	NM_001206486.2	1	5000	211854954	211864954	iAT1	CUT1	H3K27ac	GSM8796438	0.05219601754397154	1.0	0.023373044683039187	1.0	True	1.1590940575068576
ATF3	regulators	chr1	+	211863906	211810344	False	1	XM_047421211.1	1	1000	211862906	211864906	iAT1	CUT1	H3K27ac	GSM8796438	0.02908136136829853	1.0	0.025211839199066163	1.0	True	0.20599344047931017
ATF3	regulators	chr1	+	211863906	211810344	False	1	XM_047421211.1	1	5000	211858906	211868906	iAT1	CUT1	H3K27ac	GSM8796438	0.03135647812858224	1.0	0.0226281480550766	1.0	True	0.4706450134819248
HNF1B	regulators	chr17	-	38732031	38732031	True	10	NM_000458.4;NM_001165923.4;NM_001304286.2;XM_011525160.1;XM_011525161.1;XM_011525162.3;XM_011525163.3;XM_011525164.1;XM_047436630.1;XM_047436631.1	1	1000	38731031	38733031	iAT1	CUT1	H3K27ac	GSM8796438	1.577678907379508	1.0	0.011564110714942217	1.0	True	7.092005478214595
HNF1B	regulators	chr17	-	38732031	38732031	True	10	NM_000458.4;NM_001165923.4;NM_001304286.2;XM_011525160.1;XM_011525161.1;XM_011525162.3;XM_011525163.3;XM_011525164.1;XM_047436630.1;XM_047436631.1	1	5000	38727031	38737031	iAT1	CUT1	H3K27ac	GSM8796438	0.6475175602316856	1.0	0.015627172961831092	1.0	True	5.372790602330715
TP53	regulators	chr17	-	7579367	7591593	False	6	NM_001126115.2;NM_001126116.2;NM_001126117.2;NM_001276697.3;NM_001276698.3;NM_001276699.3	1	1000	7578367	7580367	iAT1	CUT1	H3K27ac	GSM8796438	0.0027420449070632456	1.0	0.04927769040688872	1.0	True	-4.167610536277786
TP53	regulators	chr17	-	7579367	7591593	False	6	NM_001126115.2;NM_001126116.2;NM_001126117.2;NM_001276697.3;NM_001276698.3;NM_001276699.3	1	5000	7574367	7584367	iAT1	CUT1	H3K27ac	GSM8796438	0.007286012303084135	1.0	0.03164502674713731	1.0	True	-2.1187774508264337
TP53	regulators	chr17	-	7591593	7591593	True	9	NM_000546.6;NM_001126112.3;NM_001126113.3;NM_001126114.3;NM_001126118.2;NM_001276695.3;NM_001276696.3;NM_001276760.3;NM_001276761.3	1	1000	7590593	7592593	iAT1	CUT1	H3K27ac	GSM8796438	1.8454905878305434	1.0	0.08902279866859317	1.0	True	4.373685713040202
TP53	regulators	chr17	-	7591593	7591593	True	9	NM_000546.6;NM_001126112.3;NM_001126113.3;NM_001126114.3;NM_001126118.2;NM_001276695.3;NM_001276696.3;NM_001276760.3;NM_001276761.3	1	5000	7586593	7596593	iAT1	CUT1	H3K27ac	GSM8796438	0.6689463162064553	1.0	0.02868628173992038	1.0	True	4.543457551387881
CEBPA	regulators	chr19	-	35822305	35822305	True	4	NM_001285829.2;NM_001287424.2;NM_001287435.2;NM_004364.5	1	1000	35821305	35823305	iAT1	CUT1	H3K27ac	GSM8796438	0.5878946588560939	1.0	0.11212502675130963	1.0	True	2.390449341425042
CEBPA	regulators	chr19	-	35822305	35822305	True	4	NM_001285829.2;NM_001287424.2;NM_001287435.2;NM_004364.5	1	5000	35817305	35827305	iAT1	CUT1	H3K27ac	GSM8796438	0.17188712066039444	1.0	0.05792472779005766	1.0	True	1.5692101846333417
SFTPC	AT2	chr8	+	22431327	22431327	True	6	NM_001385654.1;NM_001385655.1;NM_001385656.1;NM_001385657.1;NM_001385658.1;NM_001385660.1	1	1000	22430327	22432327	iATCs	CUT1	H3K27ac	GSM8796436	0.07573044637031853	1.0	0.08874336222931743	1.0	True	-0.22876578146935436
SFTPC	AT2	chr8	+	22431327	22431327	True	6	NM_001385654.1;NM_001385655.1;NM_001385656.1;NM_001385657.1;NM_001385658.1;NM_001385660.1	1	5000	22426327	22436327	iATCs	CUT1	H3K27ac	GSM8796436	0.03212440939620137	1.0	0.0648100259900093	1.0	True	-1.0125470818459295
SFTPC	AT2	chr8	+	22432423	22431327	False	1	NM_001385659.1	1	1000	22431423	22433423	iATCs	CUT1	H3K27ac	GSM8796436	0.0184966807551682	1.0	0.027100322514772415	1.0	True	-0.5510436197304072
SFTPC	AT2	chr8	+	22432423	22431327	False	1	NM_001385659.1	1	5000	22427423	22437423	iATCs	CUT1	H3K27ac	GSM8796436	0.03447170483879745	1.0	0.0754148913860321	1.0	True	-1.1294367747974743
SFTPC	AT2	chr8	+	22435720	22431327	False	1	XM_011544613.4	1	1000	22434720	22436720	iATCs	CUT1	H3K27ac	GSM8796436	0.007578408550471067	1.0	0.0583629465661943	1.0	True	-2.9450858998895146
SFTPC	AT2	chr8	+	22435720	22431327	False	1	XM_011544613.4	1	5000	22430720	22440720	iATCs	CUT1	H3K27ac	GSM8796436	0.13450676684454083	1.0	0.07897095830738544	1.0	True	0.7682846519560395
SFTPC	AT2	chr8	+	22435742	22431327	False	7	NM_001172357.2;NM_001172410.2;NM_001317778.2;NM_001317779.2;NM_001317780.2;NM_001385653.1;NM_003018.4	1	1000	22434742	22436742	iATCs	CUT1	H3K27ac	GSM8796436	0.008168586038053035	1.0	0.06112274857610464	1.0	True	-2.9035511419722755
SFTPC	AT2	chr8	+	22435742	22431327	False	7	NM_001172357.2;NM_001172410.2;NM_001317778.2;NM_001317779.2;NM_001317780.2;NM_001385653.1;NM_003018.4	1	5000	22430742	22440742	iATCs	CUT1	H3K27ac	GSM8796436	0.13442092315629126	1.0	0.07875831783786416	1.0	True	0.7712535140384693
ABCA3	AT2	chr16	-	2363112	2363112	True	1	NM_001089.3	1	1000	2362112	2364112	iATCs	CUT1	H3K27ac	GSM8796436	0.24111420312710105	1.0	0.5089793059974909	1.0	True	-1.0778903634599408
ABCA3	AT2	chr16	-	2363112	2363112	True	1	NM_001089.3	1	5000	2358112	2368112	iATCs	CUT1	H3K27ac	GSM8796436	0.052042893515899774	1.0	0.13873192241340876	1.0	True	-1.4145267107185673
NKX2-1	AT2	chr14	-	30708839	30709515	False	1	NM_003317.4	1	1000	30707839	30709839	iATCs	CUT1	H3K27ac	GSM8796436	1.408404648244381	1.0	0.06327176995575429	1.0	True	4.476356129342259
NKX2-1	AT2	chr14	-	30708839	30709515	False	1	NM_003317.4	1	5000	30703839	30713839	iATCs	CUT1	H3K27ac	GSM8796436	0.6958513651091606	1.0	0.043821983448415994	1.0	True	3.989052487715146
NKX2-1	AT2	chr14	-	30709515	30709515	True	1	NM_001079668.3	1	1000	30708515	30710515	iATCs	CUT1	H3K27ac	GSM8796436	1.4731631011515856	1.0	0.0740847397595644	1.0	True	4.313596955239953
NKX2-1	AT2	chr14	-	30709515	30709515	True	1	NM_001079668.3	1	5000	30704515	30714515	iATCs	CUT1	H3K27ac	GSM8796436	0.6543055444210768	1.0	0.04945015960931778	1.0	True	3.725917413124305
