path,filename,parent,ext,size_bytes,size_human,file_type,inferred_role,dataset,sample,dimensions,contains_raw_counts,contains_metadata,appears_processed,species_evidence,notes,extra_json
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE178360\GSE178360_RAW\GSM5388411_DD046Q_raw_feature_bc_matrix.h5,GSM5388411_DD046Q_raw_feature_bc_matrix.h5,GSE178360\GSE178360_RAW,.h5,81396128,77.6 MB,10x CellRanger HDF5 (v3 layout),10x RAW (unfiltered droplet) count matrix,GSE178360,DD046Q,33538 genes x 6794880 barcodes,yes (integer values),no,no (looks like raw counts),"HUMAN (12/12 upper-case markers, 13 'MT-' genes)",,"{""hdf5_top_level_keys"": [""matrix""], ""n_genes"": 33538, ""n_barcodes"": 6794880, ""data_dtype"": ""int32"", ""min_value"": 1.0, ""max_value_in_probe"": 6107.0, ""genome"": [""GRCh38""], ""feature_types"": {""Gene Expression"": 33538}, ""mouse_probe_hits"": [], ""human_probe_hits"": [""SFTPC"", ""KRT8"", ""TP63"", ""AGER"", ""SCGB1A1"", ""FOXJ1"", ""CD3D"", ""LYZ"", ""COL1A1"", ""PECAM1"", ""ACTB"", ""EPCAM""], ""n_mt_mouse_style"": 0, ""n_mt_human_style"": 13, ""n_duplicate_gene_symbols"": 24, ""gsm"": ""GSM5388411""}"
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE178360\GSE178360_RAW\GSM5388412_DD047Q_filtered_feature_bc_matrix.h5,GSM5388412_DD047Q_filtered_feature_bc_matrix.h5,GSE178360\GSE178360_RAW,.h5,40754721,38.9 MB,10x CellRanger HDF5 (v3 layout),10x FILTERED (cell-called) count matrix,GSE178360,DD047Q,33538 genes x 13330 barcodes,yes (integer values),no,no (looks like raw counts),"HUMAN (12/12 upper-case markers, 13 'MT-' genes)",,"{""hdf5_top_level_keys"": [""matrix""], ""n_genes"": 33538, ""n_barcodes"": 13330, ""data_dtype"": ""int32"", ""min_value"": 1.0, ""max_value_in_probe"": 20013.0, ""genome"": [""GRCh38""], ""feature_types"": {""Gene Expression"": 33538}, ""mouse_probe_hits"": [], ""human_probe_hits"": [""SFTPC"", ""KRT8"", ""TP63"", ""AGER"", ""SCGB1A1"", ""FOXJ1"", ""CD3D"", ""LYZ"", ""COL1A1"", ""PECAM1"", ""ACTB"", ""EPCAM""], ""n_mt_mouse_style"": 0, ""n_mt_human_style"": 13, ""n_duplicate_gene_symbols"": 24, ""gsm"": ""GSM5388412""}"
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE178360\GSE178360_RAW\GSM5388412_DD047Q_raw_feature_bc_matrix.h5,GSM5388412_DD047Q_raw_feature_bc_matrix.h5,GSE178360\GSE178360_RAW,.h5,86736653,82.7 MB,10x CellRanger HDF5 (v3 layout),10x RAW (unfiltered droplet) count matrix,GSE178360,DD047Q,33538 genes x 6794880 barcodes,yes (integer values),no,no (looks like raw counts),"HUMAN (12/12 upper-case markers, 13 'MT-' genes)",,"{""hdf5_top_level_keys"": [""matrix""], ""n_genes"": 33538, ""n_barcodes"": 6794880, ""data_dtype"": ""int32"", ""min_value"": 1.0, ""max_value_in_probe"": 20013.0, ""genome"": [""GRCh38""], ""feature_types"": {""Gene Expression"": 33538}, ""mouse_probe_hits"": [], ""human_probe_hits"": [""SFTPC"", ""KRT8"", ""TP63"", ""AGER"", ""SCGB1A1"", ""FOXJ1"", ""CD3D"", ""LYZ"", ""COL1A1"", ""PECAM1"", ""ACTB"", ""EPCAM""], ""n_mt_mouse_style"": 0, ""n_mt_human_style"": 13, ""n_duplicate_gene_symbols"": 24, ""gsm"": ""GSM5388412""}"
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE178360\GSE178360_RAW\GSM5388413_DD073R_raw_feature_bc_matrix.h5,GSM5388413_DD073R_raw_feature_bc_matrix.h5,GSE178360\GSE178360_RAW,.h5,76592770,73.0 MB,10x CellRanger HDF5 (v3 layout),10x RAW (unfiltered droplet) count matrix,GSE178360,DD073R,36601 genes x 6794880 barcodes,yes (integer values),no,no (looks like raw counts),"HUMAN (12/12 upper-case markers, 13 'MT-' genes)",,"{""hdf5_top_level_keys"": [""matrix""], ""n_genes"": 36601, ""n_barcodes"": 6794880, ""data_dtype"": ""int32"", ""min_value"": 1.0, ""max_value_in_probe"": 3466.0, ""genome"": [""GRCh38""], ""feature_types"": {""Gene Expression"": 36601}, ""mouse_probe_hits"": [], ""human_probe_hits"": [""SFTPC"", ""KRT8"", ""TP63"", ""AGER"", ""SCGB1A1"", ""FOXJ1"", ""CD3D"", ""LYZ"", ""COL1A1"", ""PECAM1"", ""ACTB"", ""EPCAM""], ""n_mt_mouse_style"": 0, ""n_mt_human_style"": 13, ""n_duplicate_gene_symbols"": 10, ""gsm"": ""GSM5388413""}"
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE178360\GSE178360_RAW\GSM5388413_DD073Rfiltered_feature_bc_matrix.h5,GSM5388413_DD073Rfiltered_feature_bc_matrix.h5,GSE178360\GSE178360_RAW,.h5,36616710,34.9 MB,10x CellRanger HDF5 (v3 layout),10x FILTERED (cell-called) count matrix,GSE178360,DD073R,36601 genes x 10949 barcodes,yes (integer values),no,no (looks like raw counts),"HUMAN (12/12 upper-case markers, 13 'MT-' genes)",,"{""hdf5_top_level_keys"": [""matrix""], ""n_genes"": 36601, ""n_barcodes"": 10949, ""data_dtype"": ""int32"", ""min_value"": 1.0, ""max_value_in_probe"": 3466.0, ""genome"": [""GRCh38""], ""feature_types"": {""Gene Expression"": 36601}, ""mouse_probe_hits"": [], ""human_probe_hits"": [""SFTPC"", ""KRT8"", ""TP63"", ""AGER"", ""SCGB1A1"", ""FOXJ1"", ""CD3D"", ""LYZ"", ""COL1A1"", ""PECAM1"", ""ACTB"", ""EPCAM""], ""n_mt_mouse_style"": 0, ""n_mt_human_style"": 13, ""n_duplicate_gene_symbols"": 10, ""gsm"": ""GSM5388413""}"
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE262927\Compressed\GSE262927_CellMetaData.csv.gz,GSE262927_CellMetaData.csv.gz,GSE262927\Compressed,.csv.gz,3200606,3.1 MB,delimited text (comma),metadata / annotation table,GSE262927,,123189 rows x 15 columns,no,yes,yes (derived annotation),,,"{""n_columns"": 15, ""columns_preview"": [""cellbarcode"", ""orig.ident"", ""nCount_RNA"", ""nFeature_RNA"", ""percent.mito"", ""phase"", ""tamoxifen_start_day"", ""sacrifice_day"", ""sex"", ""experimental_group"", ""trace_call"", ""lineage"", ""celltype"", ""subtype"", ""cb""], ""delimiter"": ""comma"", ""n_data_rows"": 123189, ""fraction_numeric_in_first_row"": 0.357}"
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE262927\Compressed\GSE262927_RAW.tar,GSE262927_RAW.tar,GSE262927\Compressed,.tar,816967680,779.1 MB,tar archive,GEO supplementary archive (already extracted),GSE262927,,33 members,see extracted members,no,unknown,,,"{""n_members"": 33, ""members"": [""GSM8181583_EEM-scRNA-113.h5"", ""GSM8181584_EEM-scRNA-116.h5"", ""GSM8181585_EEM-scRNA-117.h5"", ""GSM8181586_EEM-scRNA-118.h5"", ""GSM8181587_EEM-scRNA-124.h5"", ""GSM8181588_EEM-scRNA-125.h5"", ""GSM8181589_EEM-scRNA-126.h5"", ""GSM8181590_EEM-scRNA-127.h5"", ""GSM8181591_EEM-scRNA-158.h5"", ""GSM8181592_EEM-scRNA-162.h5"", ""GSM8181593_EEM-scRNA-166.h5"", ""GSM8181594_EEM-scRNA-167.h5"", ""GSM8181595_EEM-scRNA-170.h5"", ""GSM8181596_EEM-scRNA-172.h5"", ""GSM8181597_EEM-scRNA-179.h5"", ""GSM8181598_EEM-scRNA-180.h5"", ""GSM8181599_EEM-scRNA-181.h5"", ""GSM8181600_EEM-scRNA-182.h5"", ""GSM8181601_EEM-scRNA-236.h5"", ""GSM8181602_EEM-scRNA-237.h5"", ""GSM8181603_EEM-scRNA-238.h5"", ""GSM8181604_EEM-scRNA-239.h5"", ""GSM8181605_EEM-scRNA-249.h5"", ""GSM8181606_EEM-scRNA-250.h5"", ""GSM8181607_EEM-scRNA-251.h5"", ""GSM8181608_EEM-scRNA-288.h5"", ""GSM8181609_EEM-scRNA-289.h5"", ""GSM8181610_EEM-scRNA-290.h5"", ""GSM8181611_EEM-scRNA-291.h5"", ""GSM8181612_EEM-scRNA-292.h5"", ""GSM8181613_EEM-scRNA-310.h5"", ""GSM8181614_EEM-scRNA-311.h5"", ""GSM8181615_EEM-scRNA-312.h5""]}"
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE262927\GSE262927_CellMetaData.csv,GSE262927_CellMetaData.csv,GSE262927,.csv,16433533,15.7 MB,delimited text (comma),metadata / annotation table,GSE262927,,123189 rows x 15 columns,no,yes,yes (derived annotation),,,"{""n_columns"": 15, ""columns_preview"": [""cellbarcode"", ""orig.ident"", ""nCount_RNA"", ""nFeature_RNA"", ""percent.mito"", ""phase"", ""tamoxifen_start_day"", ""sacrifice_day"", ""sex"", ""experimental_group"", ""trace_call"", ""lineage"", ""celltype"", ""subtype"", ""cb""], ""delimiter"": ""comma"", ""n_data_rows"": 123189, ""fraction_numeric_in_first_row"": 0.357}"
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE262927\GSE262927_RAW\GSM8181583_EEM-scRNA-113.h5,GSM8181583_EEM-scRNA-113.h5,GSE262927\GSE262927_RAW,.h5,14224562,13.6 MB,10x CellRanger HDF5 (v3 layout),"10x count matrix, cell-called by barcode count",GSE262927,EEM-scRNA-113,55361 genes x 3956 barcodes,yes (integer values),no,no (looks like raw counts),"MOUSE (12/12 title-case markers, 37 'mt-' genes)",,"{""hdf5_top_level_keys"": [""matrix""], ""n_genes"": 55361, ""n_barcodes"": 3956, ""data_dtype"": ""float64"", ""min_value"": 0.0, ""max_value_in_probe"": 10033.0, ""genome"": [""unknown""], ""feature_types"": {""Gene Expression"": 55361}, ""mouse_probe_hits"": [""Sftpc"", ""Krt8"", ""Trp63"", ""Ager"", ""Scgb1a1"", ""Foxj1"", ""Cd3d"", ""Lyz2"", ""Col1a1"", ""Pecam1"", ""Actb"", ""Epcam""], ""human_probe_hits"": [], ""n_mt_mouse_style"": 37, ""n_mt_human_style"": 0, ""n_duplicate_gene_symbols"": 0, ""gsm"": ""GSM8181583""}"
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE262927\GSE262927_RAW\GSM8181584_EEM-scRNA-116.h5,GSM8181584_EEM-scRNA-116.h5,GSE262927\GSE262927_RAW,.h5,28439042,27.1 MB,10x CellRanger HDF5 (v3 layout),"10x count matrix, cell-called by barcode count",GSE262927,EEM-scRNA-116,55361 genes x 5686 barcodes,yes (integer values),no,no (looks like raw counts),"MOUSE (12/12 title-case markers, 37 'mt-' genes)",,"{""hdf5_top_level_keys"": [""matrix""], ""n_genes"": 55361, ""n_barcodes"": 5686, ""data_dtype"": ""float64"", ""min_value"": 0.0, ""max_value_in_probe"": 2240.0, ""genome"": [""unknown""], ""feature_types"": {""Gene Expression"": 55361}, ""mouse_probe_hits"": [""Sftpc"", ""Krt8"", ""Trp63"", ""Ager"", ""Scgb1a1"", ""Foxj1"", ""Cd3d"", ""Lyz2"", ""Col1a1"", ""Pecam1"", ""Actb"", ""Epcam""], ""human_probe_hits"": [], ""n_mt_mouse_style"": 37, ""n_mt_human_style"": 0, ""n_duplicate_gene_symbols"": 0, ""gsm"": ""GSM8181584""}"
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE262927\GSE262927_RAW\GSM8181585_EEM-scRNA-117.h5,GSM8181585_EEM-scRNA-117.h5,GSE262927\GSE262927_RAW,.h5,29460759,28.1 MB,10x CellRanger HDF5 (v3 layout),"10x count matrix, cell-called by barcode count",GSE262927,EEM-scRNA-117,55361 genes x 6172 barcodes,yes (integer values),no,no (looks like raw counts),"MOUSE (12/12 title-case markers, 37 'mt-' genes)",,"{""hdf5_top_level_keys"": [""matrix""], ""n_genes"": 55361, ""n_barcodes"": 6172, ""data_dtype"": ""float64"", ""min_value"": 0.0, ""max_value_in_probe"": 3751.0, ""genome"": [""unknown""], ""feature_types"": {""Gene Expression"": 55361}, ""mouse_probe_hits"": [""Sftpc"", ""Krt8"", ""Trp63"", ""Ager"", ""Scgb1a1"", ""Foxj1"", ""Cd3d"", ""Lyz2"", ""Col1a1"", ""Pecam1"", ""Actb"", ""Epcam""], ""human_probe_hits"": [], ""n_mt_mouse_style"": 37, ""n_mt_human_style"": 0, ""n_duplicate_gene_symbols"": 0, ""gsm"": ""GSM8181585""}"
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE262927\GSE262927_RAW\GSM8181586_EEM-scRNA-118.h5,GSM8181586_EEM-scRNA-118.h5,GSE262927\GSE262927_RAW,.h5,24228688,23.1 MB,10x CellRanger HDF5 (v3 layout),"10x count matrix, cell-called by barcode count",GSE262927,EEM-scRNA-118,55361 genes x 6317 barcodes,yes (integer values),no,no (looks like raw counts),"MOUSE (12/12 title-case markers, 37 'mt-' genes)",,"{""hdf5_top_level_keys"": [""matrix""], ""n_genes"": 55361, ""n_barcodes"": 6317, ""data_dtype"": ""float64"", ""min_value"": 0.0, ""max_value_in_probe"": 4006.0, ""genome"": [""unknown""], ""feature_types"": {""Gene Expression"": 55361}, ""mouse_probe_hits"": [""Sftpc"", ""Krt8"", ""Trp63"", ""Ager"", ""Scgb1a1"", ""Foxj1"", ""Cd3d"", ""Lyz2"", ""Col1a1"", ""Pecam1"", ""Actb"", ""Epcam""], ""human_probe_hits"": [], ""n_mt_mouse_style"": 37, ""n_mt_human_style"": 0, ""n_duplicate_gene_symbols"": 0, ""gsm"": ""GSM8181586""}"
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE262927\GSE262927_RAW\GSM8181587_EEM-scRNA-124.h5,GSM8181587_EEM-scRNA-124.h5,GSE262927\GSE262927_RAW,.h5,16928559,16.1 MB,10x CellRanger HDF5 (v3 layout),"10x count matrix, cell-called by barcode count",GSE262927,EEM-scRNA-124,55361 genes x 5572 barcodes,yes (integer values),no,no (looks like raw counts),"MOUSE (12/12 title-case markers, 37 'mt-' genes)",,"{""hdf5_top_level_keys"": [""matrix""], ""n_genes"": 55361, ""n_barcodes"": 5572, ""data_dtype"": ""float64"", ""min_value"": 0.0, ""max_value_in_probe"": 9206.0, ""genome"": [""unknown""], ""feature_types"": {""Gene Expression"": 55361}, ""mouse_probe_hits"": [""Sftpc"", ""Krt8"", ""Trp63"", ""Ager"", ""Scgb1a1"", ""Foxj1"", ""Cd3d"", ""Lyz2"", ""Col1a1"", ""Pecam1"", ""Actb"", ""Epcam""], ""human_probe_hits"": [], ""n_mt_mouse_style"": 37, ""n_mt_human_style"": 0, ""n_duplicate_gene_symbols"": 0, ""gsm"": ""GSM8181587""}"
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE262927\GSE262927_RAW\GSM8181588_EEM-scRNA-125.h5,GSM8181588_EEM-scRNA-125.h5,GSE262927\GSE262927_RAW,.h5,20609960,19.7 MB,10x CellRanger HDF5 (v3 layout),"10x count matrix, cell-called by barcode count",GSE262927,EEM-scRNA-125,55361 genes x 6114 barcodes,yes (integer values),no,no (looks like raw counts),"MOUSE (12/12 title-case markers, 37 'mt-' genes)",,"{""hdf5_top_level_keys"": [""matrix""], ""n_genes"": 55361, ""n_barcodes"": 6114, ""data_dtype"": ""float64"", ""min_value"": 0.0, ""max_value_in_probe"": 2748.0, ""genome"": [""unknown""], ""feature_types"": {""Gene Expression"": 55361}, ""mouse_probe_hits"": [""Sftpc"", ""Krt8"", ""Trp63"", ""Ager"", ""Scgb1a1"", ""Foxj1"", ""Cd3d"", ""Lyz2"", ""Col1a1"", ""Pecam1"", ""Actb"", ""Epcam""], ""human_probe_hits"": [], ""n_mt_mouse_style"": 37, ""n_mt_human_style"": 0, ""n_duplicate_gene_symbols"": 0, ""gsm"": ""GSM8181588""}"
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE262927\GSE262927_RAW\GSM8181589_EEM-scRNA-126.h5,GSM8181589_EEM-scRNA-126.h5,GSE262927\GSE262927_RAW,.h5,22024124,21.0 MB,10x CellRanger HDF5 (v3 layout),"10x count matrix, cell-called by barcode count",GSE262927,EEM-scRNA-126,55361 genes x 6046 barcodes,yes (integer values),no,no (looks like raw counts),"MOUSE (12/12 title-case markers, 37 'mt-' genes)",,"{""hdf5_top_level_keys"": [""matrix""], ""n_genes"": 55361, ""n_barcodes"": 6046, ""data_dtype"": ""float64"", ""min_value"": 0.0, ""max_value_in_probe"": 13375.0, ""genome"": [""unknown""], ""feature_types"": {""Gene Expression"": 55361}, ""mouse_probe_hits"": [""Sftpc"", ""Krt8"", ""Trp63"", ""Ager"", ""Scgb1a1"", ""Foxj1"", ""Cd3d"", ""Lyz2"", ""Col1a1"", ""Pecam1"", ""Actb"", ""Epcam""], ""human_probe_hits"": [], ""n_mt_mouse_style"": 37, ""n_mt_human_style"": 0, ""n_duplicate_gene_symbols"": 0, ""gsm"": ""GSM8181589""}"
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE262927\GSE262927_RAW\GSM8181590_EEM-scRNA-127.h5,GSM8181590_EEM-scRNA-127.h5,GSE262927\GSE262927_RAW,.h5,22912060,21.9 MB,10x CellRanger HDF5 (v3 layout),"10x count matrix, cell-called by barcode count",GSE262927,EEM-scRNA-127,55361 genes x 6374 barcodes,yes (integer values),no,no (looks like raw counts),"MOUSE (12/12 title-case markers, 37 'mt-' genes)",,"{""hdf5_top_level_keys"": [""matrix""], ""n_genes"": 55361, ""n_barcodes"": 6374, ""data_dtype"": ""float64"", ""min_value"": 0.0, ""max_value_in_probe"": 9679.0, ""genome"": [""unknown""], ""feature_types"": {""Gene Expression"": 55361}, ""mouse_probe_hits"": [""Sftpc"", ""Krt8"", ""Trp63"", ""Ager"", ""Scgb1a1"", ""Foxj1"", ""Cd3d"", ""Lyz2"", ""Col1a1"", ""Pecam1"", ""Actb"", ""Epcam""], ""human_probe_hits"": [], ""n_mt_mouse_style"": 37, ""n_mt_human_style"": 0, ""n_duplicate_gene_symbols"": 0, ""gsm"": ""GSM8181590""}"
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE262927\GSE262927_RAW\GSM8181591_EEM-scRNA-158.h5,GSM8181591_EEM-scRNA-158.h5,GSE262927\GSE262927_RAW,.h5,23497515,22.4 MB,10x CellRanger HDF5 (v3 layout),"10x count matrix, cell-called by barcode count",GSE262927,EEM-scRNA-158,55361 genes x 7693 barcodes,yes (integer values),no,no (looks like raw counts),"MOUSE (12/12 title-case markers, 37 'mt-' genes)",,"{""hdf5_top_level_keys"": [""matrix""], ""n_genes"": 55361, ""n_barcodes"": 7693, ""data_dtype"": ""float64"", ""min_value"": 0.0, ""max_value_in_probe"": 19991.0, ""genome"": [""unknown""], ""feature_types"": {""Gene Expression"": 55361}, ""mouse_probe_hits"": [""Sftpc"", ""Krt8"", ""Trp63"", ""Ager"", ""Scgb1a1"", ""Foxj1"", ""Cd3d"", ""Lyz2"", ""Col1a1"", ""Pecam1"", ""Actb"", ""Epcam""], ""human_probe_hits"": [], ""n_mt_mouse_style"": 37, ""n_mt_human_style"": 0, ""n_duplicate_gene_symbols"": 0, ""gsm"": ""GSM8181591""}"
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE262927\GSE262927_RAW\GSM8181592_EEM-scRNA-162.h5,GSM8181592_EEM-scRNA-162.h5,GSE262927\GSE262927_RAW,.h5,21118645,20.1 MB,10x CellRanger HDF5 (v3 layout),"10x count matrix, cell-called by barcode count",GSE262927,EEM-scRNA-162,55361 genes x 7129 barcodes,yes (integer values),no,no (looks like raw counts),"MOUSE (12/12 title-case markers, 37 'mt-' genes)",,"{""hdf5_top_level_keys"": [""matrix""], ""n_genes"": 55361, ""n_barcodes"": 7129, ""data_dtype"": ""float64"", ""min_value"": 0.0, ""max_value_in_probe"": 2175.0, ""genome"": [""unknown""], ""feature_types"": {""Gene Expression"": 55361}, ""mouse_probe_hits"": [""Sftpc"", ""Krt8"", ""Trp63"", ""Ager"", ""Scgb1a1"", ""Foxj1"", ""Cd3d"", ""Lyz2"", ""Col1a1"", ""Pecam1"", ""Actb"", ""Epcam""], ""human_probe_hits"": [], ""n_mt_mouse_style"": 37, ""n_mt_human_style"": 0, ""n_duplicate_gene_symbols"": 0, ""gsm"": ""GSM8181592""}"
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE262927\GSE262927_RAW\GSM8181593_EEM-scRNA-166.h5,GSM8181593_EEM-scRNA-166.h5,GSE262927\GSE262927_RAW,.h5,27676517,26.4 MB,10x CellRanger HDF5 (v3 layout),"10x count matrix, cell-called by barcode count",GSE262927,EEM-scRNA-166,55361 genes x 7227 barcodes,yes (integer values),no,no (looks like raw counts),"MOUSE (12/12 title-case markers, 37 'mt-' genes)",,"{""hdf5_top_level_keys"": [""matrix""], ""n_genes"": 55361, ""n_barcodes"": 7227, ""data_dtype"": ""float64"", ""min_value"": 0.0, ""max_value_in_probe"": 888.0, ""genome"": [""unknown""], ""feature_types"": {""Gene Expression"": 55361}, ""mouse_probe_hits"": [""Sftpc"", ""Krt8"", ""Trp63"", ""Ager"", ""Scgb1a1"", ""Foxj1"", ""Cd3d"", ""Lyz2"", ""Col1a1"", ""Pecam1"", ""Actb"", ""Epcam""], ""human_probe_hits"": [], ""n_mt_mouse_style"": 37, ""n_mt_human_style"": 0, ""n_duplicate_gene_symbols"": 0, ""gsm"": ""GSM8181593""}"
