accession,gene_short_name,tracking_id,gene_id,locus,FPKM,FPKM_lo,FPKM_hi,status
GSM2943008,Wnt3,Wnt3,Wnt3,chr11:103774174-103818021,0,0,0,OK
GSM2943008,Wnt3a,Wnt3a,Wnt3a,chr11:59248041-59290751,0,0,0,OK
GSM2943008,Wnt4,Wnt4,Wnt4,chr4:137277634-137299501,0,0,0,OK
GSM2943008,Wnt5a,Wnt5a,Wnt5a,chr14:28505472-28525515,56.7678,50.8596,62.6759,OK
GSM2943008,Wnt5b,Wnt5b,Wnt5b,chr6:119432530-119544347,0,0,0,OK
GSM2943008,Wnt6,Wnt6,Wnt6,chr1:74771891-74785319,0,0,0,OK
GSM2943008,Wnt7a,Wnt7a,Wnt7a,chr6:91363982-91411369,0,0,0,OK
GSM2943008,Wnt7b,Wnt7b,Wnt7b,chr15:85535436-85581821,0,0,0,OK
GSM2943008,Wnt8a,Wnt8a,Wnt8a,chr18:34542327-34548061,0,0,0,OK
GSM2943008,Wnt8b,Wnt8b,Wnt8b,chr19:44493471-44514273,0,0,0,OK
GSM2943008,Wnt9a,Wnt9a,Wnt9a,chr11:59306929-59333552,0,0,0,OK
GSM2943008,Wnt9b,Wnt9b,Wnt9b,chr11:103727362-103749821,0,0,0,OK
GSM2943009,Actb,Actb,Actb,chr5:142903115-142906724,1857.34,1805.37,1909.31,OK
GSM2943009,Ager,Ager,Ager,chr17:34597861-34600932,0,0,0,OK
GSM2943009,Axin2,Axin2,Axin2,chr11:108920348-108950781,15.6281,12.5632,18.693,OK
GSM2943009,Col1a1,Col1a1,Col1a1,chr11:94936269-94951856,9.34993,7.09873,11.6011,OK
GSM2943009,Col1a2,Col1a2,Col1a2,chr6:4505696-4541543,88.253,81.6567,94.8494,OK
GSM2943009,Epcam,Epcam,Epcam,chr17:87635978-87651127,0,0,0,OK
GSM2943009,Gapdh,Gapdh,Gapdh,chr6:125161851-125165583,63.8197,51.4495,76.19,OK
GSM2943009,Mgp,Mgp,Mgp,chr6:136872434-136875805,3291.36,3146.31,3436.41,OK
GSM2943009,Pdgfra,Pdgfra,Pdgfra,chr5:75152290-75198204,0,0,0,OK
GSM2943009,Pecam1,Pecam1,Pecam1,chr11:106654217-106715281,0,0,0,OK
GSM2943009,Porcn,Porcn,Porcn,chrX:8193849-8206525,0,0,0,OK
GSM2943009,Ppia,Ppia,Ppia,chr11:6415869-6419810,205.659,174.566,236.752,OK
GSM2943009,Ptprc,Ptprc,Ptprc,chr1:138062860-138175305,0,0,0,OK
GSM2943009,Sftpc,Sftpc,Sftpc,chr14:70520941-70524081,22.8855,13.1271,32.6439,OK
GSM2943009,Ubc,Ubc,Ubc,chr5:125385964-125390017,100.23,89.6864,110.775,OK
GSM2943009,Wls,Wls,Wls,chr3:159839694-159935175,57.6517,50.0991,65.2043,OK
GSM2943009,Wnt1,Wnt1,Wnt1,chr15:98789856-98793830,0,0,0,OK
GSM2943009,Wnt10a,Wnt10a,Wnt10a,chr1:74792018-74804175,0,0,0,OK
GSM2943009,Wnt10b,Wnt10b,Wnt10b,chr15:98771751-98778150,0,0,0,OK
GSM2943009,Wnt11,Wnt11,Wnt11,chr7:98838844-98854747,1.41766,0.260146,2.57518,OK
GSM2943009,Wnt16,Wnt16,Wnt16,chr6:22288226-22298522,0,0,0,OK
GSM2943009,Wnt2,Wnt2,Wnt2,chr6:17988939-18030445,0,0,0,OK
GSM2943009,Wnt2b,Wnt2b,Wnt2b,chr3:104944804-104961709,68.5862,61.5402,75.6323,OK
GSM2943009,Wnt3,Wnt3,Wnt3,chr11:103774174-103818021,0,0,0,OK
GSM2943009,Wnt3a,Wnt3a,Wnt3a,chr11:59248041-59290751,0,0,0,OK
GSM2943009,Wnt4,Wnt4,Wnt4,chr4:137277634-137299501,0,0,0,OK
GSM2943009,Wnt5a,Wnt5a,Wnt5a,chr14:28505472-28525515,0,0,0,OK
GSM2943009,Wnt5b,Wnt5b,Wnt5b,chr6:119432530-119544347,0,0,0,OK
GSM2943009,Wnt6,Wnt6,Wnt6,chr1:74771891-74785319,0,0,0,OK
GSM2943009,Wnt7a,Wnt7a,Wnt7a,chr6:91363982-91411369,0,0,0,OK
GSM2943009,Wnt7b,Wnt7b,Wnt7b,chr15:85535436-85581821,0,0,0,OK
GSM2943009,Wnt8a,Wnt8a,Wnt8a,chr18:34542327-34548061,0,0,0,OK
GSM2943009,Wnt8b,Wnt8b,Wnt8b,chr19:44493471-44514273,0,0,0,OK
GSM2943009,Wnt9a,Wnt9a,Wnt9a,chr11:59306929-59333552,0,0,0,OK
GSM2943009,Wnt9b,Wnt9b,Wnt9b,chr11:103727362-103749821,0,0,0,OK
GSM2943010,Actb,Actb,Actb,chr5:142903115-142906724,1467.27,1425.2,1509.33,OK
GSM2943010,Ager,Ager,Ager,chr17:34597861-34600932,0,0,0,OK
GSM2943010,Axin2,Axin2,Axin2,chr11:108920348-108950781,0,0,0,OK
GSM2943010,Col1a1,Col1a1,Col1a1,chr11:94936269-94951856,66.8469,61.3706,72.3232,OK
GSM2943010,Col1a2,Col1a2,Col1a2,chr6:4505696-4541543,142.356,134.735,149.978,OK
GSM2943010,Epcam,Epcam,Epcam,chr17:87635978-87651127,0,0,0,OK
GSM2943010,Gapdh,Gapdh,Gapdh,chr6:125161851-125165583,11.3323,6.58051,16.0841,OK
GSM2943010,Mgp,Mgp,Mgp,chr6:136872434-136875805,4760.6,4600.89,4920.3,OK
GSM2943010,Pdgfra,Pdgfra,Pdgfra,chr5:75152290-75198204,29.3739,26.3156,32.4321,OK
GSM2943010,Pecam1,Pecam1,Pecam1,chr11:106654217-106715281,0,0,0,OK
GSM2943010,Porcn,Porcn,Porcn,chrX:8193849-8206525,0,0,0,OK
GSM2943010,Ppia,Ppia,Ppia,chr11:6415869-6419810,265.142,232.88,297.404,OK
GSM2943010,Ptprc,Ptprc,Ptprc,chr1:138062860-138175305,0,0,0,OK
GSM2943010,Sftpc,Sftpc,Sftpc,chr14:70520941-70524081,17.788,9.93057,25.6454,OK
GSM2943010,Ubc,Ubc,Ubc,chr5:125385964-125390017,354.474,336.423,372.525,OK
GSM2943010,Wls,Wls,Wls,chr3:159839694-159935175,51.328,44.8492,57.8067,OK
GSM2943010,Wnt1,Wnt1,Wnt1,chr15:98789856-98793830,0,0,0,OK
GSM2943010,Wnt10a,Wnt10a,Wnt10a,chr1:74792018-74804175,0,0,0,OK
GSM2943010,Wnt10b,Wnt10b,Wnt10b,chr15:98771751-98778150,0,0,0,OK
GSM2943010,Wnt11,Wnt11,Wnt11,chr7:98838844-98854747,0,0,0,OK
GSM2943010,Wnt16,Wnt16,Wnt16,chr6:22288226-22298522,0,0,0,OK
GSM2943010,Wnt2,Wnt2,Wnt2,chr6:17988939-18030445,0,0,0,OK
GSM2943010,Wnt2b,Wnt2b,Wnt2b,chr3:104944804-104961709,0,0,0,OK
GSM2943010,Wnt3,Wnt3,Wnt3,chr11:103774174-103818021,0,0,0,OK
GSM2943010,Wnt3a,Wnt3a,Wnt3a,chr11:59248041-59290751,0,0,0,OK
GSM2943010,Wnt4,Wnt4,Wnt4,chr4:137277634-137299501,0,0,0,OK
GSM2943010,Wnt5a,Wnt5a,Wnt5a,chr14:28505472-28525515,3.29113,1.89728,4.68497,OK
GSM2943010,Wnt5b,Wnt5b,Wnt5b,chr6:119432530-119544347,0.935067,0,1.87013,OK
GSM2943010,Wnt6,Wnt6,Wnt6,chr1:74771891-74785319,0,0,0,OK
GSM2943010,Wnt7a,Wnt7a,Wnt7a,chr6:91363982-91411369,0,0,0,OK
GSM2943010,Wnt7b,Wnt7b,Wnt7b,chr15:85535436-85581821,0,0,0,OK
GSM2943010,Wnt8a,Wnt8a,Wnt8a,chr18:34542327-34548061,0,0,0,OK
GSM2943010,Wnt8b,Wnt8b,Wnt8b,chr19:44493471-44514273,0,0,0,OK
GSM2943010,Wnt9a,Wnt9a,Wnt9a,chr11:59306929-59333552,0,0,0,OK
GSM2943010,Wnt9b,Wnt9b,Wnt9b,chr11:103727362-103749821,0,0,0,OK
GSM2943011,Actb,Actb,Actb,chr5:142903115-142906724,4257.53,4183.74,4331.32,OK
GSM2943011,Ager,Ager,Ager,chr17:34597861-34600932,0,0,0,OK
GSM2943011,Axin2,Axin2,Axin2,chr11:108920348-108950781,0,0,0,OK
GSM2943011,Col1a1,Col1a1,Col1a1,chr11:94936269-94951856,91.1161,84.5404,97.6918,OK
GSM2943011,Col1a2,Col1a2,Col1a2,chr6:4505696-4541543,40.8908,36.6899,45.0916,OK
GSM2943011,Epcam,Epcam,Epcam,chr17:87635978-87651127,0,0,0,OK
GSM2943011,Gapdh,Gapdh,Gapdh,chr6:125161851-125165583,57.6041,46.5565,68.6517,OK
GSM2943011,Mgp,Mgp,Mgp,chr6:136872434-136875805,3986.91,3835.36,4138.45,OK
GSM2943011,Pdgfra,Pdgfra,Pdgfra,chr5:75152290-75198204,0.922052,0.341419,1.50268,OK
GSM2943011,Pecam1,Pecam1,Pecam1,chr11:106654217-106715281,0,0,0,OK
GSM2943011,Porcn,Porcn,Porcn,chrX:8193849-8206525,0,0,0,OK
GSM2943011,Ppia,Ppia,Ppia,chr11:6415869-6419810,747.799,691.743,803.856,OK
GSM2943011,Ptprc,Ptprc,Ptprc,chr1:138062860-138175305,0,0,0,OK
GSM2943011,Sftpc,Sftpc,Sftpc,chr14:70520941-70524081,45.9059,32.8564,58.9555,OK
GSM2943011,Ubc,Ubc,Ubc,chr5:125385964-125390017,556.893,533.605,580.182,OK
GSM2943011,Wls,Wls,Wls,chr3:159839694-159935175,365.756,347.983,383.529,OK
GSM2943011,Wnt1,Wnt1,Wnt1,chr15:98789856-98793830,0,0,0,OK
GSM2943011,Wnt10a,Wnt10a,Wnt10a,chr1:74792018-74804175,0,0,0,OK
GSM2943011,Wnt10b,Wnt10b,Wnt10b,chr15:98771751-98778150,0,0,0,OK
GSM2943011,Wnt11,Wnt11,Wnt11,chr7:98838844-98854747,7.25491,4.8023,9.70752,OK
GSM2943011,Wnt16,Wnt16,Wnt16,chr6:22288226-22298522,0,0,0,OK
GSM2943011,Wnt2,Wnt2,Wnt2,chr6:17988939-18030445,0,0,0,OK
GSM2943011,Wnt2b,Wnt2b,Wnt2b,chr3:104944804-104961709,0,0,0,OK
GSM2943011,Wnt3,Wnt3,Wnt3,chr11:103774174-103818021,0,0,0,OK
GSM2943011,Wnt3a,Wnt3a,Wnt3a,chr11:59248041-59290751,0,0,0,OK
GSM2943011,Wnt4,Wnt4,Wnt4,chr4:137277634-137299501,0,0,0,OK
GSM2943011,Wnt5a,Wnt5a,Wnt5a,chr14:28505472-28525515,0,0,0,OK
GSM2943011,Wnt5b,Wnt5b,Wnt5b,chr6:119432530-119544347,0.990744,0,1.98149,OK
GSM2943011,Wnt6,Wnt6,Wnt6,chr1:74771891-74785319,0,0,0,OK
GSM2943011,Wnt7a,Wnt7a,Wnt7a,chr6:91363982-91411369,0,0,0,OK
GSM2943011,Wnt7b,Wnt7b,Wnt7b,chr15:85535436-85581821,0,0,0,OK
GSM2943011,Wnt8a,Wnt8a,Wnt8a,chr18:34542327-34548061,0,0,0,OK
GSM2943011,Wnt8b,Wnt8b,Wnt8b,chr19:44493471-44514273,0,0,0,OK
GSM2943011,Wnt9a,Wnt9a,Wnt9a,chr11:59306929-59333552,0.171688,0,0.515064,OK
GSM2943011,Wnt9b,Wnt9b,Wnt9b,chr11:103727362-103749821,0,0,0,OK
GSM2943012,Actb,Actb,Actb,chr5:142903115-142906724,3620.82,3552.67,3688.98,OK
GSM2943012,Ager,Ager,Ager,chr17:34597861-34600932,0,0,0,OK
GSM2943012,Axin2,Axin2,Axin2,chr11:108920348-108950781,0,0,0,OK
GSM2943012,Col1a1,Col1a1,Col1a1,chr11:94936269-94951856,9.88323,7.71358,12.0529,OK
GSM2943012,Col1a2,Col1a2,Col1a2,chr6:4505696-4541543,199.738,190.437,209.04,OK
GSM2943012,Epcam,Epcam,Epcam,chr17:87635978-87651127,0,0,0,OK
GSM2943012,Gapdh,Gapdh,Gapdh,chr6:125161851-125165583,33.0833,24.6993,41.4674,OK
GSM2943012,Mgp,Mgp,Mgp,chr6:136872434-136875805,2492.5,2372.61,2612.38,OK
GSM2943012,Pdgfra,Pdgfra,Pdgfra,chr5:75152290-75198204,3.95449,2.78869,5.12029,OK
GSM2943012,Pecam1,Pecam1,Pecam1,chr11:106654217-106715281,0,0,0,OK
GSM2943012,Porcn,Porcn,Porcn,chrX:8193849-8206525,0,0,0,OK
GSM2943012,Ppia,Ppia,Ppia,chr11:6415869-6419810,451.097,407.522,494.673,OK
GSM2943012,Ptprc,Ptprc,Ptprc,chr1:138062860-138175305,0,0,0,OK
GSM2943012,Sftpc,Sftpc,Sftpc,chr14:70520941-70524081,12.0798,5.37912,18.7804,OK
GSM2943012,Ubc,Ubc,Ubc,chr5:125385964-125390017,170.049,157.158,182.94,OK
GSM2943012,Wls,Wls,Wls,chr3:159839694-159935175,271.667,256.324,287.009,OK
GSM2943012,Wnt1,Wnt1,Wnt1,chr15:98789856-98793830,0,0,0,OK
GSM2943012,Wnt10a,Wnt10a,Wnt10a,chr1:74792018-74804175,0,0,0,OK
GSM2943012,Wnt10b,Wnt10b,Wnt10b,chr15:98771751-98778150,0,0,0,OK
GSM2943012,Wnt11,Wnt11,Wnt11,chr7:98838844-98854747,0,0,0,OK
GSM2943012,Wnt16,Wnt16,Wnt16,chr6:22288226-22298522,0,0,0,OK
GSM2943012,Wnt2,Wnt2,Wnt2,chr6:17988939-18030445,0,0,0,OK
GSM2943012,Wnt2b,Wnt2b,Wnt2b,chr3:104944804-104961709,7.32103,5.16217,9.47988,OK
GSM2943012,Wnt3,Wnt3,Wnt3,chr11:103774174-103818021,0,0,0,OK
GSM2943012,Wnt3a,Wnt3a,Wnt3a,chr11:59248041-59290751,0,0,0,OK
GSM2943012,Wnt4,Wnt4,Wnt4,chr4:137277634-137299501,0,0,0,OK
GSM2943012,Wnt5a,Wnt5a,Wnt5a,chr14:28505472-28525515,0,0,0,OK
GSM2943012,Wnt5b,Wnt5b,Wnt5b,chr6:119432530-119544347,3.23083,1.43869,5.02297,OK
GSM2943012,Wnt6,Wnt6,Wnt6,chr1:74771891-74785319,0,0,0,OK
GSM2943012,Wnt7a,Wnt7a,Wnt7a,chr6:91363982-91411369,0,0,0,OK
GSM2943012,Wnt7b,Wnt7b,Wnt7b,chr15:85535436-85581821,0,0,0,OK
GSM2943012,Wnt8a,Wnt8a,Wnt8a,chr18:34542327-34548061,0,0,0,OK
GSM2943012,Wnt8b,Wnt8b,Wnt8b,chr19:44493471-44514273,0,0,0,OK
GSM2943012,Wnt9a,Wnt9a,Wnt9a,chr11:59306929-59333552,0,0,0,OK
GSM2943012,Wnt9b,Wnt9b,Wnt9b,chr11:103727362-103749821,0,0,0,OK
GSM2943013,Actb,Actb,Actb,chr5:142903115-142906724,1960.81,1913.09,2008.52,OK
GSM2943013,Ager,Ager,Ager,chr17:34597861-34600932,0,0,0,OK
GSM2943013,Axin2,Axin2,Axin2,chr11:108920348-108950781,0.238918,0,0.576798,OK
GSM2943013,Col1a1,Col1a1,Col1a1,chr11:94936269-94951856,74.5745,68.9068,80.2423,OK
GSM2943013,Col1a2,Col1a2,Col1a2,chr6:4505696-4541543,58.2685,53.491,63.0461,OK
GSM2943013,Epcam,Epcam,Epcam,chr17:87635978-87651127,0,0,0,OK
GSM2943013,Gapdh,Gapdh,Gapdh,chr6:125161851-125165583,18.3595,12.4159,24.3031,OK
GSM2943013,Mgp,Mgp,Mgp,chr6:136872434-136875805,12510.8,12254.8,12766.7,OK
GSM2943013,Pdgfra,Pdgfra,Pdgfra,chr5:75152290-75198204,13.4669,11.4368,15.4971,OK
GSM2943013,Pecam1,Pecam1,Pecam1,chr11:106654217-106715281,0,0,0,OK
GSM2943013,Porcn,Porcn,Porcn,chrX:8193849-8206525,0,0,0,OK
GSM2943013,Ppia,Ppia,Ppia,chr11:6415869-6419810,217.019,188.232,245.806,OK
GSM2943013,Ptprc,Ptprc,Ptprc,chr1:138062860-138175305,0,0,0,OK
GSM2943013,Sftpc,Sftpc,Sftpc,chr14:70520941-70524081,8.42609,3.09696,13.7552,OK
GSM2943013,Ubc,Ubc,Ubc,chr5:125385964-125390017,230.672,216.391,244.953,OK
GSM2943013,Wls,Wls,Wls,chr3:159839694-159935175,79.5136,71.4331,87.594,OK
GSM2943013,Wnt1,Wnt1,Wnt1,chr15:98789856-98793830,0,0,0,OK
GSM2943013,Wnt10a,Wnt10a,Wnt10a,chr1:74792018-74804175,0,0,0,OK
GSM2943013,Wnt10b,Wnt10b,Wnt10b,chr15:98771751-98778150,0,0,0,OK
GSM2943013,Wnt11,Wnt11,Wnt11,chr7:98838844-98854747,0,0,0,OK
GSM2943013,Wnt16,Wnt16,Wnt16,chr6:22288226-22298522,0,0,0,OK
GSM2943013,Wnt2,Wnt2,Wnt2,chr6:17988939-18030445,0,0,0,OK
GSM2943013,Wnt2b,Wnt2b,Wnt2b,chr3:104944804-104961709,0,0,0,OK
GSM2943013,Wnt3,Wnt3,Wnt3,chr11:103774174-103818021,0,0,0,OK
GSM2943013,Wnt3a,Wnt3a,Wnt3a,chr11:59248041-59290751,0,0,0,OK
GSM2943013,Wnt4,Wnt4,Wnt4,chr4:137277634-137299501,0.0111609,0,0.0884858,OK
GSM2943013,Wnt5a,Wnt5a,Wnt5a,chr14:28505472-28525515,0,0,0,OK
GSM2943013,Wnt5b,Wnt5b,Wnt5b,chr6:119432530-119544347,0,0,0,OK
GSM2943013,Wnt6,Wnt6,Wnt6,chr1:74771891-74785319,0,0,0,OK
GSM2943013,Wnt7a,Wnt7a,Wnt7a,chr6:91363982-91411369,0,0,0,OK
GSM2943013,Wnt7b,Wnt7b,Wnt7b,chr15:85535436-85581821,0,0,0,OK
GSM2943013,Wnt8a,Wnt8a,Wnt8a,chr18:34542327-34548061,0,0,0,OK
GSM2943013,Wnt8b,Wnt8b,Wnt8b,chr19:44493471-44514273,0,0,0,OK
GSM2943013,Wnt9a,Wnt9a,Wnt9a,chr11:59306929-59333552,0,0,0,OK
GSM2943013,Wnt9b,Wnt9b,Wnt9b,chr11:103727362-103749821,0,0,0,OK
GSM2943014,Actb,Actb,Actb,chr5:142903115-142906724,1419.01,1372.55,1465.47,OK
GSM2943014,Ager,Ager,Ager,chr17:34597861-34600932,0,0,0,OK
GSM2943014,Axin2,Axin2,Axin2,chr11:108920348-108950781,0,0,0,OK
GSM2943014,Col1a1,Col1a1,Col1a1,chr11:94936269-94951856,30.0903,25.9668,34.2138,OK
GSM2943014,Col1a2,Col1a2,Col1a2,chr6:4505696-4541543,192.267,182.327,202.207,OK
GSM2943014,Epcam,Epcam,Epcam,chr17:87635978-87651127,0,0,0,OK
GSM2943014,Gapdh,Gapdh,Gapdh,chr6:125161851-125165583,35.5983,26.1334,45.0632,OK
GSM2943014,Mgp,Mgp,Mgp,chr6:136872434-136875805,6960.4,6742.73,7178.08,OK
GSM2943014,Pdgfra,Pdgfra,Pdgfra,chr5:75152290-75198204,13.7772,11.4232,16.1313,OK
GSM2943014,Pecam1,Pecam1,Pecam1,chr11:106654217-106715281,0,0,0,OK
GSM2943014,Porcn,Porcn,Porcn,chrX:8193849-8206525,0,0,0,OK
GSM2943014,Ppia,Ppia,Ppia,chr11:6415869-6419810,141.585,115.044,168.125,OK
GSM2943014,Ptprc,Ptprc,Ptprc,chr1:138062860-138175305,0,0,0,OK
GSM2943014,Sftpc,Sftpc,Sftpc,chr14:70520941-70524081,13.1857,5.57293,20.7984,OK
GSM2943014,Ubc,Ubc,Ubc,chr5:125385964-125390017,108.132,96.938,119.325,OK
GSM2943014,Wls,Wls,Wls,chr3:159839694-159935175,2.56712,0.852485,4.28176,OK
GSM2943014,Wnt1,Wnt1,Wnt1,chr15:98789856-98793830,0,0,0,OK
GSM2943014,Wnt10a,Wnt10a,Wnt10a,chr1:74792018-74804175,0,0,0,OK
GSM2943014,Wnt10b,Wnt10b,Wnt10b,chr15:98771751-98778150,0,0,0,OK
GSM2943014,Wnt11,Wnt11,Wnt11,chr7:98838844-98854747,0,0,0,OK
GSM2943014,Wnt16,Wnt16,Wnt16,chr6:22288226-22298522,0,0,0,OK
GSM2943014,Wnt2,Wnt2,Wnt2,chr6:17988939-18030445,0,0,0,OK
GSM2943014,Wnt2b,Wnt2b,Wnt2b,chr3:104944804-104961709,0,0,0,OK
GSM2943014,Wnt3,Wnt3,Wnt3,chr11:103774174-103818021,0,0,0,OK
GSM2943014,Wnt3a,Wnt3a,Wnt3a,chr11:59248041-59290751,0,0,0,OK
GSM2943014,Wnt4,Wnt4,Wnt4,chr4:137277634-137299501,0,0,0,OK
GSM2943014,Wnt5a,Wnt5a,Wnt5a,chr14:28505472-28525515,20.9114,17.0162,24.8065,OK
GSM2943014,Wnt5b,Wnt5b,Wnt5b,chr6:119432530-119544347,0,0,0,OK
GSM2943014,Wnt6,Wnt6,Wnt6,chr1:74771891-74785319,0,0,0,OK
GSM2943014,Wnt7a,Wnt7a,Wnt7a,chr6:91363982-91411369,0,0,0,OK
GSM2943014,Wnt7b,Wnt7b,Wnt7b,chr15:85535436-85581821,0,0,0,OK
GSM2943014,Wnt8a,Wnt8a,Wnt8a,chr18:34542327-34548061,0,0,0,OK
GSM2943014,Wnt8b,Wnt8b,Wnt8b,chr19:44493471-44514273,0,0,0,OK
GSM2943014,Wnt9a,Wnt9a,Wnt9a,chr11:59306929-59333552,0,0,0,OK
GSM2943014,Wnt9b,Wnt9b,Wnt9b,chr11:103727362-103749821,0,0,0,OK
GSM2943015,Actb,Actb,Actb,chr5:142903115-142906724,4677.86,4600.74,4754.97,OK
GSM2943015,Ager,Ager,Ager,chr17:34597861-34600932,0,0,0,OK
GSM2943015,Axin2,Axin2,Axin2,chr11:108920348-108950781,0,0,0,OK
GSM2943015,Col1a1,Col1a1,Col1a1,chr11:94936269-94951856,68.1044,62.4339,73.7748,OK
GSM2943015,Col1a2,Col1a2,Col1a2,chr6:4505696-4541543,263.847,253.204,274.491,OK
