cohort,unit,unit_type,genotype,stage,injury,independence,seed,group,n_cells,module,kind,n_genes,total_genes,coverage,score,interpretable,label_overlap
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,10247,HPCS_without_ADI_or_operational_markers,source_signature_minus_ADI400_and_labels,86,91,0.945054945054945,0.07808638262815436,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,10247,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.33908435990020847,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,10247,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.32033650108803324,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,10247,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.31889655355647445,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,10247,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.042272535050909214,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,10247,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.11183364798115977,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,10247,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.06243091556911629,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,10247,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.10678884611324767,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,376,HPCS_author_top100,author_notebook_top100_marker_signature,95,100,0.95,0.109070548712206,True,Cldn4;Slc4a11
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,376,HPCS_excluding_operational_markers,source_signature_minus_label_genes,93,98,0.9489795918367347,0.10066346373827499,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,376,HPCS_without_ADI_or_operational_markers,source_signature_minus_ADI400_and_labels,86,91,0.945054945054945,0.09339435922810492,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,376,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.36538461538461536,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,376,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.31521922191657775,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,376,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.33202907430099143,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,376,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.07712765957446809,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,376,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.11822281023868669,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,376,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.06878256621797656,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,376,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.11311333043855841,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,10294,HPCS_author_top100,author_notebook_top100_marker_signature,95,100,0.95,0.08213573568660333,True,Cldn4;Slc4a11
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,10294,HPCS_excluding_operational_markers,source_signature_minus_label_genes,93,98,0.9489795918367347,0.0835605248699002,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,10294,HPCS_without_ADI_or_operational_markers,source_signature_minus_ADI400_and_labels,86,91,0.945054945054945,0.07842003244156676,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,10294,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.3388852356114839,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,10294,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.320160628447137,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,10294,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.31877920040851326,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,10294,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.04240334175247717,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,10294,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.11182355499581345,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,10294,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.062386747976828194,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,10294,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.10668390146033156,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,30,HPCS_author_top100,author_notebook_top100_marker_signature,95,100,0.95,0.11789473684210527,True,Cldn4;Slc4a11
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,30,HPCS_excluding_operational_markers,source_signature_minus_label_genes,93,98,0.9489795918367347,0.1096774193548387,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,30,HPCS_without_ADI_or_operational_markers,source_signature_minus_ADI400_and_labels,86,91,0.945054945054945,0.10077519379844961,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,30,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.3058974358974359,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,30,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.3038698328935796,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,30,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.2836823734729494,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,30,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.10555555555555556,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,30,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.11319796954314719,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,30,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.06785714285714287,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,30,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.1032312925170068,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,6864,HPCS_author_top100,author_notebook_top100_marker_signature,95,100,0.95,0.07572077045761257,True,Cldn4;Slc4a11
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,6864,HPCS_excluding_operational_markers,source_signature_minus_label_genes,93,98,0.9489795918367347,0.07728651277038374,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,6864,HPCS_without_ADI_or_operational_markers,source_signature_minus_ADI400_and_labels,86,91,0.945054945054945,0.07182570336640105,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,6864,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.2667406311637081,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,6864,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.3739271392635509,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,6864,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.2711956455411953,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,6864,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.036251942501942504,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,6864,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.1031069184622484,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,6864,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.06445563365206222,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,6864,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.10054751795823223,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,32,HPCS_author_top100,author_notebook_top100_marker_signature,95,100,0.95,0.10822368421052632,True,Cldn4;Slc4a11
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,32,HPCS_excluding_operational_markers,source_signature_minus_label_genes,93,98,0.9489795918367347,0.09979838709677419,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,32,HPCS_without_ADI_or_operational_markers,source_signature_minus_ADI400_and_labels,86,91,0.945054945054945,0.09302325581395349,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,32,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.29302884615384617,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,32,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.308212401055409,True,
