assembly	gene	gene_group	chrom	strand	tss	gsm	state	replicate	mark	offset_bp	start	end	mean_CPM	covered_fraction
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-3350.0	22427927	22428027	0.07646398231387139	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-3250.0	22428027	22428127	0.03133770078420639	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-3150.0	22428127	22428227	0.00720767118036747	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-3050.0	22428227	22428327	0.0	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-2950.0	22428327	22428427	0.017549110352993013	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-2850.0	22428427	22428527	0.09275949209928512	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-2750.0	22428527	22428627	0.054840898141264915	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-2650.0	22428627	22428727	0.015042096376419067	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-2550.0	22428727	22428827	0.0	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-2450.0	22428827	22428927	0.0	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-2350.0	22428927	22429027	0.0	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-2250.0	22429027	22429127	0.016922330260276796	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-2150.0	22429127	22429227	0.08555189542472362	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-2050.0	22429227	22429327	0.015042096376419067	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-1950.0	22429327	22429427	0.016922330260276796	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-1850.0	22429427	22429527	0.03791856788098812	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-1750.0	22429527	22429627	0.02538350947201252	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-1650.0	22429627	22429727	0.08555189333856106	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-1550.0	22429727	22429827	0.04700649902224541	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-1450.0	22429827	22429927	0.05421414621174336	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-1350.0	22429927	22430027	0.00720767118036747	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-1250.0	22430027	22430127	0.016922330260276796	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-1150.0	22430127	22430227	0.08555189542472362	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-1050.0	22430227	22430327	0.024130027517676355	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-950.0	22430327	22430427	0.05358739219605923	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-850.0	22430427	22430527	0.009087931141257286	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-750.0	22430527	22430627	0.09526641331613064	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-650.0	22430627	22430727	0.18927974939346315	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-550.0	22430727	22430827	0.11030858248472214	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-450.0	22430827	22430927	0.1535547260940075	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-350.0	22430927	22431027	0.08555189542472362	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-250.0	22431027	22431127	0.04951350510120392	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-150.0	22431127	22431227	0.15731501042842866	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-50.0	22431227	22431327	0.15480799064040185	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	50.0	22431327	22431427	0.04575299307703972	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	150.0	22431427	22431527	0.11281568884849548	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	250.0	22431527	22431627	0.09025255262851715	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	350.0	22431627	22431727	0.0	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	450.0	22431727	22431827	0.0	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	550.0	22431827	22431927	0.0	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	650.0	22431927	22432027	0.0012535059452056885	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	750.0	22432027	22432127	0.04637972101569176	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	850.0	22432127	22432227	0.054840898141264915	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	950.0	22432227	22432327	0.03259120672941208	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	1050.0	22432327	22432427	0.05421414412558079	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	1150.0	22432427	22432527	0.09275964111089706	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	1250.0	22432527	22432627	0.040425579771399496	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	1350.0	22432627	22432727	0.0391720999032259	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	1450.0	22432727	22432827	0.04575299307703972	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	1550.0	22432827	22432927	0.0	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	1650.0	22432927	22433027	0.009087931141257286	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	1750.0	22433027	22433127	0.10310108624398709	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	1850.0	22433127	22433227	0.11626273542642593	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	1950.0	22433227	22433327	0.03196442872285843	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	2050.0	22433327	22433427	0.06988299451768398	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	2150.0	22433427	22433527	0.03791856788098812	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	2250.0	22433527	22433627	0.016295604407787323	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	2350.0	22433627	22433727	0.023503275588154793	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	2450.0	22433727	22433827	0.11406894512474537	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	2550.0	22433827	22433927	0.24286700040102005	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	2650.0	22433927	22434027	0.32622504204511643	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	2750.0	22434027	22434127	0.30522901087999343	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	2850.0	22434127	22434227	0.11688949540257454	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	2950.0	22434227	22434327	0.014415318369865418	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	3050.0	22434327	22434427	0.04167911984026432	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	3150.0	22434427	22434527	0.10905523747205734	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	3250.0	22434527	22434627	0.0842983128875494	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	3350.0	22434627	22434727	0.03384469464421272	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	3450.0	22434727	22434827	0.08429840750992298	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	3550.0	22434827	22434927	0.022876521572470665	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	3650.0	22434927	22435027	0.0	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	3750.0	22435027	22435127	0.0	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	3850.0	22435127	22435227	0.008461179211735725	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	3950.0	22435227	22435327	0.022876521572470665	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	4050.0	22435327	22435427	0.0	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	4150.0	22435427	22435527	0.0	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	4250.0	22435527	22435627	0.0	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	4350.0	22435627	22435727	0.0006267540156841278	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	4450.0	22435727	22435827	0.04700649902224541	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	4550.0	22435827	22435927	0.015668850392103195	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	4650.0	22435927	22436027	0.07113650046288968	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	4750.0	22436027	22436127	0.03071092277765274	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	4850.0	22436127	22436227	0.08617867343127728	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	4950.0	22436227	22436327	0.03133770078420639	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	4950.0	32032443	32032543	0.29018676213920114	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	4850.0	32032543	32032643	0.10153405249118805	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	4750.0	32032643	32032743	0.1266043370962143	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	4650.0	32032743	32032843	0.13412512481212616	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	4550.0	32032843	32032943	0.11093518666923047	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	4450.0	32032943	32033043	0.11062201902270317	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	4350.0	32033043	32033143	0.1322447317838669	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	4250.0	32033143	32033243	0.084925137758255	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	4150.0	32033243	32033343	0.04136573165655136	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	4050.0	32033343	32033443	0.15574822902679444	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	3950.0	32033443	32033543	0.06925618678331374	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	3850.0	32033543	32033643	0.16922354221343994	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	3750.0	32033643	32033743	0.12284384042024613	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	3650.0	32033743	32033843	0.023503275588154793	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	3550.0	32033843	32033943	0.060481691583991054	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	3450.0	32033943	32034043	0.03353130646049976	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	3350.0	32034043	32034143	0.04481286726891995	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	3250.0	32034143	32034243	0.0739569492638111	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	3150.0	32034243	32034343	0.09275967866182327	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	3050.0	32034343	32034443	0.03697846814990044	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	2950.0	32034443	32034543	0.08398503437638283	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	2850.0	32034543	32034643	0.07050972245633602	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	2750.0	32034643	32034743	0.08053778670728207	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	2650.0	32034743	32034843	0.04136573165655136	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	2550.0	32034843	32034943	0.08743214182555675	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	2450.0	32034943	32035043	0.06706262230873108	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	2350.0	32035043	32035143	0.0661225501447916	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	2250.0	32035143	32035243	0.14885424822568893	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	2150.0	32035243	32035343	0.13882590837776662	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	2050.0	32035343	32035443	0.22061709433794022	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	1950.0	32035443	32035543	0.2171700832247734	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	1850.0	32035543	32035643	0.18896606512367725	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	1750.0	32035643	32035743	0.1723572500050068	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	1650.0	32035743	32035843	0.20150133982300758	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	1550.0	32035843	32035943	0.12848443195223808	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	1450.0	32035943	32036043	0.13130483224987985	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	1350.0	32036043	32036143	0.21372266367077827	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	1250.0	32036143	32036243	0.19460666619241238	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	1150.0	32036243	32036343	0.13757249742746352	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	1050.0	32036343	32036443	0.18833926998078823	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	950.0	32036443	32036543	0.252581684589386	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	850.0	32036543	32036643	0.0504537258297205	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	750.0	32036643	32036743	0.3002149273455143	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	650.0	32036743	32036843	0.16765647791326047	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	550.0	32036843	32036943	0.3036618520319462	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	450.0	32036943	32037043	0.4666178095340729	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	350.0	32037043	32037143	0.358189589381218	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	250.0	32037143	32037243	0.8599045899510384	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	150.0	32037243	32037343	0.8279411488771439	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	50.0	32037343	32037443	1.0598387238383293	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	-50.0	32037443	32037543	2.104324189424515	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	-150.0	32037543	32037643	2.189563019275665	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	-250.0	32037643	32037743	0.952038230895996	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	-350.0	32037743	32037843	0.6142181551456452	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	-450.0	32037843	32037943	0.12378371454775333	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	-550.0	32037943	32038043	0.31745035506784913	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	-650.0	32038043	32038143	0.5227123212814331	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	-750.0	32038143	32038243	0.36978429287672043	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	-850.0	32038243	32038343	0.2698171839118004	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	-950.0	32038343	32038443	0.25195508673787115	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	-1050.0	32038443	32038543	0.28078565523028376	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	-1150.0	32038543	32038643	0.23941982239484788	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	-1250.0	32038643	32038743	0.1523011039942503	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	-1350.0	32038743	32038843	0.11062199354171753	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	-1450.0	32038843	32038943	0.5988628114014865	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	-1550.0	32038943	32039043	2.1250066101551055	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	-1650.0	32039043	32039143	2.5631051731109618	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	-1750.0	32039143	32039243	1.8388945293426513	1.0
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	-1850.0	32039243	32039343	0.5900881570577622	1.0
