gene	gene_group	day	domain	chrom	start	end	coordinate_assumption	domain_overlap_fraction	source_path
ETV5	AT2	D0	LMR	chr3	185825877	185827877	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
ETV5	AT2	D0	LMR	chr3	185825877	185827877	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
ETV5	AT2	D0	UMR	chr3	185825877	185827877	one_based_inclusive	1.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
ETV5	AT2	D0	UMR	chr3	185825877	185827877	zero_based_half_open_sensitivity	1.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
SFTPB	AT2	D0	LMR	chr2	85894863	85896863	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
SFTPB	AT2	D0	LMR	chr2	85894863	85896863	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
SFTPB	AT2	D0	UMR	chr2	85894863	85896863	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
SFTPB	AT2	D0	UMR	chr2	85894863	85896863	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
AGER	AT1	D0	LMR	chr6	32151098	32153098	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
AGER	AT1	D0	LMR	chr6	32151098	32153098	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
AGER	AT1	D0	UMR	chr6	32151098	32153098	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
AGER	AT1	D0	UMR	chr6	32151098	32153098	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
PDPN	AT1	D0	LMR	chr1	13909251	13911251	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
PDPN	AT1	D0	LMR	chr1	13909251	13911251	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
PDPN	AT1	D0	UMR	chr1	13909251	13911251	one_based_inclusive	0.959	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
PDPN	AT1	D0	UMR	chr1	13909251	13911251	zero_based_half_open_sensitivity	0.9585	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
HOPX	AT1	D0	LMR	chr4	57546871	57548871	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
HOPX	AT1	D0	LMR	chr4	57546871	57548871	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
HOPX	AT1	D0	UMR	chr4	57546871	57548871	one_based_inclusive	0.863	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
HOPX	AT1	D0	UMR	chr4	57546871	57548871	zero_based_half_open_sensitivity	0.863	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
CAV1	AT1	D0	LMR	chr7	116164062	116166062	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
CAV1	AT1	D0	LMR	chr7	116164062	116166062	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
CAV1	AT1	D0	UMR	chr7	116164062	116166062	one_based_inclusive	0.9295	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
CAV1	AT1	D0	UMR	chr7	116164062	116166062	zero_based_half_open_sensitivity	0.929	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
AQP5	AT1	D0	LMR	chr12	50354654	50356654	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
AQP5	AT1	D0	LMR	chr12	50354654	50356654	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
AQP5	AT1	D0	UMR	chr12	50354654	50356654	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
AQP5	AT1	D0	UMR	chr12	50354654	50356654	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
KRT8	transition_stress	D0	LMR	chr12	53342643	53344643	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
KRT8	transition_stress	D0	LMR	chr12	53342643	53344643	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
KRT8	transition_stress	D0	UMR	chr12	53342643	53344643	one_based_inclusive	1.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
KRT8	transition_stress	D0	UMR	chr12	53342643	53344643	zero_based_half_open_sensitivity	1.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
CLDN4	transition_stress	D0	LMR	chr7	73244325	73246325	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
CLDN4	transition_stress	D0	LMR	chr7	73244325	73246325	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
CLDN4	transition_stress	D0	UMR	chr7	73244325	73246325	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
CLDN4	transition_stress	D0	UMR	chr7	73244325	73246325	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
KRT19	transition_stress	D0	LMR	chr17	39683559	39685559	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
KRT19	transition_stress	D0	LMR	chr17	39683559	39685559	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
KRT19	transition_stress	D0	UMR	chr17	39683559	39685559	one_based_inclusive	1.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
KRT19	transition_stress	D0	UMR	chr17	39683559	39685559	zero_based_half_open_sensitivity	1.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
CDKN1A	transition_stress	D0	LMR	chr6	36643239	36645239	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
CDKN1A	transition_stress	D0	LMR	chr6	36643239	36645239	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
CDKN1A	transition_stress	D0	UMR	chr6	36643239	36645239	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
CDKN1A	transition_stress	D0	UMR	chr6	36643239	36645239	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
SFN	transition_stress	D0	LMR	chr1	27188639	27190639	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
SFN	transition_stress	D0	LMR	chr1	27188639	27190639	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
SFN	transition_stress	D0	UMR	chr1	27188639	27190639	one_based_inclusive	0.171	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
SFN	transition_stress	D0	UMR	chr1	27188639	27190639	zero_based_half_open_sensitivity	0.1705	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
ITGB6	transition_stress	D0	LMR	chr2	161055823	161057823	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
ITGB6	transition_stress	D0	LMR	chr2	161055823	161057823	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
ITGB6	transition_stress	D0	UMR	chr2	161055823	161057823	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
ITGB6	transition_stress	D0	UMR	chr2	161055823	161057823	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
KRT17	transition_stress	D0	LMR	chr17	39779826	39781826	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
KRT17	transition_stress	D0	LMR	chr17	39779826	39781826	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
KRT17	transition_stress	D0	UMR	chr17	39779826	39781826	one_based_inclusive	1.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
KRT17	transition_stress	D0	UMR	chr17	39779826	39781826	zero_based_half_open_sensitivity	1.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
TP63	transition_stress	D0	LMR	chr3	189313534	189315534	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
TP63	transition_stress	D0	LMR	chr3	189313534	189315534	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
TP63	transition_stress	D0	UMR	chr3	189313534	189315534	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
TP63	transition_stress	D0	UMR	chr3	189313534	189315534	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
COL1A1	transition_stress	D0	LMR	chr17	48277991	48279991	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
