ligand,receptor
CSF3,CSF1R
CSF2,CSF1R
CRH,CRHR2
UCN,CRHR2
UCN2,CRHR2
UCN3,CRHR2
YARS1,CXCR1
CXCL6,CXCR1
CXCL8,CXCR1
CXCL1,CXCR2
CXCL2,CXCR2
CXCL3,CXCR2
CXCL5,CXCR2
CXCL6,CXCR2
PPBP,CXCR2
CXCL8,CXCR2
CCL19,CXCR3
CCL20,CXCR3
CXCL12,CXCR3
CXCL12,CXCR4
CXCL13,CXCR5
CX3CL1,CX3CR1
TNFSF15,TNFRSF25
EDA,EDAR
EDA,EDA2R
EREG,EGFR
EREG,ERBB4
EDN2,EDNRA
PDGFC,FLT4
ANXA1,FPR2
CAMP,FPR2
SAA1,FPR2
ANXA1,FPR3
HEBP1,FPR3
CGA,FSHR
FSHB,FSHR
WNT4,FZD6
WNT5A,FZD6
GAL,GALR1
GAL,GALR2
GAL,GALR3
GDF15,GFRAL
GHRL,GHSR
GHRH,GHRHR
GCG,GLP2R
GCG,GCGR
GNRH2,GNRHR
GH2,GHR
NPPA,NPR1
NPPB,NPR1
NPPC,NPR2
GUCA2A,GUCY2C
GUCA2B,GUCY2C
TNFSF14,TNFRSF14
LTA,TNFRSF14
CCL16,HRH4
PSAP,GPR37
PSAP,GPR37L1
CCL5,GPR75
RSPO1,LGR4
RSPO2,LGR4
RSPO3,LGR4
RSPO4,LGR4
RSPO1,LGR5
RSPO2,LGR5
RSPO3,LGR5
RSPO4,LGR5
RSPO3,LGR6
RSPO1,LGR6
RSPO2,LGR6
RSPO4,LGR6
PENK,MRGPRX1
ADM,MRGPRX2
KISS1,KISS1R
CGA,LHCGR
LHB,LHCGR
PMCH,MCHR1
PMCH,MCHR2
POMC,MC1R
POMC,MC3R
AGRP,MC3R
POMC,MC4R
AGRP,MC4R
POMC,MC5R
AGRP,MC5R
MLN,MLNR
OSTN,NPR3
BDNF,NGFR
NTF3,NGFR
NTF4,NGFR
NGF,NGFR
NMS,NMUR1
NMU,NMUR1
NMS,NMUR2
NMU,NMUR2
NPB,NPBWR1
NPW,NPBWR1
NPB,NPBWR2
NPW,NPBWR2
NPVF,NPFFR1
NPS,NPSR1
NTS,NTSR1
OXT,OXTR
AVP,OXTR
TNFSF4,TNFRSF4
HCRT,HCRTR1
HCRT,HCRTR2
ADCYAP1,ADCYAP1R1
PROK1,PROKR1
PROK2,PROKR1
PROK1,PROKR2
PROK2,PROKR2
ARF1,PLD2
CD274,PDCD1
CSHL1,PRLR
PRLH,PRLHR
PTHLH,PRLHR
SELP,SELPLG
PTHLH,PTH1R
PTHLH,PTH2R
QRFP,QRFPR
TNFSF11,TNFRSF11A
RLN2,RXFP1
RLN1,RXFP1
RLN3,RXFP1
INSL3,RXFP2
RLN2,RXFP2
RLN1,RXFP2
RLN3,RXFP2
RLN3,RXFP3
INSL5,RXFP3
INSL5,RXFP4
RLN3,RXFP4
SCT,SCTR
CORT,SSTR1
SST,SSTR1
CORT,SSTR4
SST,SSTR4
TNFSF13B,TNFRSF13B
TGFB2,TGFBR3
TGFB3,TGFBR3
TSHB,TSHR
LTA,TNFRSF1B
TNFSF12,TNFRSF12A
GAS6,TYRO3
PROS1,TYRO3
UTS2,UTS2R
UTS2B,UTS2R
GHRH,VIPR1
ADCYAP1,VIPR1
VIP,VIPR1
ADCYAP1,VIPR2
VIP,VIPR2
AVP,AVPR1A
AVP,AVPR1B
AVP,AVPR2
XCL1,XCR1
XCL2,XCR1
PYY,NPY1R
PYY,NPY2R
PPY,NPY4R
PYY,NPY4R
PPY,NPY5R
IL17A,IL17RA_IL17RC
IL34,CSF1R
PLXNB1,SEMA4D
SEMA3C,NRP2
GALP,GALR2
ITGAL_ITGB2,ICAM1
TRH,TRHR
CORT,GHSR
CORT,MRGPRX2
PDGFB,PDGFRB
PTH,PTH2R
DLL1,NOTCH3
SEMA7A,ITGA1_ITGB1
COL2A1,ITGA10_ITGB1
WNT1,FZD8
WNT1,FZD3
PYY,NPY5R
IDE,INS
LTA,LTBR
MIF,CD74
EFNA3,EPHA4
PTH,PTH1R
SPP1,ITGA9_ITGB1
SPP1,ITGAV_ITGB3
WNT3A,FZD8
SEMA3A,NRP1
EFNA2,EPHA4
SEMA7A,PLXNC1
TNFSF13,TNFRSF13B
COL1A1,ITGA1_ITGB1
COL1A1,ITGA2_ITGB1
COL1A1,ITGA11_ITGB1
COL2A1,ITGA2_ITGB1
COL4A1,ITGA2_ITGB1
FN1,ITGA5_ITGB1
FN1,ITGA8_ITGB1
ANXA1,FPR1
WNT1,FZD1
INHA,TGFBR3
COL1A2,ITGA1_ITGB1
COL1A2,ITGA11_ITGB1
COL4A2,ITGA2_ITGB1
FGF5,FGFR1
CDH1,ITGAE_ITGB7
PVR,CD226
LILRB1,HLA-G
BMP7,ACVR1_BMPR2
TNC,ITGA8_ITGB1
TNC,ITGA9_ITGB1
GRN,TNFRSF1A
ICAM3,ITGAD_ITGB2
NTF4,NTRK2
GDNF,NCAM1
WNT5A,FZD3
EFNA5,EPHA2
EFNA3,EPHA2
COL4A4,ITGA2_ITGB1
WNT3A,FZD2
WNT3A,FZD1
WNT7B,FZD10
WNT7B,FZD1
JAG1,NOTCH3
DLK1,NOTCH1
EFNB1,EPHB4
COL4A3,ITGA2_ITGB1
SEMA3F,NRP2
COL4A6,ITGA2_ITGB1
SELE,SELPLG
AMH,AMHR2_BMPR1A
AMH,ACVR1_AMHR2
BMP10,ACVRL1_BMPR2
BMP15,BMPR1B_BMPR2
BMP2,ACVR2A_BMPR1A
BMP2,ACVR2B_BMPR1A
BMP2,BMPR1A_BMPR2
BMP2,ACVR2A_BMPR1B
BMP2,ACVR2B_BMPR1B
BMP2,BMPR1B_BMPR2
BMP4,ACVR2A_BMPR1A
BMP4,ACVR2B_BMPR1A
BMP4,BMPR1A_BMPR2
BMP4,ACVR2A_BMPR1B
BMP4,ACVR2B_BMPR1B
BMP4,BMPR1B_BMPR2
BMP5,ACVR1_ACVR2A
BMP5,ACVR1_ACVR2B
BMP5,ACVR1_BMPR2
BMP5,ACVR2A_BMPR1A
BMP5,ACVR2B_BMPR1A
BMP5,BMPR1A_BMPR2
BMP5,ACVR2A_BMPR1B
BMP5,ACVR2B_BMPR1B
BMP5,BMPR1B_BMPR2
BMP6,ACVR1_ACVR2A
BMP6,ACVR1_ACVR2B
BMP6,ACVR1_BMPR2
BMP6,ACVR2A_BMPR1A
BMP6,ACVR2B_BMPR1A
BMP6,BMPR1A_BMPR2
BMP6,ACVR2A_BMPR1B
BMP6,ACVR2B_BMPR1B
BMP6,BMPR1B_BMPR2
BMP7,ACVR1_ACVR2A
BMP7,ACVR1_ACVR2B
BMP7,ACVR2A_BMPR1A
BMP7,ACVR2B_BMPR1A
BMP7,BMPR1A_BMPR2
BMP7,ACVR2A_BMPR1B
BMP7,ACVR2B_BMPR1B
BMP7,BMPR1B_BMPR2
BMP8A,ACVR1_ACVR2A
BMP8A,ACVR1_ACVR2B
BMP8A,ACVR1_BMPR2
BMP8A,ACVR2A_BMPR1A
BMP8A,ACVR2B_BMPR1A
BMP8A,BMPR1A_BMPR2
BMP8A,ACVR2A_BMPR1B
BMP8A,ACVR2B_BMPR1B
BMP8A,BMPR1B_BMPR2
CCL11,ACKR2
CCL13,ACKR2
CCL14,ACKR2
CCL16,CCR1
CCL16,CCR8
CCL17,ACKR1
CCL18,CCR8
CCL2,ACKR1
CCL2,ACKR2
CCL26,CCR1
CCL3,ACKR2
CCL3L1,ACKR2
CCL3L1,CCR1
CCL3L1,CCR3
CCL4,ACKR2
CCL5,ACKR1
CCL5,ACKR2
CCL7,ACKR2
CCL8,ACKR2
CD48,CD244
CD58,CD2
CTLA4,CD80
CTLA4,CD86
CDH1,KLRG1
CXCL1,ACKR1
CXCL13,ACKR4
CXCL8,ACKR1
DLL3,NOTCH3
DLL3,NOTCH4
DLL4,NOTCH2
DLL4,NOTCH3
GDF1,ACVR1B_ACVR2B
GDF10,ACVR1B_ACVR2B
GDF11,ACVR2A_TGFBR1
GDF11,ACVR2B_TGFBR1
GDF11,ACVR1B_ACVR2A
GDF11,ACVR1B_ACVR2B
GDF2,ACVRL1_BMPR2
GDF3,ACVR1B_ACVR2B
GDF5,ACVR2A_BMPR1B
GDF5,ACVR2B_BMPR1B
GDF5,BMPR1B_BMPR2
GDF5,ACVR2A_BMPR1A
GDF5,ACVR2B_BMPR1A
GDF5,BMPR1A_BMPR2
GDF6,ACVR2A_BMPR1B
GDF6,ACVR2B_BMPR1B
GDF6,BMPR1B_BMPR2
GDF6,ACVR2A_BMPR1A
GDF6,ACVR2B_BMPR1A
GDF6,BMPR1A_BMPR2
GDF7,ACVR2A_BMPR1B
GDF7,ACVR2B_BMPR1B
GDF7,BMPR1B_BMPR2
GDF7,ACVR2A_BMPR1A
GDF7,ACVR2B_BMPR1A
GDF7,BMPR1A_BMPR2
GDF9,BMPR2_TGFBR1
GDNF,GFRA1_RET
HLA-C,KIR2DL1
HLA-C,KIR2DL3
HLA-E,KLRC1_KLRD1
HLA-G,LILRB2
IFNL1,IFNLR1_IL10RB
IFNL2,IFNLR1_IL10RB
IFNL3,IFNLR1_IL10RB
IL10,IL10RA_IL10RB
IL11,IL11RA_IL6ST
IL12A_IL12B,IL12RB1_IL12RB2
EBI3_IL12A,IL12RB2_IL6ST
IL17C,IL17RA_IL17RE
IL17F,IL17RA_IL17RC
IL19,IL20RA_IL20RB
IL20,IL20RA_IL20RB
IL20,IL20RB_IL22RA1
IL21,IL21R_IL2RG
IL12B_IL23A,IL12RB1_IL23R
IL24,IL20RA_IL20RB
IL24,IL20RB_IL22RA1
IL26,IL10RB_IL20RA
EBI3_IL27,IL27RA_IL6ST
IL3,CSF2RB_IL3RA
IL33,IL1RAP_IL1RL1
IL36A,IL1RAP_IL1RL2
IL36B,IL1RAP_IL1RL2
IL36G,IL1RAP_IL1RL2
IL37,IL18R1_SIGIRR
IL4,IL2RG_IL4R
IL5,CSF2RB_IL5RA
IL7,IL2RG_IL7R
IL9,IL2RG_IL9R
INHBA,ACVR1B_ACVR2A
INHBA,ACVR1B_ACVR2B
INHBA_INHBB,ACVR1B_ACVR2A
INHBA_INHBB,ACVR1B_ACVR2B
INHBA_INHBB,ACVR1C_ACVR2A
INHBA_INHBB,ACVR1C_ACVR2B
INHBB,ACVR1B_ACVR2A
INHBB,ACVR1B_ACVR2B
INHBB,ACVR1C_ACVR2A
INHBB,ACVR1C_ACVR2B
ITGAL_ITGB2,ICAM3
LGALS9,HAVCR2
LIF,IL6ST_LIFR
MSTN,ACVR2B_TGFBR1
MSTN,ACVR1B_ACVR2B
NCR3LG1,NCR3
NECTIN1,CD96
TIGIT,NECTIN2
NECTIN3,TIGIT
NRTN,GFRA2_RET
OSM,IL6ST_OSMR
PDCD1LG2,PDCD1
PF4,CXCR3
PPBP,CXCR1
PVR,CD96
SEMA3A,NRP1_PLXNA1
SEMA3A,NRP1_PLXNA2
SEMA3A,NRP1_PLXNA3
SEMA3A,NRP1_PLXNA4
SEMA4A,PLXND1
SEMA4D,PLXNB2
CD72,SEMA4D
TGFB1,TGFBR1_TGFBR2
TGFB2,TGFBR1_TGFBR2
TGFB3,TGFBR1_TGFBR2
TNFSF14,TNFRSF6B
MADCAM1,ITGA4_ITGB7
VEGFA,FLT1_KDR
PGF,FLT1_KDR
VEGFB,FLT1_KDR
VEGFA,NRP1
VEGFA,NRP2
VEGFB,NRP1
PGF,NRP1
PGF,NRP2
CD40LG,ITGA2B_ITGB3
CD40LG,ITGA5_ITGB1
SPP1,CD44
SPP1,ITGA4_ITGB1
COL9A3,ITGA1_ITGB1
COL9A2,ITGA1_ITGB1
COL9A1,ITGA1_ITGB1
COL8A2,ITGA1_ITGB1
COL8A1,ITGA1_ITGB1
COL7A1,ITGA1_ITGB1
COL6A6,ITGA1_ITGB1
COL6A5,ITGA1_ITGB1
COL6A3,ITGA1_ITGB1
COL6A2,ITGA1_ITGB1
COL6A1,ITGA1_ITGB1
COL5A3,ITGA1_ITGB1
COL5A2,ITGA1_ITGB1
COL5A1,ITGA1_ITGB1
COL4A6,ITGA1_ITGB1
COL4A5,ITGA1_ITGB1
COL4A4,ITGA1_ITGB1
COL4A3,ITGA1_ITGB1
COL4A2,ITGA1_ITGB1
COL4A1,ITGA1_ITGB1
COL3A1,ITGA1_ITGB1
COL2A1,ITGA1_ITGB1
COL28A1,ITGA1_ITGB1
COL27A1,ITGA1_ITGB1
COL26A1,ITGA1_ITGB1
COL24A1,ITGA1_ITGB1
COL22A1,ITGA1_ITGB1
COL21A1,ITGA1_ITGB1
COL20A1,ITGA1_ITGB1
COL19A1,ITGA1_ITGB1
COL18A1,ITGA1_ITGB1
COL17A1,ITGA1_ITGB1
COL16A1,ITGA1_ITGB1
COL15A1,ITGA1_ITGB1
COL14A1,ITGA1_ITGB1
COL13A1,ITGA1_ITGB1
COL12A1,ITGA1_ITGB1
COL11A2,ITGA1_ITGB1
COL11A1,ITGA1_ITGB1
COL10A1,ITGA1_ITGB1
COL10A1,ITGA2_ITGB1
COL11A1,ITGA2_ITGB1
COL11A2,ITGA2_ITGB1
COL12A1,ITGA2_ITGB1
COL13A1,ITGA2_ITGB1
COL14A1,ITGA2_ITGB1
COL15A1,ITGA2_ITGB1
COL16A1,ITGA2_ITGB1
COL17A1,ITGA2_ITGB1
COL18A1,ITGA2_ITGB1
COL19A1,ITGA2_ITGB1
COL1A2,ITGA2_ITGB1
COL20A1,ITGA2_ITGB1
COL21A1,ITGA2_ITGB1
COL22A1,ITGA2_ITGB1
COL24A1,ITGA2_ITGB1
COL26A1,ITGA2_ITGB1
COL27A1,ITGA2_ITGB1
COL28A1,ITGA2_ITGB1
COL3A1,ITGA2_ITGB1
COL4A5,ITGA2_ITGB1
COL5A1,ITGA2_ITGB1
COL5A2,ITGA2_ITGB1
COL5A3,ITGA2_ITGB1
COL6A1,ITGA2_ITGB1
COL6A2,ITGA2_ITGB1
COL6A3,ITGA2_ITGB1
COL6A5,ITGA2_ITGB1
COL6A6,ITGA2_ITGB1
COL7A1,ITGA2_ITGB1
COL8A1,ITGA2_ITGB1
COL8A2,ITGA2_ITGB1
COL9A1,ITGA2_ITGB1
COL9A2,ITGA2_ITGB1
COL9A3,ITGA2_ITGB1
COL10A1,ITGA10_ITGB1
COL11A1,ITGA10_ITGB1
COL11A2,ITGA10_ITGB1
COL12A1,ITGA10_ITGB1
COL13A1,ITGA10_ITGB1
COL14A1,ITGA10_ITGB1
COL15A1,ITGA10_ITGB1
COL16A1,ITGA10_ITGB1
COL17A1,ITGA10_ITGB1
COL18A1,ITGA10_ITGB1
COL19A1,ITGA10_ITGB1
COL1A1,ITGA10_ITGB1
COL1A2,ITGA10_ITGB1
COL20A1,ITGA10_ITGB1
COL21A1,ITGA10_ITGB1
COL22A1,ITGA10_ITGB1
COL24A1,ITGA10_ITGB1
COL26A1,ITGA10_ITGB1
COL27A1,ITGA10_ITGB1
COL28A1,ITGA10_ITGB1
COL3A1,ITGA10_ITGB1
COL4A1,ITGA10_ITGB1
COL4A2,ITGA10_ITGB1
COL4A3,ITGA10_ITGB1
COL4A4,ITGA10_ITGB1
COL4A5,ITGA10_ITGB1
COL4A6,ITGA10_ITGB1
COL5A1,ITGA10_ITGB1
COL5A2,ITGA10_ITGB1
COL5A3,ITGA10_ITGB1
COL6A1,ITGA10_ITGB1
COL6A2,ITGA10_ITGB1
COL6A3,ITGA10_ITGB1
COL6A5,ITGA10_ITGB1
COL6A6,ITGA10_ITGB1
COL7A1,ITGA10_ITGB1
COL8A1,ITGA10_ITGB1
COL8A2,ITGA10_ITGB1
COL9A1,ITGA10_ITGB1
COL9A2,ITGA10_ITGB1
COL9A3,ITGA10_ITGB1
COL10A1,ITGA11_ITGB1
COL11A1,ITGA11_ITGB1
COL11A2,ITGA11_ITGB1
COL12A1,ITGA11_ITGB1
COL13A1,ITGA11_ITGB1
COL14A1,ITGA11_ITGB1
COL15A1,ITGA11_ITGB1
COL16A1,ITGA11_ITGB1
COL17A1,ITGA11_ITGB1
COL18A1,ITGA11_ITGB1
COL19A1,ITGA11_ITGB1
COL20A1,ITGA11_ITGB1
COL21A1,ITGA11_ITGB1
COL22A1,ITGA11_ITGB1
COL24A1,ITGA11_ITGB1
COL26A1,ITGA11_ITGB1
COL27A1,ITGA11_ITGB1
COL28A1,ITGA11_ITGB1
COL2A1,ITGA11_ITGB1
COL3A1,ITGA11_ITGB1
COL4A1,ITGA11_ITGB1
COL4A2,ITGA11_ITGB1
COL4A3,ITGA11_ITGB1
COL4A4,ITGA11_ITGB1
COL4A5,ITGA11_ITGB1
COL4A6,ITGA11_ITGB1
COL5A1,ITGA11_ITGB1
COL5A2,ITGA11_ITGB1
COL5A3,ITGA11_ITGB1
COL6A1,ITGA11_ITGB1
COL6A2,ITGA11_ITGB1
COL6A3,ITGA11_ITGB1
COL6A5,ITGA11_ITGB1
COL6A6,ITGA11_ITGB1
COL7A1,ITGA11_ITGB1
COL8A1,ITGA11_ITGB1
COL8A2,ITGA11_ITGB1
COL9A1,ITGA11_ITGB1
COL9A2,ITGA11_ITGB1
COL9A3,ITGA11_ITGB1
SIRPG,CD47
GRN,EGFR
GRN,SORT1
GRN,TNFRSF1B
GRN,CLEC4M
ICAM3,CLEC4M
FGF4,FGFR1
SCT,VIPR1
EFNB1,EPHA4
SEMA4G,PLXNB2
EFNA2,EPHA1
MIF,EGFR
TIMP1,FGFR2
CCL22,DPP4
TG,ASGR1
RETN,GPR25
TGFB1,EGFR
CD1D,CEACAM5
HGF,CD44
NAMPT,ADORA2A
WNT3,FZD1
WNT3,FZD7
CCL2,CCR10
EPHB6,EFNB3
EFNB3,EPHB1
CLEC2B,KLRF1
KLRF1,CLEC2B
SELL,SELPLG
FGF6,FGFR1
HBEGF,CD44
IL4,IL13RA2
FGF23,FGFR1
TNFSF10,RIPK1
EPHB6,EFNB2
TNFSF9,PVR
CD70,TNFRSF13B
SLURP1,CHRNA7
BST2,LILRA4
EPO,EPHB4
JAG1,CD46
JAG1,NOTCH4
CCL27,ACKR2
IL37,IL1RAPL1
IL1B,ADRB2
FGF2,FGFR1
FGF2,CD44
FGF2,FGFRL1
WNT5A,EPHA7
WNT5A,PTPRK
WNT5A,FZD1
WNT5A,ANTXR1
FGF10,FGFR1
SPN,ICAM1
WNT2,FZD1
WNT2,FZD4
WNT2,FZD3
WNT2,FZD2
GAL,GPR151
INHBE,ACVR2B
FGF7,FGFR1
FGF18,FGFR1
IFNA1,CR2
GPHA2,EPHA6
APP,FPR2
WNT7A,LDLR
WNT7A,FZD9
WNT4,FZD8
SCGB3A1,MARCO
WNT1,ROR2
WNT1,FZD9
TNFSF12,TNFRSF25
FGF19,FGFR1
CXCL5,ACKR1
PF4,ACKR1
CCL11,DPP4
IL16,GRIN2B
IL16,GRIN2A
SEMA3E,PLXND1
IL13,TMEM219
CXCL10,DPP4
CXCL11,DPP4
INHBC,ACVR2B
FGF8,FGFR1
WNT11,KLRG2
CSF1,SIRPA
JAG2,NOTCH4
EFNA5,EPHB2
FGF3,FGFR1
GHRL,PTGER3
GHRL,TBXA2R
WNT7B,FZD4
PTN,PTPRS
TNFSF13,TNFRSF14
TNFSF13,FAS
GIP,DPP4
FGF17,FGFR1
PYY,DPP4
CCL28,ACKR2
DLL1,NOTCH4
XCL1,ADGRV1
WNT2B,FZD4
HLA-E,KLRC2
HLA-E,KLRC1
INSL3,RXFP1
FGF9,FGFR1
SEMA5A,PLXNB3
LGALS9,CD44
LGALS9,SLC1A5
ADIPOQ,GPR42
KLRF2,CLEC2A
CLEC2A,KLRF2
NTF3,NTRK1
TNF,FFAR2
APP,CD74
ADCYAP1,SCTR
CD70,TNFRSF17
FASLG,TNFRSF1A
TNFSF13,TNFRSF1A
IL2,NGFR
CD99,PILRA
FGF1,TGFBR3
FAM3C,GLRA2
GHRL,MLNR
KITLG,EPOR
CLEC2D,KLRB1
HLA-E,KLRK1
INHBC,ACVR2A
INHBE,ACVR2A
PDGFB,LRP1
MDK,LRP1
WNT3A,LRP1
IGFL2,IGFLR1
IGFL1,IGFLR1
IGFL3,IGFLR1
GALP,GALR3
WNT4,SMO
BMP2,SMO
CCL5,ACKR4
CCL11,ACKR4
BDNF,SORT1
DLK1,NOTCH2
DSC2,DSG1
DSC1,DSG1
LTA,RIPK1
TNF,RIPK1
CCN6,SORL1
MDK,SORL1
CKLF,LRP6
DSC2,DSG2
TNF,FLT4
IL16,GRIN2D
DLK1,NOTCH3
SCGB3A1,NOTCH3
CD24,SELP
NPPC,NPR3
NPPB,NPR3
NPPA,NPR3
BTC,ERBB3
TNF,CELSR2
CXCL9,FCGR2A
TFF1,FCRL4
CNTF,EGFR
EFNA3,EPHA1
EFNA5,EPHA1
EFNA4,EPHA1
FASLG,TNFRSF10B
NTF3,NTRK2
TNF,NOTCH1
WNT4,NOTCH1
WNT4,FZD1
GHRL,PTGIR
IL16,GRIN2C
CXCL3,CXCR1
CXCL2,CXCR1
CXCL5,CXCR1
CXCL1,CXCR1
CCL18,CCR1
VIP,AVPR1A
GALP,GALR1
SPP1,PTGER4
LGALS9,MRC2
CER1,MRC2
INS,LILRB1
TNF,ICOS
GHRL,GHRHR
HLA-B,KIR3DL2
CCL4,CCR8
RLN2,RXFP3
CCL7,CCR10
CCL5,CCR4
FAM3C,LAMP1
POMC,MC2R
NRG1,MS4A4A
BMP8B,PLAUR
WNT5B,KLRG2
NRG1,ADGRL1
NPPB,NPR2
NPPA,NPR2
CXCL9,KIR2DL3
TNF,FAS
TNF,PTPRS
TNFSF13B,TFRC
CXCL2,DPP4
ADCYAP1,DPP4
GCG,DPP4
CXCL9,DPP4
NPPB,DPP4
CXCL12,DPP4
VIP,DPP4
LGALS9,CD47
CCL7,ACKR1
CCL8,ACKR1
NPPC,NPR1
TNFSF13B,CD40
ADIPOQ,CNR2
CCL4,CNR2
VEGFA,EPHB2
NRG1,LGR4
HLA-A,KIR3DL1
INS,LILRB2
MDK,PTPRZ1
TNF,VSIR
IL6,HRH1
IFNE,ADGRV1
NCAM1,FGFR1
CXCL17,GPR35
CCL14,CCR3
CCL3,CCR3
VEGFA,GRIN2B
MSTN,ACVR1B_ACVR2A
MSTN,ACVR2A_TGFBR1
ARTN,GFRA3_RET
PSPN,GFRA4_RET
ARTN,GFRA1_RET
IGF1,ITGA6_ITGB4
IL2,IL2RB_IL2RG
CNTF,CNTFR_IL6ST_LIFR
CLCF1,CNTFR_IL6ST_LIFR
OSM,IL6ST_LIFR
IL36RN,IL1RAP_IL1RL2
IL1F10,IL1RAP_IL1RL2
IL17A_IL17F,IL17RA_IL17RC
IL25,IL17RA_IL17RB
C3,ITGAM_ITGB2
ENHO,GPR19
BAG6,NCR3
FN1,ITGA3_ITGB1
FN1,ITGA4_ITGB1
LAMC1,ITGA2_ITGB1
LAMA3,ITGA3_ITGB1
THBS1,ITGA3_ITGB1
LAMC1,ITGA6_ITGB1
LAMC1,ITGA7_ITGB1
FN1,ITGAV_ITGB1
VTN,ITGAV_ITGB1
FN1,ITGA4_ITGB7
FN1,ITGAV_ITGB3
VTN,ITGAV_ITGB3
VWF,ITGAV_ITGB3
TNC,ITGAV_ITGB3
THBS1,ITGAV_ITGB3
FN1,ITGA2B_ITGB3
VTN,ITGA2B_ITGB3
TNC,ITGAV_ITGB6
PTPRC,CD22
FCER2,ITGAM_ITGB2
FCER2,ITGAX_ITGB2
FCER2,ITGAV_ITGB3
FCER2,CR2
ENTPD1,ADORA1
ENTPD1,ADORA2A
ENTPD1,ADORA2B
PTPRC,MRC1
CDH1,ITGA2_ITGB1
CSPG4,ITGA3_ITGB1
GP1BA,ITGAM_ITGB2
ITGAX_ITGB2,ICAM1
ITGAM_ITGB2,ICAM1
JAM3,ITGAM_ITGB2
ITGAL_ITGB2,F11R
L1CAM,ITGAV_ITGB3
LCK,CD8A_CD8B
HLA-F,KIR3DL1
HLA-F,KIR3DL2
HLA-F,KIR3DS1
