ligand,receptor
CCL3,CCR5
CCL20,CCR6
CCL19,CCR7
CCL21,CCR7
CCL1,CCR8
CCL25,CCR9
TNFSF8,TNFRSF8
RARRES2,CMKLR1
RARRES2,CMKLR2
CRH,CRHR1
UCN,CRHR1
UCN2,CRHR1
CRH,CRHR2
UCN,CRHR2
UCN2,CRHR2
UCN3,CRHR2
CXCL6,CXCR1
CXCL8,CXCR1
CXCL1,CXCR2
CXCL2,CXCR2
CXCL3,CXCR2
CXCL5,CXCR2
CXCL6,CXCR2
PPBP,CXCR2
CXCL8,CXCR2
CXCL12,CXCR4
CXCL13,CXCR5
CX3CL1,CX3CR1
TNFSF15,TNFRSF25
POMC,OPRD1
PDYN,OPRD1
PENK,OPRD1
EDA,EDAR
EDA,EDA2R
EPGN,EGFR
EREG,EGFR
EREG,ERBB4
EDN1,EDNRA
EDN2,EDNRA
EDN3,EDNRB
FGF19,FGFR4
VEGFA,FLT1
VEGFC,FLT4
VEGFD,FLT4
ANXA1,FPR2
SAA1,FPR2
CGA,FSHR
FSHB,FSHR
WNT5A,FZD6
GAL,GALR1
GAL,GALR2
GAL,GALR3
GHRL,GHSR
GHRH,GHRHR
GIP,GIPR
GCG,GLP1R
GCG,GLP2R
GCG,GCGR
TNFSF18,TNFRSF18
NPPA,NPR1
NPPB,NPR1
NPPC,NPR2
GUCA2A,GUCY2C
GUCA2B,GUCY2C
BTLA,TNFRSF14
TNFSF14,TNFRSF14
LTA,TNFRSF14
PSAP,GPR37
PSAP,GPR37L1
IL17B,IL17RB
PDYN,OPRK1
POMC,OPRK1
VEGFA,KDR
VEGFC,KDR
KISS1,KISS1R
CGA,LHCGR
LHB,LHCGR
PMCH,MCHR1
POMC,MC1R
POMC,MC3R
POMC,MC4R
POMC,MC5R
PDYN,OPRM1
PENK,OPRM1
OSTN,NPR3
NGF,NGFR
TAC1,TACR1
TAC1,TACR2
TAC3,TACR3
NMS,NMUR1
NMU,NMUR1
NMS,NMUR2
NMU,NMUR2
NPB,NPBWR1
NPW,NPBWR1
NPFF,NPFFR1
NPVF,NPFFR1
NPFF,NPFFR2
NPS,NPSR1
NTS,NTSR1
NTS,NTSR2
OXT,OXTR
TNFSF4,TNFRSF4
HCRT,HCRTR1
HCRT,HCRTR2
ADCYAP1,ADCYAP1R1
PROK1,PROKR1
PROK2,PROKR1
PROK1,PROKR2
PROK2,PROKR2
CD274,PDCD1
PRLH,PRLHR
SELPLG,SELP
PTHLH,PTH1R
PTH2,PTH1R
QRFP,QRFPR
TNFSF11,TNFRSF11A
RLN1,RXFP1
RLN3,RXFP1
INSL3,RXFP2
RLN1,RXFP2
RLN3,RXFP2
RLN3,RXFP3
INSL5,RXFP3
INSL5,RXFP4
RLN3,RXFP4
SCT,SCTR
CORT,SSTR1
SST,SSTR1
CORT,SSTR2
SST,SSTR2
CORT,SSTR3
SST,SSTR3
CORT,SSTR4
SST,SSTR4
CORT,SSTR5
SST,SSTR5
TNFSF13B,TNFRSF13B
CGA,TSHR
TSHB,TSHR
LTA,TNFRSF1B
TNFSF12,TNFRSF12A
GAS6,TYRO3
PROS1,TYRO3
UTS2,UTS2R
UTS2B,UTS2R
GHRH,VIPR1
VIP,VIPR1
VIP,VIPR2
AVP,AVPR1A
AVP,AVPR1B
AVP,AVPR2
XCL1,XCR1
XCL2,XCR1
NPY,NPY1R
PYY,NPY1R
NPY,NPY2R
PYY,NPY2R
NPY,NPY4R
PPY,NPY4R
PYY,NPY4R
NPY,NPY5R
PPY,NPY5R
PRSS1,F2RL1
PENK,OPRK1
PENK,OPRL1
IL17A,IL17RA_IL17RC
IL34,CSF1R
NRXN2,NLGN1
NRXN1,NLGN1
NRXN3,NLGN1
NRXN2,NLGN2
NRXN1,NLGN2
NRXN3,NLGN2
CD226,NECTIN2
NECTIN2,CD226
SEMA4D,PLXNB1
PTH2,PTH2R
LRRC4,NTNG2
WNT5B,FZD6
WNT5B,FZD3
NRXN2,NLGN3
NRXN1,NLGN3
NRXN3,NLGN3
GALP,GALR2
LRRC4C,NTNG1
ICAM1,ITGAL_ITGB2
TRH,TRHR
PDGFB,PDGFRB
PTH,PTH2R
VTN,ITGA8_ITGB1
DLL1,NOTCH3
IFNW1,IFNAR1_IFNAR2
FN1,SDC4
SEMA7A,ITGA1_ITGB1
COL2A1,ITGA10_ITGB1
EDN1,EDNRB
CTSG,F2R
LRRC4B,PTPRF
FGF6,FGFR4
PYY,NPY5R
PVR,TIGIT
TIGIT,PVR
EFNA3,EPHA4
PTH,PTH1R
SPP1,ITGA9_ITGB1
SPP1,ITGAV_ITGB3
ITGA4_ITGB1,VCAM1
VEGFD,KDR
TNFSF11,TNFRSF11B
EFNA2,EPHA4
SEMA7A,PLXNC1
TNFSF13,TNFRSF13B
WNT11,FZD6
WNT11,FZD7
WNT11,FZD3
F2,F2RL2
F2,F2R
F2,F2RL1
F2,F2RL3
PLG,F2R
IFNA1,IFNAR1_IFNAR2
IFNB1,IFNAR1_IFNAR2
IFNG,IFNGR1_IFNGR2
COL1A1,ITGA2_ITGB1
COL1A1,ITGA11_ITGB1
COL2A1,ITGA2_ITGB1
COL4A1,ITGA2_ITGB1
FN1,ITGA5_ITGB1
FN1,ITGA8_ITGB1
FN1,ITGAV_ITGB6
ANXA1,FPR1
CSF2,CSF2RA_CSF2RB
VWF,ITGA2B_ITGB3
VWF,GP1BA_GP1BB_GP5_GP9
FGF1,FGFR4
FGF1,FGFR3
PRSS2,F2RL1
COL1A2,ITGA11_ITGB1
ADGRE5,CD55
CTSG,F2RL1
COL4A2,ITGA2_ITGB1
FGF4,FGFR4
FGF2,FGFR4
FGF2,FGFR3
FGF5,FGFR1
FGF5,FGFR2
CDH1,ITGAE_ITGB7
PVR,CD226
CD226,PVR
HLA-G,LILRB1
BMP7,ACVR1_BMPR2
ICAM1,ITGAL
TNC,ITGA8_ITGB1
TNC,ITGA9_ITGB1
NTF4,NTRK2
PRSS3,F2RL1
THBS2,CD47
WNT5A,FZD3
EFNA5,EPHA2
EFNA3,EPHA2
COL4A4,ITGA2_ITGB1
JAG1,NOTCH3
DLK1,NOTCH1
EFNB1,EPHB4
COL4A3,ITGA2_ITGB1
COL4A6,ITGA2_ITGB1
SELPLG,SELE
EFNB3,EPHA4
ADIPOQ,ADIPOR2
ADIPOQ,ADIPOR1
AMH,AMHR2_BMPR1A
AMH,ACVR1_AMHR2
BMP10,ACVR2A_ACVRL1
BMP10,ACVRL1_BMPR2
BMP15,BMPR1B_BMPR2
BMP2,ACVR2A_BMPR1A
BMP2,ACVR2B_BMPR1A
BMP2,BMPR1A_BMPR2
BMP2,ACVR2A_BMPR1B
BMP2,ACVR2B_BMPR1B
BMP2,BMPR1B_BMPR2
BMP4,ACVR2A_BMPR1A
BMP4,ACVR2B_BMPR1A
BMP4,BMPR1A_BMPR2
BMP4,ACVR2A_BMPR1B
BMP4,ACVR2B_BMPR1B
BMP4,BMPR1B_BMPR2
BMP5,ACVR1_ACVR2A
BMP5,ACVR1_ACVR2B
BMP5,ACVR1_BMPR2
BMP5,ACVR2A_BMPR1A
BMP5,ACVR2B_BMPR1A
BMP5,BMPR1A_BMPR2
BMP5,ACVR2A_BMPR1B
BMP5,ACVR2B_BMPR1B
BMP5,BMPR1B_BMPR2
BMP6,ACVR1_ACVR2A
BMP6,ACVR1_ACVR2B
BMP6,ACVR1_BMPR2
BMP6,ACVR2A_BMPR1A
BMP6,ACVR2B_BMPR1A
BMP6,BMPR1A_BMPR2
BMP6,ACVR2A_BMPR1B
BMP6,ACVR2B_BMPR1B
BMP6,BMPR1B_BMPR2
BMP7,ACVR1_ACVR2A
BMP7,ACVR1_ACVR2B
BMP7,ACVR2A_BMPR1A
BMP7,ACVR2B_BMPR1A
BMP7,BMPR1A_BMPR2
BMP7,ACVR2A_BMPR1B
BMP7,ACVR2B_BMPR1B
BMP7,BMPR1B_BMPR2
BMP8A,ACVR1_ACVR2A
BMP8A,ACVR1_ACVR2B
BMP8A,ACVR1_BMPR2
BMP8A,ACVR2A_BMPR1A
BMP8A,ACVR2B_BMPR1A
BMP8A,BMPR1A_BMPR2
BMP8A,ACVR2A_BMPR1B
BMP8A,ACVR2B_BMPR1B
BMP8A,BMPR1B_BMPR2
BMP8B,ACVR1_ACVR2A
BMP8B,ACVR1_ACVR2B
BMP8B,ACVR1_BMPR2
BMP8B,ACVR2A_BMPR1A
BMP8B,ACVR2B_BMPR1A
BMP8B,BMPR1A_BMPR2
BMP8B,ACVR2A_BMPR1B
BMP8B,ACVR2B_BMPR1B
BMP8B,BMPR1B_BMPR2
C3,CR2
CCL11,ACKR1
CCL11,ACKR2
CCL13,ACKR1
CCL13,ACKR2
CCL14,ACKR1
CCL14,ACKR2
CCL16,CCR1
CCL17,ACKR1
CCL17,ACKR2
CCL2,ACKR1
CCL2,ACKR2
CCL22,ACKR2
CCL24,ACKR2
CCL3,ACKR2
CCL3L1,ACKR2
CCL3L1,CCR1
CCL4,ACKR2
CCL5,ACKR1
CCL5,ACKR2
CCL7,ACKR2
CCL8,ACKR2
CD80,CD274
CD48,CD244
CD80,CTLA4
CD86,CTLA4
CDH1,KLRG1
CTF1,IL6ST_LIFR
CXCL1,ACKR1
CXCL13,CXCR3
CXCL2,ACKR1
CXCL8,ACKR1
DLL3,NOTCH3
DLL3,NOTCH4
DLL4,NOTCH2
DLL4,NOTCH3
GDF11,ACVR2A_TGFBR1
GDF11,ACVR2B_TGFBR1
GDF11,ACVR1B_ACVR2B
GDF2,ACVR2A_ACVRL1
GDF2,ACVRL1_BMPR2
GDF5,ACVR2A_BMPR1B
GDF5,ACVR2B_BMPR1B
GDF5,BMPR1B_BMPR2
GDF5,ACVR2A_BMPR1A
GDF5,ACVR2B_BMPR1A
GDF5,BMPR1A_BMPR2
GDF6,ACVR2A_BMPR1B
GDF6,ACVR2B_BMPR1B
GDF6,BMPR1B_BMPR2
GDF6,ACVR2A_BMPR1A
GDF6,ACVR2B_BMPR1A
GDF6,BMPR1A_BMPR2
GDF7,ACVR2A_BMPR1B
GDF7,ACVR2B_BMPR1B
GDF7,BMPR1B_BMPR2
GDF7,ACVR2A_BMPR1A
GDF7,ACVR2B_BMPR1A
GDF7,BMPR1A_BMPR2
GDNF,GFRA1_RET
HLA-C,KIR2DL1
HLA-C,KIR2DL2
HLA-C,KIR2DL3
HLA-E,KLRC1_KLRD1
HLA-F,LILRB1
HLA-G,LILRB2
ICOSLG,ICOS
ICOSLG,CD28
ICOSLG,CTLA4
IFNA10,IFNAR1_IFNAR2
IFNA14,IFNAR1_IFNAR2
IFNA16,IFNAR1_IFNAR2
IFNA17,IFNAR1_IFNAR2
IFNA2,IFNAR1_IFNAR2
IFNA21,IFNAR1_IFNAR2
IFNA4,IFNAR1_IFNAR2
IFNA5,IFNAR1_IFNAR2
IFNA6,IFNAR1_IFNAR2
IFNA7,IFNAR1_IFNAR2
IFNA8,IFNAR1_IFNAR2
IFNE,IFNAR1_IFNAR2
IFNK,IFNAR1_IFNAR2
IL10,IL10RA_IL10RB
IL11,IL11RA_IL6ST
IL12A_IL12B,IL12RB1_IL12RB2
IL13,IL13RA1_IL4R
IL15,IL15RA_IL2RB_IL2RG
IL16,CD4
IL17C,IL17RA_IL17RE
IL17F,IL17RA_IL17RC
IL18,IL18R1_IL18RAP
IL19,IL20RA_IL20RB
IL1A,IL1R1_IL1RAP
IL1B,IL1R1_IL1RAP
IL20,IL20RA_IL20RB
IL20,IL20RB_IL22RA1
IL21,IL21R_IL2RG
IL12B_IL23A,IL12RB1_IL23R
IL24,IL20RA_IL20RB
IL24,IL20RB_IL22RA1
IL26,IL10RB_IL20RA
EBI3_IL27,IL27RA_IL6ST
IL3,CSF2RB_IL3RA
IL31,IL31RA_OSMR
IL33,IL1RAP_IL1RL1
IL36A,IL1RAP_IL1RL2
IL36B,IL1RAP_IL1RL2
IL36G,IL1RAP_IL1RL2
IL4,IL2RG_IL4R
IL5,CSF2RB_IL5RA
IL6,IL6R_IL6ST
IL7,IL2RG_IL7R
IL9,IL2RG_IL9R
INHBA,ACVR1B_ACVR2A
INHBA,ACVR1B_ACVR2B
INHBA_INHBB,ACVR1B_ACVR2A
INHBA_INHBB,ACVR1B_ACVR2B
INHBA_INHBB,ACVR1C_ACVR2A
INHBA_INHBB,ACVR1C_ACVR2B
INHBB,ACVR1B_ACVR2A
INHBB,ACVR1B_ACVR2B
INHBB,ACVR1C_ACVR2A
INHBB,ACVR1C_ACVR2B
ICAM2,ITGAL_ITGB2
LGALS9,HAVCR2
LIF,IL6ST_LIFR
LTA_LTB,LTBR
MSTN,ACVR2B_TGFBR1
MSTN,ACVR1B_ACVR2B
CD96,NECTIN1
NECTIN1,CD96
TIGIT,NECTIN2
NECTIN2,TIGIT
NECTIN3,TIGIT
NRTN,GFRA2_RET
OSM,IL6ST_OSMR
PDCD1LG2,PDCD1
PF4,CXCR3
PF4V1,CXCR3
CD96,PVR
SEMA3A,NRP1_PLXNA1
SEMA3A,NRP1_PLXNA2
SEMA3A,NRP1_PLXNA3
SEMA3A,NRP1_PLXNA4
SEMA4A,PLXNB1
SEMA4A,PLXNB2
SEMA4A,PLXNB3
SEMA4C,PLXNB2
SEMA4D,PLXNB2
SEMA4D,CD72
TGFB1,TGFBR1_TGFBR2
TGFB2,TGFBR1_TGFBR2
TGFB3,TGFBR1_TGFBR2
TSLP,CRLF2_IL7R
MADCAM1,ITGA4_ITGB7
ITGA9_ITGB1,VCAM1
ITGA4_ITGB7,VCAM1
VEGFA,FLT1_KDR
PGF,FLT1
CD40LG,ITGA2B_ITGB3
CD40LG,ITGA5_ITGB1
CD40LG,ITGAM_ITGB2
SPP1,CD44
SPP1,ITGAV_ITGB1
SPP1,ITGAV_ITGB5
SPP1,ITGA4_ITGB1
SPP1,ITGA8_ITGB1
SPP1,ITGA5_ITGB1
COL1A2,ITGA2_ITGB1
COL4A5,ITGA2_ITGB1
COL6A1,ITGA2_ITGB1
COL6A2,ITGA2_ITGB1
COL6A3,ITGA2_ITGB1
COL6A5,ITGA2_ITGB1
COL6A6,ITGA2_ITGB1
COL9A1,ITGA2_ITGB1
COL9A2,ITGA2_ITGB1
COL9A3,ITGA2_ITGB1
COL1A1,ITGA10_ITGB1
COL1A2,ITGA10_ITGB1
COL4A1,ITGA10_ITGB1
COL4A2,ITGA10_ITGB1
COL4A3,ITGA10_ITGB1
COL4A4,ITGA10_ITGB1
COL4A5,ITGA10_ITGB1
COL4A6,ITGA10_ITGB1
COL6A1,ITGA10_ITGB1
COL6A2,ITGA10_ITGB1
COL6A3,ITGA10_ITGB1
COL6A5,ITGA10_ITGB1
COL6A6,ITGA10_ITGB1
COL9A1,ITGA10_ITGB1
COL9A2,ITGA10_ITGB1
COL9A3,ITGA10_ITGB1
COL2A1,ITGA11_ITGB1
COL4A1,ITGA11_ITGB1
COL4A2,ITGA11_ITGB1
COL4A3,ITGA11_ITGB1
COL4A4,ITGA11_ITGB1
COL4A5,ITGA11_ITGB1
COL4A6,ITGA11_ITGB1
COL6A1,ITGA11_ITGB1
COL6A2,ITGA11_ITGB1
COL6A3,ITGA11_ITGB1
COL6A5,ITGA11_ITGB1
COL6A6,ITGA11_ITGB1
COL9A1,ITGA11_ITGB1
COL9A2,ITGA11_ITGB1
COL9A3,ITGA11_ITGB1
GRN,SORT1
SELE,CEACAM1
CD209,CEACAM1
FGF4,FGFR1
FGF4,FGFR3
FGF20,FGFR2
FGF20,FGFR4
FGF20,FGFR1
FGF20,FGFR3
EFNB1,EPHA4
SEMA4G,PLXNB2
EFNA2,EPHA3
EFNA2,EPHA1
CD1D,CEACAM5
COMP,CD36
NPVF,NPFFR2
CCL13,ACKR4
COL1A1,CD44
EFNB3,EPHB6
EFNB3,EPHB4
EFNB3,EPHB1
EFNB3,EPHB2
CXCL6,ACKR1
SELPLG,SELL
FGF6,FGFR1
FGF6,FGFR3
ULBP1,KLRK1
FGF23,FGFR4
FGF23,FGFR1
FGF23,FGFR3
EFNB2,EPHA4
SLURP1,CHRNA7
CD46,JAG1
JAG1,NOTCH4
DSC1,DSG2
SEMA6A,PLXNA4
SEMA6A,PLXNA2
THBS1,CD47
THBS1,SDC1
THBS1,SDC4
THBS1,CD36
IL1A,IL1R2
FGF2,FGFR1
WNT5A,FZD1
WNT5A,FZD9
WNT5A,FZD7
WNT5A,FZD8
FGF10,FGFR1
ITGB2,ICAM1
ICAM1,SPN
TNC,SDC1
TNC,SDC4
SEMA3C,PLXND1
FGF7,FGFR1
FGF18,FGFR4
FGF18,FGFR1
FGF18,FGFR3
FGF19,FGFR2
FGF19,FGFR1
FGF19,FGFR3
CXCL5,ACKR1
SCGB3A2,MARCO
COL1A2,CD44
SEMA3E,PLXND1
CXCL11,ACKR1
FGF5,FGFR3
FGF8,FGFR1
FGF8,FGFR3
SEMA6D,PLXNA1
JAG2,NOTCH4
EFNA5,EPHB2
FGF3,FGFR1
PTN,SDC1
PTN,SDC3
PTN,PTPRZ1
FN1,CD44
FGF17,FGFR1
DLL1,NOTCH4
THBS2,CD36
EDN2,EDNRB
HLA-E,KLRC2
HLA-E,KLRC1
INSL3,RXFP1
UCN3,CRHR1
FGF9,FGFR2
FGF9,FGFR1
SEMA5A,PLXNB3
LGALS9,CD44
POMC,OPRM1
NTF3,NTRK1
FGF16,FGFR2
APP,CD74
CD99,PILRA
CLEC2D,KLRB1
SELL,CD34
SELL,PODXL
HLA-E,KLRK1
RAET1E,KLRK1
RAET1G,KLRK1
MDK,LRP1
IGFL3,IGFLR1
CCL8,ACKR4
AGT,MAS1
DLK1,NOTCH2
DSG1,DSC3
DSC2,DSG1
DSC1,DSG1
DSG2,DSC3
DSC2,DSG2
PDGFA,PDGFRB
DLK1,NOTCH3
CD34,SELP
WNT5A,MCAM
EFNA3,EPHA1
EFNA5,EPHA1
EFNA4,EPHA1
NTF3,NTRK2
FGF5,FGFR4
FGF17,FGFR4
FGF16,FGFR4
FGF9,FGFR4
FGF8,FGFR4
CXCL3,CXCR1
CXCL2,CXCR1
CXCL5,CXCR1
CXCL1,CXCR1
PLG,F2RL1
GALP,GALR1
C4A,C3AR1
TAC4,TACR1
CD6,ALCAM
ALCAM,CD6
EDN3,EDNRA
HLA-B,KIR3DL2
PPY,NPY2R
CCL5,CCR4
POMC,MC2R
FGF21,FGFR3
FGF17,FGFR3
FGF16,FGFR3
PPY,NPY1R
CCL7,ACKR1
CCL8,ACKR1
MDK,SDC4
MDK,SDC1
HLA-A,KIR3DL1
MDK,PTPRZ1
ITGB2,ICAM2
FGF21,FGFR1
NCAM1,FGFR1
FGF16,FGFR1
TGFB1,ACVR1B_TGFBR2
TGFB1,ACVR1C_TGFBR2
TGFB2,ACVR1B_TGFBR2
TGFB2,ACVR1C_TGFBR2
TGFB3,ACVR1B_TGFBR2
TGFB3,ACVR1C_TGFBR2
TGFB1,ACVR1_TGFBR1_TGFBR2
TGFB2,ACVR1_TGFBR1_TGFBR2
TGFB3,ACVR1_TGFBR1_TGFBR2
GDF9,ACVR1B_BMPR2
GDF10,ACVR1B_ACVR2A
GDF15,TGFBR2
MSTN,ACVR1B_ACVR2A
MSTN,ACVR2A_TGFBR1
ARTN,GFRA3_RET
PSPN,GFRA4_RET
ARTN,GFRA1_RET
NODAL,ACVR1B_ACVR2A_CFC1
NODAL,ACVR1C_ACVR2A_CFC1
NODAL,ACVR1B_ACVR2B_CFC1
NODAL,ACVR1C_ACVR2B_CFC1
GDF1,ACVR1B_ACVR2A_CFC1
GDF1,ACVR1B_ACVR2B_CFC1
GDF1,ACVR1C_ACVR2A_CFC1
GDF1,ACVR1C_ACVR2B_CFC1
GDF3,ACVR1B_ACVR2A_CFC1
GDF3,ACVR1B_ACVR2B_CFC1
GDF3,ACVR1C_ACVR2A_CFC1
GDF3,ACVR1C_ACVR2B_CFC1
INHBC,ACVR1B_ACVR2A
INHBC,ACVR1B_ACVR2B
INHBC,ACVR1C_ACVR2A
INHBC,ACVR1C_ACVR2B
INHBE,ACVR1B_ACVR2A
INHBE,ACVR1B_ACVR2B
INHBE,ACVR1C_ACVR2A
INHBE,ACVR1C_ACVR2B
INHA_INHBA,ACVR2A
INHA_INHBB,ACVR2B
WNT1,FZD1_LRP5
WNT1,FZD10_LRP5
WNT1,FZD2_LRP5
WNT1,FZD3_LRP5
WNT1,FZD4_LRP5
WNT1,FZD5_LRP5
WNT1,FZD6_LRP5
WNT1,FZD7_LRP5
WNT1,FZD8_LRP5
WNT1,FZD9_LRP5
WNT10A,FZD1_LRP5
WNT10A,FZD10_LRP5
WNT10A,FZD2_LRP5
WNT10A,FZD3_LRP5
WNT10A,FZD4_LRP5
WNT10A,FZD5_LRP5
WNT10A,FZD6_LRP5
WNT10A,FZD7_LRP5
WNT10A,FZD8_LRP5
WNT10A,FZD9_LRP5
WNT10B,FZD1_LRP5
WNT10B,FZD10_LRP5
WNT10B,FZD2_LRP5
WNT10B,FZD3_LRP5
WNT10B,FZD4_LRP5
WNT10B,FZD5_LRP5
WNT10B,FZD6_LRP5
WNT10B,FZD7_LRP5
WNT10B,FZD8_LRP5
WNT10B,FZD9_LRP5
WNT16,FZD1_LRP5
WNT16,FZD10_LRP5
WNT16,FZD2_LRP5
WNT16,FZD3_LRP5
WNT16,FZD4_LRP5
WNT16,FZD5_LRP5
WNT16,FZD6_LRP5
WNT16,FZD7_LRP5
WNT16,FZD8_LRP5
WNT16,FZD9_LRP5
WNT2,FZD1_LRP5
WNT2,FZD10_LRP5
WNT2,FZD2_LRP5
WNT2,FZD3_LRP5
WNT2,FZD4_LRP5
WNT2,FZD5_LRP5
WNT2,FZD6_LRP5
WNT2,FZD7_LRP5
WNT2,FZD8_LRP5
WNT2,FZD9_LRP5
WNT2B,FZD1_LRP5
WNT2B,FZD10_LRP5
WNT2B,FZD2_LRP5
WNT2B,FZD3_LRP5
WNT2B,FZD4_LRP5
WNT2B,FZD5_LRP5
WNT2B,FZD6_LRP5
WNT2B,FZD7_LRP5
WNT2B,FZD8_LRP5
WNT2B,FZD9_LRP5
WNT3,FZD1_LRP5
WNT3,FZD10_LRP5
WNT3,FZD2_LRP5
WNT3,FZD3_LRP5
WNT3,FZD4_LRP5
WNT3,FZD5_LRP5
WNT3,FZD6_LRP5
WNT3,FZD7_LRP5
WNT3,FZD8_LRP5
WNT3,FZD9_LRP5
WNT3A,FZD1_LRP5
WNT3A,FZD10_LRP5
WNT3A,FZD2_LRP5
WNT3A,FZD3_LRP5
WNT3A,FZD4_LRP5
WNT3A,FZD5_LRP5
WNT3A,FZD6_LRP5
WNT3A,FZD7_LRP5
WNT3A,FZD8_LRP5
WNT3A,FZD9_LRP5
WNT4,FZD1_LRP5
WNT4,FZD10_LRP5
WNT4,FZD2_LRP5
WNT4,FZD3_LRP5
WNT4,FZD4_LRP5
WNT4,FZD5_LRP5
WNT4,FZD6_LRP5
WNT4,FZD7_LRP5
WNT4,FZD8_LRP5
WNT4,FZD9_LRP5
WNT6,FZD1_LRP5
WNT6,FZD10_LRP5
WNT6,FZD2_LRP5
WNT6,FZD3_LRP5
WNT6,FZD4_LRP5
WNT6,FZD5_LRP5
WNT6,FZD6_LRP5
WNT6,FZD7_LRP5
WNT6,FZD8_LRP5
WNT6,FZD9_LRP5
WNT7A,FZD1_LRP5
WNT7A,FZD10_LRP5
WNT7A,FZD2_LRP5
WNT7A,FZD3_LRP5
WNT7A,FZD4_LRP5
WNT7A,FZD5_LRP5
WNT7A,FZD6_LRP5
WNT7A,FZD7_LRP5
WNT7A,FZD8_LRP5
WNT7A,FZD9_LRP5
WNT7B,FZD1_LRP5
WNT7B,FZD10_LRP5
WNT7B,FZD2_LRP5
WNT7B,FZD3_LRP5
WNT7B,FZD4_LRP5
WNT7B,FZD5_LRP5
WNT7B,FZD6_LRP5
WNT7B,FZD7_LRP5
WNT7B,FZD8_LRP5
WNT7B,FZD9_LRP5
WNT8A,FZD1_LRP5
WNT8A,FZD10_LRP5
WNT8A,FZD2_LRP5
