cohort,compartment,label,set,mean_set_transcript_share_IPF,mean_set_transcript_share_control,delta_transcript_share
GSE136831,fibroblasts,Myofibroblast,GOBP_POSITIVE_REGULATION_OF_LIPID_STORAGE,0.3753748208376094,0.028280971228498503,0.34709384960911094
GSE136831,fibroblasts,Myofibroblast,GOBP_PLASMINOGEN_ACTIVATION,0.5547148534972388,0.029659170427903357,0.5250556830693355
GSE136831,fibroblasts,Myofibroblast,GOBP_DETOXIFICATION,0.5025137224683756,0.0391587536383582,0.46335496883001737
GSE136831,fibroblasts,Myofibroblast,GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,0.5490794094624024,0.05358345602786946,0.49549595343453295
GSE136831,fibroblasts,Myofibroblast,GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION,0.5629221971016762,0.058881680051256845,0.5040405170504194
GSE136831,macrophages,Macrophage,HALLMARK_E2F_TARGETS,0.6261473019878124,0.5348585231328564,0.09128877885495601
GSE136831,macrophages,Macrophage,HALLMARK_MYC_TARGETS_V1,0.6529003123107586,0.5544602570777689,0.09844005523298971
GSE136831,macrophages,Macrophage,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.6368865072702375,0.5221574211882422,0.11472908608199539
GSE136831,macrophages,Macrophage,HALLMARK_MYC_TARGETS_V2,0.6432499152476303,0.5285595573159511,0.11469035793167925
GSE136831,macrophages,Macrophage,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.6852998170801063,0.585802176318551,0.09949764076155532
GSE136831,macrophages,Macrophage,HALLMARK_G2M_CHECKPOINT,0.6566951192200539,0.5600159061353561,0.09667921308469773
GSE136831,macrophages,Macrophage,HALLMARK_COAGULATION,0.6053960433465198,0.4886901987123234,0.11670584463419637
GSE136831,macrophages,Macrophage,HALLMARK_DNA_REPAIR,0.6496804056795324,0.5374574640031499,0.11222294167638258
GSE136831,macrophages,Macrophage,HALLMARK_MTORC1_SIGNALING,0.6493413688938361,0.5476644099576027,0.10167695893623341
GSE136831,macrophages,Macrophage,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.6298380096380021,0.5209185920204424,0.10891941761755963
GSE136831,macrophages,Macrophage,HALLMARK_GLYCOLYSIS,0.6555347072972849,0.554843673743946,0.10069103355333886
GSE136831,macrophages,Macrophage,HALLMARK_ESTROGEN_RESPONSE_LATE,0.6752735695412369,0.5866625245798374,0.08861104496139949
GSE136831,macrophages,Macrophage,HALLMARK_ADIPOGENESIS,0.6162295189735743,0.5156340950676052,0.1005954239059691
GSE136831,macrophages,Macrophage,HALLMARK_FATTY_ACID_METABOLISM,0.6416705406410325,0.526359589295355,0.11531095134567748
GSE136831,macrophages,Macrophage,HALLMARK_ANGIOGENESIS,0.7178409445881739,0.5856421556172805,0.13219878897089343
GSE136831,macrophages,Macrophage,HALLMARK_COMPLEMENT,0.6280273821369982,0.5291160478313489,0.09891133430564925
GSE136831,macrophages,Macrophage,HALLMARK_ALLOGRAFT_REJECTION,0.6423137869819469,0.53504572786842,0.10726805911352688
GSE136831,macrophages,Macrophage,HALLMARK_TGF_BETA_SIGNALING,0.6596891380087075,0.5880250959693926,0.07166404203931498
GSE136831,macrophages,Macrophage,GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,0.6224855274297496,0.4853702904578512,0.13711523697189842
GSE136831,macrophages,Macrophage,GOBP_OXIDATIVE_PHOSPHORYLATION,0.6227889283079048,0.48888602791868707,0.1339029003892177
GSE136831,macrophages,Macrophage,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,0.6263741417969867,0.4953029646710511,0.13107117712593558
GSE136831,macrophages,Macrophage,GOBP_MITOCHONDRIAL_TRANSLATION,0.6381183217172116,0.5173403142007361,0.1207780075164755
GSE136831,macrophages,Macrophage,GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,0.6143989259094691,0.49421090811922386,0.12018801779024524
GSE136831,macrophages,Macrophage,GOBP_ATP_BIOSYNTHETIC_PROCESS,0.6140903237028434,0.4937881405805118,0.12030218312233165
GSE136831,macrophages,Macrophage,GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,0.6226586522067017,0.48597353199090987,0.13668512021579182
GSE136831,macrophages,Macrophage,GOBP_AEROBIC_RESPIRATION,0.6237248173901905,0.4914523070944846,0.13227251029570586
GSE136831,macrophages,Macrophage,GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,0.6263262117682027,0.48903408635117906,0.13729212541702362
GSE136831,macrophages,Macrophage,GOBP_ELECTRON_TRANSPORT_CHAIN,0.6233977286483698,0.4873275887315052,0.13607013991686462
GSE136831,macrophages,Macrophage,GOBP_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEGREGATION,0.6585234674558138,0.5641127119264796,0.0944107555293342
GSE136831,macrophages,Macrophage,GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_SEGREGATION,0.6598331496316284,0.5643536250556126,0.09547952457601583
GSE136831,macrophages,Macrophage,GOBP_MITOCHONDRIAL_GENE_EXPRESSION,0.6458371061221106,0.5320115384235495,0.11382556769856111
GSE136831,macrophages,Macrophage,GOBP_MITOTIC_SISTER_CHROMATID_SEPARATION,0.6575169927206919,0.5570882692843623,0.10042872343632958
GSE136831,macrophages,Macrophage,GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,0.6623914217229364,0.5713802412640525,0.0910111804588839
GSE136831,macrophages,Macrophage,GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION,0.6600697353778163,0.5626878334829097,0.09738190189490659
GSE136831,macrophages,Macrophage,GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY,0.6205705046679277,0.48250294547908695,0.13806755918884078
GSE136831,macrophages,Macrophage,GOBP_CELLULAR_RESPIRATION,0.6246390650985798,0.49363423327059397,0.13100483182798583
GSE136831,macrophages,Macrophage,GOBP_CHROMOSOME_SEPARATION,0.6570939101220156,0.5571427258221477,0.09995118429986782
GSE136831,macrophages,Macrophage,GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION,0.6371662187118063,0.5400048554777278,0.09716136323407853
GSE136831,macrophages,Macrophage,GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION,0.6555218675651571,0.5623312986212615,0.09319056894389555
GSE136831,macrophages,Macrophage,GOBP_CYTOPLASMIC_TRANSLATION,0.6606259102389191,0.5693790857939452,0.0912468244449739
GSE136831,macrophages,Macrophage,GOBP_RESPIRATORY_CHAIN_COMPLEX_IV_ASSEMBLY,0.6323184782827895,0.5112964950804338,0.12102198320235569
GSE136831,macrophages,Macrophage,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.6565261909980573,0.5646730380530429,0.0918531529450144
GSE136831,macrophages,Macrophage,GOBP_MITOTIC_METAPHASE_CHROMOSOME_ALIGNMENT,0.6084008509304945,0.5092283813176507,0.09917246961284376
GSE136831,macrophages,Macrophage,GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS,0.6177613706883465,0.5001537051447011,0.11760766554364532
GSE136831,macrophages,Macrophage,GOBP_RIBOSOME_BIOGENESIS,0.6606253215113854,0.5666193433540587,0.0940059781573267
GSE136831,macrophages,Macrophage,GOBP_METAPHASE_CHROMOSOME_ALIGNMENT,0.6222451065068728,0.5273481187552137,0.09489698775165911
GSE136831,macrophages,Macrophage,GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS,0.6690871325513179,0.5759303671057391,0.09315676544557883
GSE136831,macrophages,Macrophage,GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE,0.6154228044452592,0.5282484626123806,0.08717434183287864
GSE136831,macrophages,Macrophage,GOBP_MITOTIC_NUCLEAR_DIVISION,0.6436500260865468,0.5474529999383738,0.09619702614817294
GSE136831,macrophages,Macrophage,GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS,0.6183793431226052,0.5005663463897081,0.11781299673289714
GSE136831,macrophages,Macrophage,GOBP_LYSOSOMAL_LUMEN_ACIDIFICATION,0.6462791237694174,0.5194202184826648,0.1268589052867526
GSE136831,macrophages,Macrophage,GOBP_ATTACHMENT_OF_MITOTIC_SPINDLE_MICROTUBULES_TO_KINETOCHORE,0.6290932236622888,0.5406197371277801,0.0884734865345087
GSE136831,macrophages,Macrophage,GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN,0.6195881969185483,0.4831100515406796,0.13647814537786868
GSE136831,macrophages,Macrophage,GOBP_RRNA_PROCESSING,0.660326633915669,0.5674708276719657,0.09285580624370338
GSE136831,macrophages,Macrophage,GOBP_SISTER_CHROMATID_SEGREGATION,0.6393267498712765,0.5417144161672748,0.09761233370400169
GSE136831,macrophages,Macrophage,GOBP_DNA_UNWINDING_INVOLVED_IN_DNA_REPLICATION,0.65601102673065,0.5427405603326846,0.11327046639796545
GSE136831,macrophages,Macrophage,GOBP_EOSINOPHIL_MIGRATION,0.6099597934164703,0.4791128668497943,0.13084692656667601
GSE136831,macrophages,Macrophage,GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION,0.6464686920457334,0.5496496968945775,0.09681899515115588
GSE136831,macrophages,Macrophage,GOBP_PROTEIN_MATURATION_BY_IRON_SULFUR_CLUSTER_TRANSFER,0.655069705871449,0.5312122453122919,0.12385746055915703
GSE136831,macrophages,Macrophage,GOBP_MONOCYTE_CHEMOTAXIS,0.6445120878882915,0.5433398769742789,0.10117221091401263
GSE136831,macrophages,Macrophage,GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,0.6130552157672964,0.4880613502398446,0.12499386552745179
GSE136831,macrophages,Macrophage,GOBP_CYTOCHROME_COMPLEX_ASSEMBLY,0.632887677969127,0.529223400007755,0.10366427796137201
GSE136831,macrophages,Macrophage,GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,0.6725482919766859,0.5525079428724667,0.12004034910421912
GSE136831,macrophages,Macrophage,GOBP_REGULATION_OF_SISTER_CHROMATID_SEGREGATION,0.6465033056208471,0.549448619035102,0.09705468658574512
GSE136831,macrophages,Macrophage,GOBP_CHROMOSOME_LOCALIZATION,0.6306464035136392,0.5329729951861022,0.09767340832753701
GSE136831,macrophages,Macrophage,GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEPARATION,0.6471435742687175,0.54691990009464,0.10022367417407751
GSE136831,macrophages,Macrophage,GOBP_ATP_METABOLIC_PROCESS,0.6173596915006339,0.49926254741791853,0.11809714408271532
GSE136831,macrophages,Macrophage,GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY,0.6471149946593691,0.5590068457685495,0.08810814889081953
GSE136831,macrophages,Macrophage,GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS,0.6194196860283449,0.5053989990074105,0.11402068702093437
GSE136831,macrophages,Macrophage,GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION,0.6580095573936506,0.5616949999987514,0.09631455739489925
GSE136831,macrophages,Macrophage,GOBP_DNA_STRAND_ELONGATION_INVOLVED_IN_DNA_REPLICATION,0.6014093765416488,0.5022465670108681,0.09916280953078072
GSE136831,macrophages,Macrophage,GOBP_REGULATION_OF_SPINDLE_CHECKPOINT,0.673898121024791,0.5701847518116323,0.10371336921315866
GSE136831,macrophages,Macrophage,GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE,0.6337084552528824,0.5483773132663937,0.08533114198648872
GSE136831,macrophages,Macrophage,GOBP_POSITIVE_REGULATION_OF_MONOCYTE_CHEMOTAXIS,0.6893244312762703,0.5978768961509792,0.09144753512529114
GSE136831,macrophages,Macrophage,GOBP_RIBOSOME_ASSEMBLY,0.6537519159064015,0.564177017350933,0.08957489855546852
GSE136831,macrophages,Macrophage,GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,0.6267719344185442,0.4993500019319105,0.1274219324866337
GSE136831,macrophages,Macrophage,GOBP_RRNA_METABOLIC_PROCESS,0.6596940071247341,0.5660654980809076,0.09362850904382658
GSE136831,macrophages,Macrophage,GOBP_MITOTIC_CYTOKINETIC_PROCESS,0.6468904524560837,0.5460555741987411,0.10083487825734261
GSE136831,macrophages,Macrophage,GOBP_REGULATION_OF_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE,0.6176100403979161,0.5210031557306168,0.09660688466729928
GSE136831,macrophages,Macrophage,GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE,0.6361038020142535,0.5329340972976181,0.10316970471663545
GSE136831,macrophages,Macrophage,GOBP_REGULATION_OF_DNA_TEMPLATED_DNA_REPLICATION,0.6222217691201376,0.5232195005104104,0.09900226860972716
GSE136831,macrophages,Macrophage,GOBP_MITOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING,0.6618419619461675,0.5588418323959787,0.10300012955018878
GSE136831,macrophages,Macrophage,GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,0.6590506465844133,0.5634992575009318,0.09555138908348149
GSE136831,macrophages,Macrophage,GOBP_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION,0.6407963079179536,0.5344157807621218,0.1063805271558318
GSE136831,macrophages,Macrophage,GOBP_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,0.6647851668219933,0.5670571333896887,0.09772803343230463
GSE136831,macrophages,Macrophage,GOBP_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY,0.6276505134549513,0.5303411931316103,0.09730932032334094
GSE136831,macrophages,Macrophage,GOBP_PROTEIN_IMPORT_INTO_MITOCHONDRIAL_MATRIX,0.6368231304618149,0.5224651918272156,0.11435793863459931
GSE136831,macrophages,Macrophage,GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,0.628231220687875,0.5016206206909328,0.12661059999694213
GSE136831,macrophages,Macrophage,GOBP_REGULATION_OF_LYSOSOMAL_LUMEN_PH,0.6468605553799427,0.5234717939900475,0.12338876138989519
GSE136831,macrophages,Macrophage,GOBP_NUCLEAR_CHROMOSOME_SEGREGATION,0.6395320335180796,0.5411569192789896,0.09837511423909007
GSE136831,macrophages,Macrophage,GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE,0.6345726994487094,0.5438964852056499,0.0906762142430595
GSE136831,macrophages,Macrophage,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II,0.6142595903762761,0.49923640334275265,0.11502318703352343
GSE136831,macrophages,Macrophage,GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY,0.6723535796765633,0.5374970763648539,0.1348565033117094
GSE136831,macrophages,Macrophage,GOBP_MATURATION_OF_SSU_RRNA,0.6490455732426506,0.5557887244791471,0.09325684876350349
GSE136831,macrophages,Macrophage,GOBP_CHROMOSOME_SEGREGATION,0.6418188596354555,0.5443856782922144,0.09743318134324108
GSE136831,macrophages,Macrophage,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II,0.6132339333263879,0.49204993654033813,0.12118399678604974
GSE136831,macrophages,Macrophage,GOBP_MITOTIC_CYTOKINESIS,0.6454747470634178,0.546700607542723,0.0987741395206948
GSE136831,macrophages,Macrophage,GOBP_PSEUDOURIDINE_SYNTHESIS,0.624760298310431,0.5230506839913972,0.1017096143190338
GSE136831,macrophages,Macrophage,GOBP_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY,0.6638012642304789,0.5717879752081401,0.09201328902233885
GSE136831,macrophages,Macrophage,GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE,0.6682612288284299,0.5529743261591276,0.1152869026693023
GSE136831,macrophages,Macrophage,GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_BIOSYNTHETIC_PROCESS,0.6805596892731387,0.5708255871511235,0.10973410212201518
GSE136831,macrophages,Macrophage,GOBP_ACTIN_FILAMENT_SEVERING,0.6276270510507975,0.48591907506804677,0.14170797598275076
GSE136831,macrophages,Macrophage,GOBP_VACUOLAR_ACIDIFICATION,0.6489669741122467,0.5274553623702898,0.1215116117419569
GSE136831,macrophages,Macrophage,GOBP_MITOTIC_DNA_REPLICATION,0.6278959043245584,0.5340420102957821,0.09385389402877631
GSE136831,macrophages,Macrophage,GOBP_SUBSTANTIA_NIGRA_DEVELOPMENT,0.6393758729675622,0.5468042850038358,0.09257158796372633
GSE136831,macrophages,Macrophage,GOBP_CYTOKINETIC_PROCESS,0.6524232553856982,0.5531728187443506,0.09925043664134758
GSE136831,macrophages,Macrophage,GOBP_PYRIMIDINE_NUCLEOTIDE_BIOSYNTHETIC_PROCESS,0.6525066590115285,0.5459266681789752,0.10657999083255332
GSE136831,macrophages,Macrophage,GOBP_DNA_TEMPLATED_DNA_REPLICATION,0.6261819614707241,0.5228342062091609,0.10334775526156326
GSE136831,macrophages,Macrophage,GOBP_METALLO_SULFUR_CLUSTER_ASSEMBLY,0.6546415629052857,0.5308157329618803,0.12382582994340541
GSE136831,macrophages,Macrophage,GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEGREGATION,0.6177206892536271,0.5332463766516986,0.0844743126019285
GSE136831,macrophages,Macrophage,GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,0.6525961996404287,0.544550649099895,0.10804555054053366
GSE136831,macrophages,Macrophage,GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION,0.6441531005736725,0.533186104343724,0.11096699622994843
GSE136831,macrophages,Macrophage,GOBP_REGULATION_OF_MONOCYTE_CHEMOTAXIS,0.6846855670366458,0.5822816892247038,0.10240387781194205
GSE136831,macrophages,Macrophage,GOBP_MIDBODY_ABSCISSION,0.6279201285335587,0.5123596963779535,0.11556043215560519
GSE136831,macrophages,Macrophage,GOBP_ORGANELLE_FISSION,0.6374593779999047,0.5371719191765033,0.1002874588234014
GSE136831,macrophages,Macrophage,GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION,0.6540489656619762,0.5533369334709698,0.10071203219100644
GSE136831,macrophages,Macrophage,GOBP_PROTEIN_LOCALIZATION_TO_CONDENSED_CHROMOSOME,0.5995514752386624,0.5095002029125154,0.09005127232614696
GSE136831,macrophages,Macrophage,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN,0.6145916629620873,0.49448389676428617,0.12010776619780117
GSE136831,macrophages,Macrophage,GOBP_DNA_REPLICATION_INITIATION,0.618601361333583,0.5129093482252087,0.10569201310837428
GSE136831,macrophages,Macrophage,GOBP_COPII_COATED_VESICLE_CARGO_LOADING,0.6737146623238845,0.5696186993835193,0.10409596294036527
GSE136831,macrophages,Macrophage,GOBP_CELL_REDOX_HOMEOSTASIS,0.6489171714396316,0.533902696409934,0.11501447502969753
GSE136831,macrophages,Macrophage,GOBP_MITOTIC_SPINDLE_ORGANIZATION,0.6300718734848563,0.535581949154327,0.09448992433052927
GSE136831,macrophages,Macrophage,GOBP_CELL_CYCLE_DNA_REPLICATION,0.6322851786944061,0.5353282487508495,0.09695692994355665
GSE136831,macrophages,Macrophage,GOBP_DNA_REPLICATION,0.6349293000617884,0.5363530228476363,0.09857627721415207
GSE136831,macrophages,Macrophage,GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS,0.6338018636565204,0.540560042316147,0.0932418213403734
