gene	module	in_D	in_I	in_L	core_all_three	in_AT1_published_400	in_AT2_published_400	in_HALLMARK_P53_PATHWAY	in_HALLMARK_HYPOXIA	in_HALLMARK_INFLAMMATORY_RESPONSE
D10Bwg1379e	development_specific	True	False	False	False	False	True	False	False	False
Daam2	development_specific	True	False	False	False	False	False	False	False	False
Dsp	development_specific	True	False	False	False	False	False	False	False	False
Egfr	development_specific	True	False	False	False	False	False	False	True	False
Epha4	development_specific	True	False	False	False	True	False	False	False	False
Epn3	development_specific	True	False	False	False	False	True	False	False	False
Eps8l2	development_specific	True	False	False	False	True	False	True	False	False
Erbb3	development_specific	True	False	False	False	False	False	False	False	False
Esrp1	development_specific	True	False	False	False	False	False	False	False	False
Exph5	development_specific	True	False	False	False	False	False	False	False	False
Eya2	development_specific	True	False	False	False	False	False	False	False	False
Fabp3	development_specific	True	False	False	False	False	False	False	False	False
Fam184a	development_specific	True	False	False	False	False	True	False	False	False
Fam189a2	development_specific	True	False	False	False	True	False	False	False	False
Fzd5	development_specific	True	False	False	False	False	False	False	False	True
Gipc2	development_specific	True	False	False	False	False	False	False	False	False
Gnmt	development_specific	True	False	False	False	False	False	False	False	False
Gramd2	development_specific	True	False	False	False	True	False	False	False	False
Hook1	development_specific	True	False	False	False	False	False	False	False	False
Hs2st1	development_specific	True	False	False	False	True	False	False	False	False
Igsf5	development_specific	True	False	False	False	False	False	False	False	False
Il18r1	development_specific	True	False	False	False	True	False	False	False	True
Klc3	development_specific	True	False	False	False	False	False	False	False	False
Lamb3	development_specific	True	False	False	False	True	True	False	False	False
Liph	development_specific	True	False	False	False	False	False	False	False	False
Llgl2	development_specific	True	False	False	False	False	False	False	False	False
Mal2	development_specific	True	False	False	False	True	False	False	False	False
Matn4	development_specific	True	False	False	False	False	True	False	False	False
Mfap3l	development_specific	True	False	False	False	False	False	False	False	False
Msln	development_specific	True	False	False	False	True	False	False	False	False
Myo5b	development_specific	True	False	False	False	False	False	False	False	False
Nedd4l	development_specific	True	False	False	False	False	False	False	True	False
Pard6b	development_specific	True	False	False	False	False	False	False	False	False
Pcx	development_specific	True	False	False	False	False	False	False	False	False
Pde8b	development_specific	True	False	False	False	False	False	False	False	False
Pip5k1b	development_specific	True	False	False	False	False	True	False	False	False
Pitpnm3	development_specific	True	False	False	False	False	False	False	False	False
Pkp2	development_specific	True	False	False	False	False	False	False	False	False
Plekhd1	development_specific	True	False	False	False	False	False	False	False	False
Ppl	development_specific	True	False	False	False	False	False	False	False	False
Psat1	development_specific	True	False	False	False	False	False	False	False	False
Rab11fip1	development_specific	True	False	False	False	True	False	False	False	False
Rab25	development_specific	True	False	False	False	False	False	False	False	False
Rap1gap	development_specific	True	False	False	False	False	True	False	False	False
Rbpjl	development_specific	True	False	False	False	False	True	False	False	False
Rprm	development_specific	True	False	False	False	False	False	False	False	False
Rtkn2	development_specific	True	False	False	False	True	False	False	False	False
Scel	development_specific	True	False	False	False	False	False	False	False	False
Scnn1b	development_specific	True	False	False	False	False	False	False	False	False
Scnn1g	development_specific	True	False	False	False	True	False	False	False	False
Sec14l4	development_specific	True	False	False	False	False	True	False	False	False
Sema3a	development_specific	True	False	False	False	True	False	False	False	False
Sema3b	development_specific	True	False	False	False	True	False	False	False	False
Sema3e	development_specific	True	False	False	False	True	False	False	False	False
Sh2d4a	development_specific	True	False	False	False	False	False	False	False	False
Sh3d21	development_specific	True	False	False	False	False	False	False	False	False
Shh	development_specific	True	False	False	False	False	False	False	False	False
Slc26a9	development_specific	True	False	False	False	False	True	False	False	False
Slc37a1	development_specific	True	False	False	False	False	False	False	False	False
Slc6a14	development_specific	True	False	False	False	True	False	False	False	False
Slco4c1	development_specific	True	False	False	False	False	True	False	False	False
Stard10	development_specific	True	False	False	False	False	False	False	False	False
Tfcp2l1	development_specific	True	False	False	False	False	True	False	False	False
Tmem116	development_specific	True	False	False	False	False	True	False	False	False
Tmem37	development_specific	True	False	False	False	True	False	False	False	False
Tmem62	development_specific	True	False	False	False	False	False	False	False	False
Tmod1	development_specific	True	False	False	False	True	True	False	False	False
Traf1	development_specific	True	False	False	False	False	False	False	False	False
Vnn1	development_specific	True	False	False	False	False	False	False	False	False
Zfp385b	development_specific	True	False	False	False	False	False	False	False	False
Zfp462	development_specific	True	False	False	False	False	False	False	False	False
1810013L24Rik	lesion_specific	False	False	True	False	False	False	False	False	False
2610035D17Rik	lesion_specific	False	False	True	False	False	False	False	False	False
3110043O21Rik	lesion_specific	False	False	True	False	False	False	False	False	False
5031415H12Rik	lesion_specific	False	False	True	False	False	False	False	False	False
9930111J21Rik1	lesion_specific	False	False	True	False	False	False	False	False	False
AI413582	lesion_specific	False	False	True	False	False	False	False	False	False
Aaed1	lesion_specific	False	False	True	False	False	False	False	False	False
Abcg1	lesion_specific	False	False	True	False	False	False	False	False	False
Abtb2	lesion_specific	False	False	True	False	False	False	False	False	False
Agap1	lesion_specific	False	False	True	False	False	False	False	False	False
Arid5a	lesion_specific	False	False	True	False	False	False	False	False	False
Ascc3	lesion_specific	False	False	True	False	False	False	False	False	False
Asns	lesion_specific	False	False	True	False	False	False	False	False	False
B3gnt2	lesion_specific	False	False	True	False	False	False	False	False	False
B930095G15Rik	lesion_specific	False	False	True	False	False	False	False	False	False
Bcl10	lesion_specific	False	False	True	False	False	False	False	False	False
Btg1	lesion_specific	False	False	True	False	False	False	True	True	False
Cars	lesion_specific	False	False	True	False	False	False	False	False	False
Cdk17	lesion_specific	False	False	True	False	False	False	False	False	False
Chac1	lesion_specific	False	False	True	False	False	False	False	False	False
Chic2	lesion_specific	False	False	True	False	False	False	False	False	False
Chmp4c	lesion_specific	False	False	True	False	False	False	False	False	False
Chrnb1	lesion_specific	False	False	True	False	False	False	False	False	False
Cln8	lesion_specific	False	False	True	False	False	False	False	False	False
Creb5	lesion_specific	False	False	True	False	False	False	False	False	False
Cwh43	lesion_specific	False	False	True	False	False	False	False	False	False
Cxcl1	lesion_specific	False	False	True	False	False	False	False	False	False
Ddit3	lesion_specific	False	False	True	False	False	False	True	True	False
Dennd2c	lesion_specific	False	False	True	False	False	False	False	False	False
Dusp10	lesion_specific	False	False	True	False	False	False	False	False	False
Ets1	lesion_specific	False	False	True	False	False	False	False	True	False
Fam50a	lesion_specific	False	False	True	False	False	False	False	False	False
Fam83g	lesion_specific	False	False	True	False	False	False	False	False	False
Fbxo30	lesion_specific	False	False	True	False	False	False	False	False	False
Gcnt2	lesion_specific	False	False	True	False	False	False	False	True	False
Gm10157	lesion_specific	False	False	True	False	False	False	False	False	False
Gm28048	lesion_specific	False	False	True	False	False	False	False	False	False
Grpel2	lesion_specific	False	False	True	False	False	False	False	False	False
Gtpbp4	lesion_specific	False	False	True	False	False	False	False	False	False
Hmces	lesion_specific	False	False	True	False	False	False	False	False	False
Hs3st1	lesion_specific	False	False	True	False	False	False	False	True	False
Iars	lesion_specific	False	False	True	False	False	False	False	False	False
Il23a	lesion_specific	False	False	True	False	False	False	False	False	False
Il24	lesion_specific	False	False	True	False	False	False	False	False	False
Itga2	lesion_specific	False	False	True	False	False	False	False	False	False
Klhl2	lesion_specific	False	False	True	False	False	False	False	False	False
Lif	lesion_specific	False	False	True	False	False	False	True	False	True
Llph-ps2	lesion_specific	False	False	True	False	False	False	False	False	False
Maff	lesion_specific	False	False	True	False	False	False	False	True	False
Mapk11	lesion_specific	False	False	True	False	False	False	False	False	False
Mcpt8	lesion_specific	False	False	True	False	False	False	False	False	False
Mxd1	lesion_specific	False	False	True	False	False	False	True	False	True
Ntm	lesion_specific	False	False	True	False	False	False	False	False	False
Ocln	lesion_specific	False	False	True	False	False	False	False	False	False
Otud4	lesion_specific	False	False	True	False	False	False	False	False	False
Otud7b	lesion_specific	False	False	True	False	True	False	False	False	False
Pik3c2a	lesion_specific	False	False	True	False	False	False	False	False	False
Ppp1r13l	lesion_specific	False	False	True	False	False	False	False	False	False
Prkca	lesion_specific	False	False	True	False	False	False	False	True	False
Prkx	lesion_specific	False	False	True	False	False	False	False	False	False
Procr	lesion_specific	False	False	True	False	False	False	True	False	False
Ptgs2	lesion_specific	False	False	True	False	False	False	False	False	False
Pvr	lesion_specific	False	False	True	False	False	False	False	False	True
Pvt1	lesion_specific	False	False	True	False	False	False	True	False	False
Pxdc1	lesion_specific	False	False	True	False	True	False	False	False	False
Rdh10	lesion_specific	False	False	True	False	False	False	False	False	False
Relb	lesion_specific	False	False	True	False	False	False	False	False	False
Rhbdf2	lesion_specific	False	False	True	False	False	False	True	False	False
Rhob	lesion_specific	False	False	True	False	False	False	False	False	False
Rnf19b	lesion_specific	False	False	True	False	False	False	True	False	False
Rrad	lesion_specific	False	False	True	False	False	False	True	False	False
Sema7a	lesion_specific	False	False	True	False	False	False	False	False	False
Sgms2	lesion_specific	False	False	True	False	False	False	False	False	True
Slc1a4	lesion_specific	False	False	True	False	False	False	False	False	False
Slc38a2	lesion_specific	False	False	True	False	False	False	False	False	False
Slc9a4	lesion_specific	False	False	True	False	False	False	False	False	False
Smcr8	lesion_specific	False	False	True	False	False	False	False	False	False
Tgfa	lesion_specific	False	False	True	False	False	False	True	False	False
Tgif1	lesion_specific	False	False	True	False	False	False	False	False	False
Tigit	lesion_specific	False	False	True	False	False	False	False	False	False
Tm4sf1	lesion_specific	False	False	True	False	False	False	True	False	False
Tnf	lesion_specific	False	False	True	False	False	False	False	False	False
Tnfaip3	lesion_specific	False	False	True	False	False	False	False	True	False
Tnfrsf11b	lesion_specific	False	False	True	False	False	False	False	False	False
Trib1	lesion_specific	False	False	True	False	False	False	False	False	False
Trim15	lesion_specific	False	False	True	False	False	False	False	False	False
Trp53inp1	lesion_specific	False	False	True	False	False	False	False	False	False
Tspan5	lesion_specific	False	False	True	False	False	False	False	False	False
Ugcg	lesion_specific	False	False	True	False	False	False	False	False	False
Zdhhc5	lesion_specific	False	False	True	False	False	False	False	False	False
Zfand2a	lesion_specific	False	False	True	False	False	False	False	False	False
1110004F10Rik	injury_residual	False	True	False	False	False	False	False	False	False
1500012F01Rik	injury_residual	False	True	False	False	False	False	False	False	False
2200002D01Rik	injury_residual	False	True	False	False	True	False	False	False	False
2410006H16Rik	injury_residual	False	True	False	False	False	False	False	False	False
Actb	injury_residual	False	True	False	False	True	False	False	False	False
Actg1	injury_residual	False	True	False	False	False	False	False	False	False
Ahnak	injury_residual	False	True	False	False	True	False	False	False	False
Akr1b8	injury_residual	False	True	False	False	False	False	False	False	False
Aldoa	injury_residual	False	True	False	False	False	False	False	True	False
Anxa1	injury_residual	False	True	False	False	True	False	False	False	False
Anxa2	injury_residual	False	True	False	False	True	False	False	True	False
Anxa3	injury_residual	False	True	False	False	True	False	False	False	False
Anxa5	injury_residual	False	True	False	False	True	False	False	False	False
Anxa7	injury_residual	False	True	False	False	False	False	False	False	False
App	injury_residual	False	True	False	False	True	True	True	False	False
Arf1	injury_residual	False	True	False	False	False	False	False	False	False
Arl4c	injury_residual	False	True	False	False	True	False	False	False	False
Arpc2	injury_residual	False	True	False	False	True	False	False	False	False
Arpc5	injury_residual	False	True	False	False	True	False	False	False	False
Arpp19	injury_residual	False	True	False	False	False	False	False	False	False
Atf3	injury_residual	False	True	False	False	False	False	True	True	False
Atf4	injury_residual	False	True	False	False	False	False	False	False	False
Atp5d	injury_residual	False	True	False	False	False	False	False	False	False
Atp6v0e	injury_residual	False	True	False	False	False	False	False	False	False
Atp6v1f	injury_residual	False	True	False	False	False	False	False	False	False
Atxn10	injury_residual	False	True	False	False	False	False	False	False	False
B2m	injury_residual	False	True	False	False	True	False	False	False	False
Bola2	injury_residual	False	True	False	False	False	False	False	False	False
Btf3	injury_residual	False	True	False	False	False	False	False	False	False
Btg2	injury_residual	False	True	False	False	True	False	True	False	True
Bzw1	injury_residual	False	True	False	False	False	False	False	False	False
Cald1	injury_residual	False	True	False	False	False	False	False	False	False
Calm1	injury_residual	False	True	False	False	True	False	False	False	False
Calm2	injury_residual	False	True	False	False	True	False	False	False	False
Canx	injury_residual	False	True	False	False	False	False	False	False	False
Capg	injury_residual	False	True	False	False	False	False	False	False	False
Capn2	injury_residual	False	True	False	False	True	False	False	False	False
Capns1	injury_residual	False	True	False	False	False	False	False	False	False
Capzb	injury_residual	False	True	False	False	True	False	False	False	False
Cast	injury_residual	False	True	False	False	False	False	False	False	False
Ccng1	injury_residual	False	True	False	False	True	False	True	False	False
Cct2	injury_residual	False	True	False	False	False	False	False	False	False
Cct3	injury_residual	False	True	False	False	False	False	False	False	False
Cct6a	injury_residual	False	True	False	False	False	False	False	False	False
Cct8	injury_residual	False	True	False	False	False	False	False	False	False
Cd151	injury_residual	False	True	False	False	True	False	False	False	False
Cd2ap	injury_residual	False	True	False	False	False	False	False	False	False
Cd44	injury_residual	False	True	False	False	False	False	False	False	False
Cd63	injury_residual	False	True	False	False	True	True	False	False	False
Cd81	injury_residual	False	True	False	False	True	False	True	False	False
Cd9	injury_residual	False	True	False	False	True	False	False	False	False
Cdc42	injury_residual	False	True	False	False	True	False	False	False	False
Cdkn1a	injury_residual	False	True	False	False	True	False	True	True	True
Cfl1	injury_residual	False	True	False	False	False	False	False	False	False
Cfl2	injury_residual	False	True	False	False	False	False	False	False	False
Chchd2	injury_residual	False	True	False	False	False	False	False	False	False
Chmp2a	injury_residual	False	True	False	False	True	False	False	False	False
Chmp3	injury_residual	False	True	False	False	False	False	False	False	False
Cldn18	injury_residual	False	True	False	False	True	True	False	False	False
Clic1	injury_residual	False	True	False	False	False	False	False	False	False
Clta	injury_residual	False	True	False	False	False	False	False	False	False
Cltb	injury_residual	False	True	False	False	False	False	False	False	False
Clu	injury_residual	False	True	False	False	True	False	False	False	False
Cnbp	injury_residual	False	True	False	False	False	False	False	False	False
Cnn2	injury_residual	False	True	False	False	True	True	False	False	False
Commd3	injury_residual	False	True	False	False	False	False	False	False	False
Cox17	injury_residual	False	True	False	False	False	False	False	False	False
Cox4i1	injury_residual	False	True	False	False	False	False	False	False	False
Cox5a	injury_residual	False	True	False	False	False	False	False	False	False
Cox5b	injury_residual	False	True	False	False	False	False	False	False	False
Cox6a1	injury_residual	False	True	False	False	True	False	False	False	False
Cox6b1	injury_residual	False	True	False	False	False	False	False	False	False
Cox7a2	injury_residual	False	True	False	False	False	False	False	False	False
Cox7c	injury_residual	False	True	False	False	True	False	False	False	False
Cox8a	injury_residual	False	True	False	False	False	False	False	False	False
Cryab	injury_residual	False	True	False	False	True	False	False	False	False
Cstb	injury_residual	False	True	False	False	False	False	False	False	False
Ctnna1	injury_residual	False	True	False	False	True	False	False	False	False
Ctsd	injury_residual	False	True	False	False	False	False	True	False	False
Ctsl	injury_residual	False	True	False	False	False	False	False	False	False
Cwc15	injury_residual	False	True	False	False	False	False	False	False	False
Cycs	injury_residual	False	True	False	False	False	False	False	False	False
Cyr61	injury_residual	False	True	False	False	True	False	False	False	False
Cystm1	injury_residual	False	True	False	False	True	False	False	False	False
D8Ertd738e	injury_residual	False	True	False	False	False	False	False	False	False
Dctn3	injury_residual	False	True	False	False	False	False	False	False	False
Denr	injury_residual	False	True	False	False	False	False	False	False	False
Dstn	injury_residual	False	True	False	False	True	False	False	False	False
Dusp1	injury_residual	False	True	False	False	True	False	False	True	False
Dynlrb1	injury_residual	False	True	False	False	True	False	False	False	False
Edf1	injury_residual	False	True	False	False	False	False	False	False	False
Edn1	injury_residual	False	True	False	False	False	False	False	False	True
Eef1a1	injury_residual	False	True	False	False	False	False	False	False	False
Eef1b2	injury_residual	False	True	False	False	False	False	False	False	False
Eef1g	injury_residual	False	True	False	False	False	False	False	False	False
Ehd4	injury_residual	False	True	False	False	False	False	False	False	False
Eif1	injury_residual	False	True	False	False	False	False	False	False	False
Eif2s1	injury_residual	False	True	False	False	False	False	False	False	False
Eif2s2	injury_residual	False	True	False	False	False	False	False	False	False
Eif3a	injury_residual	False	True	False	False	True	False	False	False	False
Eif3c	injury_residual	False	True	False	False	True	False	False	False	False
Eif3g	injury_residual	False	True	False	False	False	False	False	False	False
Eif3h	injury_residual	False	True	False	False	True	False	False	False	False
Eif4a1	injury_residual	False	True	False	False	False	False	False	False	False
Eif4g2	injury_residual	False	True	False	False	False	False	False	False	False
Eif5	injury_residual	False	True	False	False	False	False	False	False	False
Eif5a	injury_residual	False	True	False	False	False	False	False	False	False
Eif6	injury_residual	False	True	False	False	False	False	False	False	False
Emp2	injury_residual	False	True	False	False	True	False	False	False	False
Eno1	injury_residual	False	True	False	False	False	False	False	False	False
Epcam	injury_residual	False	True	False	False	False	False	False	False	False
Esd	injury_residual	False	True	False	False	False	False	False	False	False
Etf1	injury_residual	False	True	False	False	False	False	False	False	False
F11r	injury_residual	False	True	False	False	True	False	False	False	False
F3	injury_residual	False	True	False	False	False	False	False	True	True
Fau	injury_residual	False	True	False	False	False	False	False	False	False
Fkbp3	injury_residual	False	True	False	False	False	False	False	False	False
Ftl1	injury_residual	False	True	False	False	False	False	False	False	False
Fubp1	injury_residual	False	True	False	False	False	False	False	False	False
Gadd45b	injury_residual	False	True	False	False	True	False	False	False	False
Gas5	injury_residual	False	True	False	False	False	False	False	False	False
Ghitm	injury_residual	False	True	False	False	False	False	False	False	False
Glrx3	injury_residual	False	True	False	False	False	False	False	False	False
Gnb2l1	injury_residual	False	True	False	False	False	False	False	False	False
Gpx1	injury_residual	False	True	False	False	True	False	False	False	False
H2-D1	injury_residual	False	True	False	False	True	False	False	False	False
H2-K1	injury_residual	False	True	False	False	True	False	False	False	False
H3f3b	injury_residual	False	True	False	False	True	False	False	False	False
Hbegf	injury_residual	False	True	False	False	True	False	True	False	True
Hint1	injury_residual	False	True	False	False	False	False	True	False	False
Hist1h2bc	injury_residual	False	True	False	False	False	False	False	False	False
Hnrnpa2b1	injury_residual	False	True	False	False	False	False	False	False	False
Hnrnpab	injury_residual	False	True	False	False	False	False	False	False	False
Hnrnpc	injury_residual	False	True	False	False	True	False	False	False	False
Hsp90aa1	injury_residual	False	True	False	False	False	False	False	False	False
Hsp90ab1	injury_residual	False	True	False	False	True	False	False	False	False
Hspa8	injury_residual	False	True	False	False	False	False	False	False	False
Hspa9	injury_residual	False	True	False	False	False	False	False	False	False
Hspb1	injury_residual	False	True	False	False	False	False	False	False	False
Icam1	injury_residual	False	True	False	False	True	False	False	False	True
Ier3	injury_residual	False	True	False	False	True	False	True	True	False
Ifrd1	injury_residual	False	True	False	False	False	False	False	False	False
Igfbp7	injury_residual	False	True	False	False	True	False	False	False	False
Itgb1	injury_residual	False	True	False	False	True	False	False	False	False
Jun	injury_residual	False	True	False	False	False	True	True	True	False
Krt18	injury_residual	False	True	False	False	True	False	False	False	False
Krt19	injury_residual	False	True	False	False	True	False	False	False	False
Krt7	injury_residual	False	True	False	False	True	False	False	False	False
Lamp1	injury_residual	False	True	False	False	True	False	False	False	False
Laptm4a	injury_residual	False	True	False	False	True	False	False	False	False
Las1l	injury_residual	False	True	False	False	False	False	False	False	False
Lgals3	injury_residual	False	True	False	False	True	False	False	False	False
Lmna	injury_residual	False	True	False	False	False	False	False	False	False
Lmo7	injury_residual	False	True	False	False	True	False	False	False	False
Lrrfip1	injury_residual	False	True	False	False	True	False	False	False	False
Lsr	injury_residual	False	True	False	False	False	False	False	False	False
Mal	injury_residual	False	True	False	False	False	False	False	False	False
Map1lc3b	injury_residual	False	True	False	False	False	False	False	False	False
Mdm2	injury_residual	False	True	False	False	False	False	True	False	False
Mfge8	injury_residual	False	True	False	False	True	False	False	False	False
Mif	injury_residual	False	True	False	False	False	False	False	True	False
Morf4l1	injury_residual	False	True	False	False	True	False	False	False	False
Mrpl33	injury_residual	False	True	False	False	False	False	False	False	False
Msn	injury_residual	False	True	False	False	True	False	False	False	False
Myl12a	injury_residual	False	True	False	False	True	False	False	False	False
Myl12b	injury_residual	False	True	False	False	True	False	False	False	False
Myl6	injury_residual	False	True	False	False	True	False	False	False	False
Naca	injury_residual	False	True	False	False	False	False	False	False	False
Ncl	injury_residual	False	True	False	False	True	False	False	False	False
Ndufa4	injury_residual	False	True	False	False	True	False	False	False	False
Ndufb6	injury_residual	False	True	False	False	False	False	False	False	False
Nfkbia	injury_residual	False	True	False	False	False	False	False	False	True
Nme1	injury_residual	False	True	False	False	False	False	False	False	False
Nop10	injury_residual	False	True	False	False	False	False	False	False	False
Nop56	injury_residual	False	True	False	False	False	False	False	False	False
Nop58	injury_residual	False	True	False	False	False	False	False	False	False
Npm1	injury_residual	False	True	False	False	False	False	False	False	False
Nupr1	injury_residual	False	True	False	False	False	False	True	False	False
Ociad1	injury_residual	False	True	False	False	False	False	False	False	False
Pa2g4	injury_residual	False	True	False	False	False	False	False	False	False
Pabpc1	injury_residual	False	True	False	False	False	False	False	False	False
Pafah1b1	injury_residual	False	True	False	False	True	False	False	False	False
Pdap1	injury_residual	False	True	False	False	True	False	False	False	False
Pdcd6	injury_residual	False	True	False	False	False	False	False	False	False
Pdia3	injury_residual	False	True	False	False	False	False	False	False	False
Pdlim1	injury_residual	False	True	False	False	False	False	False	False	False
Perp	injury_residual	False	True	False	False	False	False	True	False	False
Pfn1	injury_residual	False	True	False	False	False	False	False	False	False
Phlda1	injury_residual	False	True	False	False	True	False	False	False	False
Pkm	injury_residual	False	True	False	False	True	False	False	False	False
Plaur	injury_residual	False	True	False	False	False	False	False	True	True
Plk2	injury_residual	False	True	False	False	False	False	True	False	False
Pls3	injury_residual	False	True	False	False	True	False	False	False	False
Polr1d	injury_residual	False	True	False	False	False	False	False	False	False
Ppia	injury_residual	False	True	False	False	False	False	False	False	False
Ppp1r15a	injury_residual	False	True	False	False	False	False	True	True	False
Ppp2r2a	injury_residual	False	True	False	False	False	False	False	False	False
Prdx1	injury_residual	False	True	False	False	False	False	False	False	False
Prkcdbp	injury_residual	False	True	False	False	True	False	False	False	False
Prr13	injury_residual	False	True	False	False	False	False	False	False	False
Psma1	injury_residual	False	True	False	False	False	False	False	False	False
Psma2	injury_residual	False	True	False	False	True	False	False	False	False
Psma5	injury_residual	False	True	False	False	False	False	False	False	False
Psma6	injury_residual	False	True	False	False	False	False	False	False	False
Psma7	injury_residual	False	True	False	False	False	False	False	False	False
Psmb1	injury_residual	False	True	False	False	False	False	False	False	False
Psmb2	injury_residual	False	True	False	False	False	False	False	False	False
Psmb3	injury_residual	False	True	False	False	False	False	False	False	False
Psmb4	injury_residual	False	True	False	False	False	False	False	False	False
Psmb6	injury_residual	False	True	False	False	False	False	False	False	False
Psmc1	injury_residual	False	True	False	False	True	False	False	False	False
Psmc3	injury_residual	False	True	False	False	False	False	False	False	False
Psmc6	injury_residual	False	True	False	False	False	False	False	False	False
Psmd11	injury_residual	False	True	False	False	False	False	False	False	False
Psmd12	injury_residual	False	True	False	False	False	False	False	False	False
Psmd2	injury_residual	False	True	False	False	False	False	False	False	False
Psmd4	injury_residual	False	True	False	False	False	False	False	False	False
Psmd7	injury_residual	False	True	False	False	False	False	False	False	False
Psmd8	injury_residual	False	True	False	False	False	False	False	False	False
Psme2	injury_residual	False	True	False	False	True	False	False	False	False
Ptp4a2	injury_residual	False	True	False	False	True	False	False	False	False
Pttg1ip	injury_residual	False	True	False	False	False	False	False	False	False
Rab1	injury_residual	False	True	False	False	False	False	False	False	False
Rab11a	injury_residual	False	True	False	False	False	False	False	False	False
Rab2a	injury_residual	False	True	False	False	True	False	False	False	False
Rab6a	injury_residual	False	True	False	False	False	False	False	False	False
Rac1	injury_residual	False	True	False	False	False	False	False	False	False
Rala	injury_residual	False	True	False	False	False	False	False	False	False
Ran	injury_residual	False	True	False	False	False	False	False	False	False
Ranbp1	injury_residual	False	True	False	False	False	False	False	False	False
Rap1b	injury_residual	False	True	False	False	False	False	False	False	False
Rap2b	injury_residual	False	True	False	False	False	False	True	False	False
Rars	injury_residual	False	True	False	False	False	False	False	False	False
Rbm8a	injury_residual	False	True	False	False	False	False	False	False	False
Rbms1	injury_residual	False	True	False	False	True	False	False	False	False
Rbx1	injury_residual	False	True	False	False	False	False	False	False	False
Rhoa	injury_residual	False	True	False	False	True	False	False	False	False
Riok3	injury_residual	False	True	False	False	False	False	False	False	False
Rnf11	injury_residual	False	True	False	False	False	False	False	False	False
Rnh1	injury_residual	False	True	False	False	False	False	False	False	False
Rpl10a	injury_residual	False	True	False	False	False	False	False	False	False
Rpl11	injury_residual	False	True	False	False	False	False	False	False	False
Rpl12	injury_residual	False	True	False	False	False	False	False	False	False
Rpl13	injury_residual	False	True	False	False	False	False	False	False	False
Rpl13a	injury_residual	False	True	False	False	False	False	False	False	False
Rpl14	injury_residual	False	True	False	False	False	False	False	False	False
Rpl15	injury_residual	False	True	False	False	False	False	False	False	False
Rpl17	injury_residual	False	True	False	False	False	False	False	False	False
Rpl18	injury_residual	False	True	False	False	False	False	True	False	False
Rpl18a	injury_residual	False	True	False	False	False	False	False	False	False
Rpl19	injury_residual	False	True	False	False	False	False	False	False	False
Rpl22	injury_residual	False	True	False	False	False	False	False	False	False
Rpl23	injury_residual	False	True	False	False	False	False	False	False	False
Rpl23a	injury_residual	False	True	False	False	False	False	False	False	False
Rpl26	injury_residual	False	True	False	False	False	False	False	False	False
Rpl27	injury_residual	False	True	False	False	False	False	False	False	False
Rpl27a	injury_residual	False	True	False	False	False	False	False	False	False
Rpl28	injury_residual	False	True	False	False	True	False	False	False	False
Rpl29	injury_residual	False	True	False	False	False	False	False	False	False
Rpl3	injury_residual	False	True	False	False	False	False	False	False	False
Rpl30	injury_residual	False	True	False	False	False	False	False	False	False
