class_key	mouse	human
52138264	Acap1	ACAP1
52125164	Acap2	ACAP2
52129066	Acap3	ACAP3
52129689	Acat1	ACAT1
52126342	Acbd3	ACBD3
52139266	Acbd4	ACBD4
52133851	Acbd5	ACBD5
52129569	Acbd6	ACBD6
52137982	Acbd7	ACBD7
52128366	Accs	ACCS
52140963	Acd	ACD
52129095	Ace	ACE
52139497	Ace2	ACE2
52137722	Acer1	ACER1
52134670	Acer3	ACER3
52139501	Ache	ACHE
52125182	Acin1	ACIN1
52127322	Ackr3	ACKR3
52125185	Acly	ACLY
52132049	Aco1	ACO1
52126085	Aco2	ACO2
52125187	Acot11	ACOT11
52140967	Acot12	ACOT12
52135329	Acot13	ACOT13
52135024	Acot2	ACOT2
52135027	Acot4	ACOT4
52135026	Acot6	ACOT6
52137563	Acot7	ACOT7
52137524	Acot8	ACOT8
52136877	Acox1	ACOX1
52140968	Acox2	ACOX2
52138969	Acox3	ACOX3
52134334	Acoxl	ACOXL
52131471	Acp1	ACP1
52129940	Acp2	ACP2
52125190	Acp5	ACP5
52131770	Acp6	ACP6
52140972	Acrbp	ACRBP
52133846	Acsbg1	ACSBG1
52131729	Acsf2	ACSF2
52140739	Acsf3	ACSF3
52125193	Acsl1	ACSL1
52125194	Acsl3	ACSL3
52125195	Acsl4	ACSL4
52139404	Acsl5	ACSL5
52138564	Acsm3	ACSM3
52138561	Acsm5	ACSM5
52125196	Acss1	ACSS1
52140974	Acss2	ACSS2
52135376	Acss3	ACSS3
52125201	Acta1	ACTA1
52136047	Acta2	ACTA2
52125205	Actb	ACTB
52125204	Actg1	ACTG1
52125667	Actl6a	ACTL6A
52137692	Actl6b	ACTL6B
52140352	Actn1	ACTN1
52125206	Actn2	ACTN2
52125207	Actn3	ACTN3
52136861	Actn4	ACTN4
52138716	Actr10	ACTR10
52125209	Actr1a	ACTR1A
52125208	Actr1b	ACTR1B
52125210	Actr2	ACTR2
52139824	Actr3	ACTR3
52137231	Actr5	ACTR5
52137049	Actr6	ACTR6
52137163	Actr8	ACTR8
52125213	Acvr1	ACVR1
52125214	Acvr1b	ACVR1B
52140984	Acvr1c	ACVR1C
52125211	Acvr2a	ACVR2A
52125212	Acvr2b	ACVR2B
52125346	Acvrl1	ACVRL1
52136015	Acy1	ACY1
52131116	Acy3	ACY3
52131821	Acyp1	ACYP1
52139662	Acyp2	ACYP2
52125216	Ada	ADA
52125218	Adam10	ADAM10
52140196	Adam11	ADAM11
52135433	Adam15	ADAM15
52125220	Adam17	ADAM17
52135863	Adam19	ADAM19
52140199	Adam22	ADAM22
52137269	Adam23	ADAM23
52125221	Adam8	ADAM8
52125222	Adam9	ADAM9
52141000	Adamdec1	ADAMDEC1
52140202	Adamts1	ADAMTS1
52135604	Adamts10	ADAMTS10
52140203	Adamts13	ADAMTS13
52125223	Adamts15	ADAMTS15
52141002	Adamts16	ADAMTS16
52140744	Adamts17	ADAMTS17
52132258	Adamts9	ADAMTS9
52125226	Adamtsl2	ADAMTSL2
52140204	Adamtsl4	ADAMTSL4
52135462	Adamtsl5	ADAMTSL5
52141010	Adap1	ADAP1
52133893	Adap2	ADAP2
52127903	Adar	ADAR
52125228	Adarb1	ADARB1
52138433	Adat1	ADAT1
52127433	Adat2	ADAT2
52138624	Adck1	ADCK1
52133874	Adck2	ADCK2
52134138	Adck5	ADCK5
52135110	Adcy1	ADCY1
52135494	Adcy2	ADCY2
52125232	Adcy3	ADCY3
52141012	Adcy4	ADCY4
52125163	Adcy5	ADCY5
52125234	Adcy6	ADCY6
52125233	Adcy7	ADCY7
52125231	Adcy8	ADCY8
52125235	Adcy9	ADCY9
52125236	Adcyap1	ADCYAP1
52126572	Add1	ADD1
52125238	Add3	ADD3
52127485	Adgb	ADGB
52136885	Adh4	ADH4
52125243	Adh5	ADH5
52139232	Adhfe1	ADHFE1
52129320	Adi1	ADI1
52125244	Adipor1	ADIPOR1
52134618	Adipor2	ADIPOR2
52125246	Adk	ADK
52140670	Adm	ADM
52125249	Adnp	ADNP
52125250	Adnp2	ADNP2
52125864	Ado	ADO
52141016	Adora1	ADORA1
52125115	Adora2a	ADORA2A
52135055	Adora2b	ADORA2B
52127904	Adpgk	ADPGK
52139365	Adprh	ADPRH
52137570	Adprhl1	ADPRHL1
52125252	Adprm	ADPRM
52139763	Adra2a	ADRA2A
52138669	Adrb1	ADRB1
52138407	Adrb2	ADRB2
52129981	Adsl	ADSL
52131789	Adtrp	ADTRP
52125265	Aebp1	AEBP1
52137321	Aebp2	AEBP2
52141017	Aen	AEN
52131790	Afap1	AFAP1
52125274	Afap1l1	AFAP1L1
52140459	Afap1l2	AFAP1L2
52125275	Aff1	AFF1
52140505	Aff4	AFF4
52133933	Afg3l2	AFG3L2
52131794	Afmid	AFMID
52129000	Aftph	AFTPH
52139211	Aga	AGA
52140792	Agap1	AGAP1
52132256	Agap2	AGAP2
52129372	Agap3	AGAP3
52141021	Agbl3	AGBL3
52126790	Agbl5	AGBL5
52141022	Ager	AGER
52125281	Agfg1	AGFG1
52137952	Agfg2	AGFG2
52131745	Aggf1	AGGF1
52129951	Agk	AGK
52125282	Agl	AGL
52138186	Agmat	AGMAT
52136307	Agmo	AGMO
52125284	Ago1	AGO1
52125285	Ago2	AGO2
52125286	Ago3	AGO3
52125287	Ago4	AGO4
52138276	Agpat1	AGPAT1
52138275	Agpat2	AGPAT2
52129667	Agpat3	AGPAT3
52129337	Agpat4	AGPAT4
52129424	Agpat5	AGPAT5
52129687	Agps	AGPS
52133512	Agr2	AGR2
52125278	Agr3	AGR3
52125290	Agrn	AGRN
52136889	Agt	AGT
52126788	Agtpbp1	AGTPBP1
52141023	Agtrap	AGTRAP
52125294	Agxt	AGXT
52131898	Agxt2	AGXT2
52128148	Ahctf1	AHCTF1
52126472	Ahcyl1	AHCYL1
52125296	Ahcyl2	AHCYL2
52134246	Ahdc1	AHDC1
52137373	Ahi1	AHI1
52129907	Ahnak	AHNAK
52141024	Ahnak2	AHNAK2
52125297	Ahr	AHR
52125298	Ahrr	AHRR
52125299	Ahsa1	AHSA1
52139139	Aida	AIDA
52141026	Aif1	AIF1
52125307	Aif1l	AIF1L
52125306	Aifm1	AIFM1
52131423	Aifm2	AIFM2
52141027	Aifm3	AIFM3
52134068	Aig1	AIG1
52141028	Aim2	AIM2
52125311	Aimp1	AIMP1
52136979	Aimp2	AIMP2
52136637	Aip	AIP
52135475	Aire	AIRE
52141029	Airn	AIRN
52130249	Ajuba	AJUBA
52139367	Ak1	AK1
52136823	Ak2	AK2
52141030	Ak3	AK3
52125316	Ak7	AK7
52129093	Ak8	AK8
52125317	Akap1	AKAP1
52129263	Akap10	AKAP10
52140404	Akap11	AKAP11
52125319	Akap13	AKAP13
52141032	Akap14	AKAP14
52141036	Akap5	AKAP5
52141037	Akap7	AKAP7
52141038	Akap8	AKAP8
52141039	Akap8l	AKAP8L
52137244	Akap9	AKAP9
52133477	Akip1	AKIP1
52136715	Akirin1	AKIRIN1
52136771	Akirin2	AKIRIN2
52134748	Akna	AKNA
52125322	Akr1a1	AKR1A1
52141045	Akr1d1	AKR1D1
52141046	Akr1e1	AKR1E2
52140812	Akt1	AKT1
52136817	Akt1s1	AKT1S1
52139787	Akt2	AKT2
52134407	Akt3	AKT3
52126575	Aktip	AKTIP
52137703	Alad	ALAD
52125329	Alas1	ALAS1
52125328	Alas2	ALAS2
52141047	Alb	ALB
52125330	Alcam	ALCAM
52131859	Aldh16a1	ALDH16A1
52126591	Aldh18a1	ALDH18A1
52125331	Aldh1b1	ALDH1B1
52125027	Aldh1l1	ALDH1L1
52125332	Aldh2	ALDH2
52125333	Aldh3a2	ALDH3A2
52125337	Aldh3b1	ALDH3B1
52138898	Aldh4a1	ALDH4A1
52140136	Aldh5a1	ALDH5A1
52126595	Aldh6a1	ALDH6A1
52125619	Aldh7a1	ALDH7A1
52129936	Aldh8a1	ALDH8A1
52125338	Aldh9a1	ALDH9A1
52125341	Aldoa	ALDOA
52128809	Aldob	ALDOB
52125342	Aldoc	ALDOC
52130011	Alg11	ALG11
52135117	Alg12	ALG12
52132931	Alg13	ALG13
52137507	Alg14	ALG14
52131723	Alg2	ALG2
52137883	Alg3	ALG3
52137320	Alg5	ALG5
52137400	Alg6	ALG6
52135977	Alg8	ALG8
52138939	Alg9	ALG9
52133943	Alkbh1	ALKBH1
52135664	Alkbh2	ALKBH2
52131381	Alkbh3	ALKBH3
52135471	Alkbh4	ALKBH4
52138293	Alkbh5	ALKBH5
52139323	Alkbh6	ALKBH6
52135994	Alkbh7	ALKBH7
52135453	Alkbh8	ALKBH8
52129755	Alms1	ALMS1
52125355	Alox12b	ALOX12B
52125352	Alox15	ALOX15
52125358	Alox5	ALOX5
52130432	Alox5ap	ALOX5AP
52125357	Aloxe3	ALOXE3
52139680	Alpk1	ALPK1
52129104	Alpk2	ALPK2
52125359	Alpl	ALPL
52125373	Als2	ALS2
52141050	Als2cl	ALS2CL
52125897	Amacr	AMACR
52125379	Ambp	AMBP
52131742	Ambra1	AMBRA1
52134946	Amdhd1	AMDHD1
52139251	Amdhd2	AMDHD2
52128555	Amer1	AMER1
52128554	Amer2	AMER2
52125380	Amfr	AMFR
52139998	Amh	AMH
52141053	Amhr2	AMHR2
52134257	Amigo1	AMIGO1
52141054	Amigo2	AMIGO2
52139043	Ammecr1	AMMECR1
52139044	Ammecr1l	AMMECR1L
52131931	Amn	AMN
52138144	Amn1	AMN1
52135057	Amot	AMOT
52140419	Amotl1	AMOTL1
52125383	Amotl2	AMOTL2
52125384	Ampd2	AMPD2
52125385	Ampd3	AMPD3
52129404	Amt	AMT
52141056	Amz1	AMZ1
52141057	Amz2	AMZ2
52134089	Anapc1	ANAPC1
52140026	Anapc10	ANAPC10
52135391	Anapc11	ANAPC11
52135500	Anapc13	ANAPC13
52138208	Anapc15	ANAPC15
52137772	Anapc16	ANAPC16
52134839	Anapc2	ANAPC2
52135777	Anapc4	ANAPC4
52136934	Anapc5	ANAPC5
52133925	Anapc7	ANAPC7
52140628	Angel1	ANGEL1
52130429	Angel2	ANGEL2
52125394	Angpt2	ANGPT2
52125396	Angptl1	ANGPTL1
52129997	Angptl4	ANGPTL4
52126247	Angptl6	ANGPTL6
52125399	Ank2	ANK2
52125400	Ank3	ANK3
52134543	Ankdd1b	ANKDD1B
52136923	Ankfy1	ANKFY1
52125402	Ank	ANKH
52125403	Ankib1	ANKIB1
52139821	Ankle1	ANKLE1
52129929	Ankle2	ANKLE2
52125404	Ankmy2	ANKMY2
52137099	Ankra2	ANKRA2
52125405	Ankrd10	ANKRD10
52129542	Ankrd11	ANKRD11
52129861	Ankrd12	ANKRD12
52125406	Ankrd13a	ANKRD13A
52137938	Ankrd13b	ANKRD13B
52129535	Ankrd13c	ANKRD13C
52140522	Ankrd13d	ANKRD13D
52141059	Ankrd16	ANKRD16
52141060	Ankrd17	ANKRD17
52138870	Ankrd22	ANKRD22
52141061	Ankrd23	ANKRD23
52135792	Ankrd24	ANKRD24
52141062	Ankrd26	ANKRD26
52129447	Ankrd27	ANKRD27
52125409	Ankrd28	ANKRD28
52135040	Ankrd29	ANKRD29
52141065	Ankrd35	ANKRD35
52141066	Ankrd37	ANKRD37
52134152	Ankrd39	ANKRD39
52140703	Ankrd40	ANKRD40
52141068	Ankrd42	ANKRD42
52141069	Ankrd44	ANKRD44
52125413	Ankrd46	ANKRD46
52137784	Ankrd49	ANKRD49
52138581	Ankrd50	ANKRD50
52125414	Ankrd52	ANKRD52
52129926	Ankrd54	ANKRD54
52140246	Ankrd55	ANKRD55
52125417	Ankrd6	ANKRD6
52141071	Ankrd61	ANKRD61
52141073	Ankrd66	ANKRD66
52139410	Ankrd9	ANKRD9
52140551	Anks1	ANKS1A
52138576	Anks3	ANKS3
52139352	Anks4b	ANKS4B
52139300	Anks6	ANKS6
52131797	Ankzf1	ANKZF1
52134226	Anln	ANLN
52125419	Ano1	ANO1
52125420	Ano10	ANO10
52134821	Ano6	ANO6
52135757	Ano7	ANO7
52135701	Ano8	ANO8
52131951	Ano9	ANO9
52126636	Anp32b	ANP32B
52136784	Anp32e	ANP32E
52125422	Anpep	ANPEP
52125620	Antxr2	ANTXR2
52132249	Anxa1	ANXA1
52141077	Anxa10	ANXA10
52126550	Anxa11	ANXA11
52136845	Anxa13	ANXA13
52125429	Anxa3	ANXA3
52139773	Anxa4	ANXA4
52125428	Anxa5	ANXA5
52139774	Anxa6	ANXA6
52141080	Anxa7	ANXA7
52137542	Anxa9	ANXA9
52141082	Aoah	AOAH
52128486	Aoc2	AOC2
52128485	Aoc3	AOC3
52139593	Ap1ar	AP1AR
52128376	Ap1b1	AP1B1
52129240	Ap1g2	AP1G2
52140554	Ap1m1	AP1M1
52137592	Ap1m2	AP1M2
52138869	Ap1s1	AP1S1
52130131	Ap1s2	AP1S2
52137520	Ap1s3	AP1S3
52128496	Ap2a1	AP2A1
52141083	Ap2a2	AP2A2
52128411	Ap2b1	AP2B1
52125437	Ap2m1	AP2M1
52128914	Ap2s1	AP2S1
52125438	Ap3b1	AP3B1
52141084	Ap3b2	AP3B2
52133927	Ap3d1	AP3D1
52126388	Ap3m1	AP3M1
52129300	Ap3m2	AP3M2
52136704	Ap3s1	AP3S1
52139548	Ap3s2	AP3S2
52125439	Ap4b1	AP4B1
52141085	Ap4e1	AP4E1
52134470	Ap4m1	AP4M1
52135927	Ap4s1	AP4S1
52133980	Ap5b1	AP5B1
52132934	Ap5m1	AP5M1
52135064	Ap5s1	AP5S1
52130594	Ap5z1	AP5Z1
52138042	Apaf1	APAF1
52125440	Apba1	APBA1
52125441	Apba2	APBA2
52141086	Apba3	APBA3
52134599	Apbb1	APBB1
52138955	Apbb1ip	APBB1IP
52125442	Apbb2	APBB2
52126664	Apc	APC
52141087	Apcdd1	APCDD1
52126426	Apeh	APEH
52130961	Apex1	APEX1
52138743	Apex2	APEX2
52140005	Aph1a	APH1A
52125448	Api5	API5
52137617	Apip	APIP
52138507	Aplf	APLF
52140156	Apln	APLN
52125451	Aplp1	APLP1
52130356	Aplp2	APLP2
52125831	Apmap	APMAP
52125453	Apoa1	APOA1
52125455	Apob	APOB
52125452	Apobec2	APOBEC2
52141092	Apobr	APOBR
52141093	Apoc1	APOC1
52141096	Apoc3	APOC3
52125456	Apod	APOD
52125457	Apoe	APOE
52139791	Apoh	APOH
52133729	Apold1	APOLD1
52128968	Apom	APOM
52125459	Apoo	APOO
52129338	Apool	APOOL
52125462	App	APP
52136940	Appbp2	APPBP2
52140336	Appl1	APPL1
52140337	Appl2	APPL2
52139031	Aprt	APRT
52129819	Aptx	APTX
52125467	Aqp1	AQP1
52125466	Aqp11	AQP11
52125468	Aqp3	AQP3
52134174	Aqp4	AQP4
52141100	Aqp5	AQP5
52125470	Aqp9	AQP9
52138901	Aqr	AQR
52133573	Araf	ARAF
52129955	Arap1	ARAP1
52139611	Arap2	ARAP2
52141102	Arap3	ARAP3
52141103	Arc	ARC
52125476	Arcn1	ARCN1
52134934	Areg	AREG
52139729	Arel1	AREL1
52125479	Arf1	ARF1
52125481	Arf3	ARF3
52137457	Arf4	ARF4
52126399	Arf5	ARF5
52125482	Arf6	ARF6
52137265	Arfgap1	ARFGAP1
52131805	Arfgap2	ARFGAP2
52139281	Arfgap3	ARFGAP3
52130949	Arfgef1	ARFGEF1
52135209	Arfgef2	ARFGEF2
52131077	Arfip1	ARFIP1
52130109	Arfip2	ARFIP2
52137923	Arfrp1	ARFRP1
52133981	Arg1	ARG1
52136917	Arg2	ARG2
52125485	Arglu1	ARGLU1
52130322	Arhgap1	ARHGAP1
52130296	Arhgap10	ARHGAP10
52136969	Arhgap11a	ARHGAP11A
52125489	Arhgap12	ARHGAP12
52134734	Arhgap15	ARHGAP15
52134516	Arhgap17	ARHGAP17
52140151	Arhgap18	ARHGAP18
52134923	Arhgap19	ARHGAP19
52140220	Arhgap20	ARHGAP20
52129773	Arhgap21	ARHGAP21
52125490	Arhgap22	ARHGAP22
52125491	Arhgap23	ARHGAP23
52134720	Arhgap24	ARHGAP24
52135062	Arhgap25	ARHGAP25
52141104	Arhgap26	ARHGAP26
52129539	Arhgap27	ARHGAP27
52125492	Arhgap29	ARHGAP29
52141105	Arhgap30	ARHGAP30
52135675	Arhgap31	ARHGAP31
52128472	Arhgap32	ARHGAP32
52136063	Arhgap33	ARHGAP33
52134621	Arhgap39	ARHGAP39
52135793	Arhgap4	ARHGAP4
52130183	Arhgap42	ARHGAP42
52140333	Arhgap5	ARHGAP5
52125497	Arhgap6	ARHGAP6
52141107	Arhgap8	ARHGAP8
52140598	Arhgap9	ARHGAP9
52136718	Arhgdia	ARHGDIA
52139032	Arhgdib	ARHGDIB
52139033	Arhgdig	ARHGDIG
52125498	Arhgef1	ARHGEF1
52137229	Arhgef10	ARHGEF10
52125500	Arhgef10l	ARHGEF10L
52140161	Arhgef11	ARHGEF11
52133974	Arhgef12	ARHGEF12
52125501	Arhgef15	ARHGEF15
52135810	Arhgef16	ARHGEF16
52130360	Arhgef17	ARHGEF17
52125502	Arhgef18	ARHGEF18
52135344	Arhgef19	ARHGEF19
52125499	Arhgef2	ARHGEF2
52130326	Arhgef25	ARHGEF25
52141108	Arhgef26	ARHGEF26
52125503	Arhgef28	ARHGEF28
52134560	Arhgef3	ARHGEF3
52134079	Arhgef33	ARHGEF33
52125504	Arhgef37	ARHGEF37
52134389	Arhgef38	ARHGEF38
52137589	Arhgef39	ARHGEF39
52135691	Arhgef4	ARHGEF4
52139713	Arhgef40	ARHGEF40
52128714	Arhgef5	ARHGEF5
52140524	Arhgef6	ARHGEF6
52125505	Arhgef7	ARHGEF7
52125506	Arhgef9	ARHGEF9
52129073	Arid1a	ARID1A
52129643	Arid1b	ARID1B
52129971	Arid2	ARID2
52131936	Arid3a	ARID3A
52136996	Arid3b	ARID3B
52129456	Arid4a	ARID4A
52136332	Arid4b	ARID4B
52125510	Arid5a	ARID5A
52135429	Arid5b	ARID5B
52136669	Arih1	ARIH1
52136646	Arih2	ARIH2
52139574	Arl1	ARL1
52134045	Arl10	ARL10
52137037	Arl11	ARL11
52125514	Arl13b	ARL13B
52135015	Arl14	ARL14
52133718	Arl14ep	ARL14EP
52125513	Arl15	ARL15
52138465	Arl16	ARL16
52137624	Arl2	ARL2
52139070	Arl2bp	ARL2BP
52125515	Arl3	ARL3
52125516	Arl4a	ARL4A
52129197	Arl4c	ARL4C
52129209	Arl4d	ARL4D
52139422	Arl5a	ARL5A
52125520	Arl5b	ARL5B
52139249	Arl5c	ARL5C
52125703	Arl6	ARL6
52125517	Arl6ip1	ARL6IP1
52137820	Arl6ip4	ARL6IP4
52125519	Arl6ip5	ARL6IP5
52138466	Arl6ip6	ARL6IP6
52129779	Arl8a	ARL8A
52125512	Arl8b	ARL8B
52138165	Arl9	ARL9
52137580	Armc1	ARMC1
52130768	Armc10	ARMC10
52127486	Armc2	ARMC2
52133091	Armc3	ARMC3
52141113	Armc5	ARMC5
52140485	Armc6	ARMC6
52138267	Armc7	ARMC7
52131448	Armc8	ARMC8
52141114	Armc9	ARMC9
52141115	Armcx1	ARMCX1
52141117	Armcx3	ARMCX3
52141119	Armcx5	ARMCX5
52141121	Armcx6	ARMCX6
52125523	Arnt	ARNT
52125524	Arnt2	ARNT2
52137343	Arpc1a	ARPC1A
52126613	Arpc1b	ARPC1B
52130391	Arpc2	ARPC2
52139326	Arpc3	ARPC3
52128359	Arpc4	ARPC4
52125528	Arpc5	ARPC5
52125529	Arpc5l	ARPC5L
52125530	Arpp19	ARPP19
52125534	Arrb1	ARRB1
52125532	Arrb2	ARRB2
52125533	Arrdc1	ARRDC1
52136924	Arrdc2	ARRDC2
52125535	Arrdc3	ARRDC3
52141125	Arrdc4	ARRDC4
52137489	Arsa	ARSA
52140642	Arsb	ARSB
52135347	Arsg	ARSG
52138119	Arsk	ARSK
52140370	Art3	ART3
52139628	Art4	ART4
52139627	Art5	ART5
52138546	Arv1	ARV1
52134144	Arvcf	ARVCF
52125539	Arx	ARX
52138088	As3mt	AS3MT
52125540	Asah1	ASAH1
52132653	Asah2	ASAH2
52125541	Asap1	ASAP1
52127420	Asap2	ASAP2
52127419	Asap3	ASAP3
52137473	Asb1	ASB1
52127405	Asb11	ASB11
52125543	Asb13	ASB13
52138061	Asb16	ASB16
52125547	Asb2	ASB2
52137710	Asb4	ASB4
52137707	Asb6	ASB6
52139219	Asb7	ASB7
52137112	Asb8	ASB8
52137886	Ascc1	ASCC1
52138912	Ascc2	ASCC2
52134916	Ascc3	ASCC3
52141133	Ascl2	ASCL2
52125546	Asf1a	ASF1A
52125545	Asf1b	ASF1B
52125551	Asgr1	ASGR1
52125552	Asgr2	ASGR2
52129932	Ash1l	ASH1L
52128834	Ash2l	ASH2L
52125170	Asic1	ASIC1
52125168	Asic2	ASIC2
52125169	Asic3	ASIC3
52138886	Asl	ASL
52138857	Asns	ASNS
52133704	Asnsd1	ASNSD1
52138518	Aspa	ASPA
52137633	Aspdh	ASPDH
52138526	Aspg	ASPG
52141138	Asph	ASPH
52135077	Asphd1	ASPHD1
52129276	Aspm	ASPM
52141139	Asprv1	ASPRV1
52137683	Aspscr1	ASPSCR1
52137604	Asrgl1	ASRGL1
52125562	Ass1	ASS1
52125564	Aste1	ASTE1
52135258	Asxl1	ASXL1
52140467	Asxl2	ASXL2
52141141	Asxl3	ASXL3
52130559	Asz1	ASZ1
52125567	Atad1	ATAD1
52129865	Atad2	ATAD2
52134960	Atad2b	ATAD2B
52126160	Atad5	ATAD5
52132402	Atat1	ATAT1
52125793	Atcay	ATCAY
52138391	Ate1	ATE1
52137092	Atf1	ATF1
52125572	Atf2	ATF2
52138706	Atf3	ATF3
52125573	Atf4	ATF4
52129284	Atf5	ATF5
52129850	Atf6	ATF6
52138262	Atf6b	ATF6B
52135708	Atf7ip2	ATF7IP2
52131902	Atg10	ATG10
52140238	Atg12	ATG12
52138884	Atg13	ATG13
52137949	Atg14	ATG14
52128938	Atg16l1	ATG16L1
52134026	Atg16l2	ATG16L2
52134932	Atg2a	ATG2A
52134885	Atg2b	ATG2B
52125444	Atg3	ATG3
52125445	Atg4b	ATG4B
52125446	Atg4c	ATG4C
52131633	Atg4d	ATG4D
52125447	Atg5	ATG5
52129049	Atg7	ATG7
52138368	Atg9a	ATG9A
52138397	Atg9b	ATG9B
52126530	Atic	ATIC
52130157	Atl1	ATL1
52125518	Atl2	ATL2
52131484	Atl3	ATL3
52127010	Atm	ATM
52133701	Atmin	ATMIN
52137375	Atoh8	ATOH8
52140706	Atox1	ATOX1
52140532	Atp10a	ATP10A
52139637	Atp10b	ATP10B
52135446	Atp11a	ATP11A
52127287	Atp11b	ATP11B
52129076	Atp11c	ATP11C
52141144	Atp13a1	ATP13A1
52131760	Atp13a2	ATP13A2
52140700	Atp13a3	ATP13A3
52125581	Atp1a1	ATP1A1
52125613	Atp1a3	ATP1A3
52126156	Atp1b1	ATP1B1
52125583	Atp1b3	ATP1B3
52125166	Atp2a1	ATP2A1
52125584	Atp2a2	ATP2A2
52135284	Atp2a3	ATP2A3
52133122	Atp2b1	ATP2B1
52133123	Atp2b2	ATP2B2
52125585	Atp2b3	ATP2B3
52133124	Atp2b4	ATP2B4
52135034	Atp2c1	ATP2C1
52141148	Atp2c2	ATP2C2
52141149	Atp4a	ATP4A
52125602	Atp6ap1	ATP6AP1
52141152	Atp6ap2	ATP6AP2
52125607	Atp6v0a1	ATP6V0A1
52133837	Atp6v0a2	ATP6V0A2
52141153	Atp6v0a4	ATP6V0A4
52136811	Atp6v0b	ATP6V0B
52125606	Atp6v0c	ATP6V0C
52127277	Atp6v0d1	ATP6V0D1
52125608	Atp6v0e	ATP6V0E1
52137664	Atp6v0e2	ATP6V0E2
52125609	Atp6v1a	ATP6V1A
52125610	Atp6v1b2	ATP6V1B2
52125611	Atp6v1c1	ATP6V1C1
52138705	Atp6v1d	ATP6V1D
52125605	Atp6v1e1	ATP6V1E1
52139582	Atp6v1f	ATP6V1F
52136655	Atp6v1g1	ATP6V1G1
52136656	Atp6v1g2	ATP6V1G2
52126981	Atp6v1h	ATP6V1H
52125975	Atp7a	ATP7A
52135511	Atp7b	ATP7B
52138292	Atp8a1	ATP8A1
52140442	Atp8a2	ATP8A2
52134155	Atp8b1	ATP8B1
52129252	Atp8b2	ATP8B2
52141156	Atp9a	ATP9A
52134234	Atp9b	ATP9B
52131053	Atpaf1	ATPAF1
52131351	Atpaf2	ATPAF2
52135377	Atr	ATR
52133825	Atraid	ATRAID
52135594	Atrip	ATRIP
52141158	Atrn	ATRN
52125621	Atrnl1	ATRNL1
52136805	Atrx	ATRX
52125625	Atxn1	ATXN1
52135834	Atxn10	ATXN10
52141160	Atxn1l	ATXN1L
52135120	Atxn2	ATXN2
52137027	Atxn2l	ATXN2L
52141161	Atxn3	ATXN3
52141162	Atxn7	ATXN7
52134790	Atxn7l1	ATXN7L1
52125626	Atxn7l2	ATXN7L2
52125627	Atxn7l3	ATXN7L3
52141163	Atxn7l3b	ATXN7L3B
52136947	Auh	AUH
52141164	Aunip	AUNIP
52137036	Aup1	AUP1
