module,mouse_symbol,human_symbol,mapped
HPCS_excluding_operational_markers,Tigit,TIGIT,True
HPCS_excluding_operational_markers,Dusp10,DUSP10,True
HPCS_excluding_operational_markers,Ntm,NTM,True
HPCS_excluding_operational_markers,Trim15,TRIM15,True
HPCS_excluding_operational_markers,Tm4sf1,TM4SF1,True
HPCS_excluding_operational_markers,Chac1,CHAC1,True
HPCS_excluding_operational_markers,Creb5,CREB5,True
HPCS_excluding_operational_markers,5031415H12Rik,,False
HPCS_excluding_operational_markers,Cxcl1,,False
HPCS_excluding_operational_markers,Mcpt8,,False
HPCS_excluding_operational_markers,Trp53inp1,TP53INP1,True
HPCS_excluding_operational_markers,Abcg1,ABCG1,True
HPCS_excluding_operational_markers,Mapk11,MAPK11,True
HPCS_excluding_operational_markers,Klhl2,KLHL2,True
HPCS_excluding_operational_markers,Il24,IL24,True
HPCS_excluding_operational_markers,Zfand2a,ZFAND2A,True
HPCS_excluding_operational_markers,Tspan5,TSPAN5,True
HPCS_excluding_operational_markers,Ddit3,DDIT3,True
HPCS_excluding_operational_markers,Ascc3,ASCC3,True
HPCS_excluding_operational_markers,Sgms2,SGMS2,True
HPCS_excluding_operational_markers,Grpel2,GRPEL2,True
HPCS_excluding_operational_markers,Gdf15,GDF15,True
HPCS_excluding_operational_markers,Dennd2c,DENND2C,True
HPCS_excluding_operational_markers,Ly6a,,False
HPCS_excluding_operational_markers,Slc9a4,SLC9A4,True
HPCS_excluding_operational_markers,Asns,ASNS,True
HPCS_excluding_operational_markers,Ets1,ETS1,True
HPCS_excluding_operational_markers,Ugcg,UGCG,True
HPCS_excluding_operational_markers,Gcnt2,GCNT2,True
HPCS_excluding_operational_markers,Rnf19b,RNF19B,True
HPCS_excluding_operational_markers,Pvt1,,False
HPCS_excluding_operational_markers,3110043O21Rik,,False
HPCS_excluding_operational_markers,Cln8,CLN8,True
HPCS_excluding_operational_markers,Hmces,HMCES,True
HPCS_excluding_operational_markers,Maff,MAFF,True
HPCS_excluding_operational_markers,Tnfaip3,TNFAIP3,True
HPCS_excluding_operational_markers,Prkx,PRKX,True
HPCS_excluding_operational_markers,Tgfa,TGFA,True
HPCS_excluding_operational_markers,Pxdc1,PXDC1,True
HPCS_excluding_operational_markers,Cdk17,CDK17,True
HPCS_excluding_operational_markers,Slc1a4,SLC1A4,True
HPCS_excluding_operational_markers,Arid5a,ARID5A,True
HPCS_excluding_operational_markers,Iars,,False
HPCS_excluding_operational_markers,Ptgs2,PTGS2,True
HPCS_excluding_operational_markers,Relb,RELB,True
HPCS_excluding_operational_markers,Mxd1,MXD1,True
HPCS_excluding_operational_markers,Ppp1r13l,PPP1R13L,True
HPCS_excluding_operational_markers,Btg1,,False
HPCS_excluding_operational_markers,Slc38a2,SLC38A2,True
HPCS_excluding_operational_markers,Sema7a,SEMA7A,True
HPCS_excluding_operational_markers,Smcr8,SMCR8,True
HPCS_excluding_operational_markers,Cwh43,CWH43,True
HPCS_excluding_operational_markers,Aaed1,,False
HPCS_excluding_operational_markers,B930095G15Rik,,False
HPCS_excluding_operational_markers,Pvr,PVR,True
HPCS_excluding_operational_markers,Fbxo30,FBXO30,True
HPCS_excluding_operational_markers,Zdhhc5,ZDHHC5,True
HPCS_excluding_operational_markers,Chrnb1,CHRNB1,True
HPCS_excluding_operational_markers,Rhbdf2,RHBDF2,True
HPCS_excluding_operational_markers,Fam50a,FAM50A,True
HPCS_excluding_operational_markers,Cxcl16,CXCL16,True
HPCS_excluding_operational_markers,Itga2,ITGA2,True
HPCS_excluding_operational_markers,Hs3st1,HS3ST1,True
HPCS_excluding_operational_markers,Trib1,TRIB1,True
HPCS_excluding_operational_markers,Tgif1,TGIF1,True
HPCS_excluding_operational_markers,B3gnt2,B3GNT2,True
HPCS_excluding_operational_markers,Rdh10,RDH10,True
HPCS_excluding_operational_markers,Rhob,RHOB,True
HPCS_excluding_operational_markers,Gm28048,,False
HPCS_excluding_operational_markers,Chmp4c,CHMP4C,True
HPCS_excluding_operational_markers,Chic2,CHIC2,True
HPCS_excluding_operational_markers,Klf6,KLF6,True
HPCS_excluding_operational_markers,Bcl10,BCL10,True
HPCS_excluding_operational_markers,2610035D17Rik,,False
HPCS_excluding_operational_markers,Gm10157,,False
HPCS_excluding_operational_markers,Cars,,False
HPCS_excluding_operational_markers,Bax,BAX,True
HPCS_excluding_operational_markers,Agap1,,False
HPCS_excluding_operational_markers,Llph-ps2,,False
HPCS_excluding_operational_markers,Otud4,OTUD4,True
HPCS_excluding_operational_markers,Prkca,PRKCA,True
HPCS_excluding_operational_markers,AI413582,,False
HPCS_excluding_operational_markers,Procr,PROCR,True
HPCS_excluding_operational_markers,9930111J21Rik1,,False
HPCS_excluding_operational_markers,Fam83g,FAM83G,True
HPCS_excluding_operational_markers,Ocln,OCLN,True
HPCS_excluding_operational_markers,1810013L24Rik,,False
HPCS_excluding_operational_markers,Otud7b,OTUD7B,True
HPCS_excluding_operational_markers,Actn1,ACTN1,True
HPCS_excluding_operational_markers,Gtpbp4,GTPBP4,True
HPCS_excluding_operational_markers,Nars,,False
HPCS_excluding_operational_markers,Pik3c2a,PIK3C2A,True
HPCS_without_ADI_or_operational_markers,Il23a,IL23A,True
HPCS_without_ADI_or_operational_markers,Rrad,RRAD,True
HPCS_without_ADI_or_operational_markers,Tnf,TNF,True
HPCS_without_ADI_or_operational_markers,Abtb2,ABTB2,True
HPCS_without_ADI_or_operational_markers,Lif,LIF,True
HPCS_without_ADI_or_operational_markers,Tnfrsf11b,TNFRSF11B,True
HPCS_without_ADI_or_operational_markers,Tigit,TIGIT,True
HPCS_without_ADI_or_operational_markers,Dusp10,DUSP10,True
HPCS_without_ADI_or_operational_markers,Ntm,NTM,True
HPCS_without_ADI_or_operational_markers,Trim15,TRIM15,True
HPCS_without_ADI_or_operational_markers,Tm4sf1,TM4SF1,True
HPCS_without_ADI_or_operational_markers,Chac1,CHAC1,True
HPCS_without_ADI_or_operational_markers,Creb5,CREB5,True
HPCS_without_ADI_or_operational_markers,5031415H12Rik,,False
HPCS_without_ADI_or_operational_markers,Cxcl1,,False
HPCS_without_ADI_or_operational_markers,Mcpt8,,False
HPCS_without_ADI_or_operational_markers,Trp53inp1,TP53INP1,True
HPCS_without_ADI_or_operational_markers,Abcg1,ABCG1,True
HPCS_without_ADI_or_operational_markers,Mapk11,MAPK11,True
HPCS_without_ADI_or_operational_markers,Klhl2,KLHL2,True
HPCS_without_ADI_or_operational_markers,Il24,IL24,True
HPCS_without_ADI_or_operational_markers,Zfand2a,ZFAND2A,True
HPCS_without_ADI_or_operational_markers,Tspan5,TSPAN5,True
HPCS_without_ADI_or_operational_markers,Ddit3,DDIT3,True
HPCS_without_ADI_or_operational_markers,Ascc3,ASCC3,True
HPCS_without_ADI_or_operational_markers,Sgms2,SGMS2,True
HPCS_without_ADI_or_operational_markers,Grpel2,GRPEL2,True
HPCS_without_ADI_or_operational_markers,Dennd2c,DENND2C,True
HPCS_without_ADI_or_operational_markers,Slc9a4,SLC9A4,True
HPCS_without_ADI_or_operational_markers,Asns,ASNS,True
HPCS_without_ADI_or_operational_markers,Ets1,ETS1,True
HPCS_without_ADI_or_operational_markers,Ugcg,UGCG,True
HPCS_without_ADI_or_operational_markers,Gcnt2,GCNT2,True
HPCS_without_ADI_or_operational_markers,Rnf19b,RNF19B,True
HPCS_without_ADI_or_operational_markers,Pvt1,,False
HPCS_without_ADI_or_operational_markers,3110043O21Rik,,False
HPCS_without_ADI_or_operational_markers,Cln8,CLN8,True
HPCS_without_ADI_or_operational_markers,Hmces,HMCES,True
HPCS_without_ADI_or_operational_markers,Maff,MAFF,True
HPCS_without_ADI_or_operational_markers,Tnfaip3,TNFAIP3,True
HPCS_without_ADI_or_operational_markers,Prkx,PRKX,True
HPCS_without_ADI_or_operational_markers,Tgfa,TGFA,True
HPCS_without_ADI_or_operational_markers,Pxdc1,PXDC1,True
HPCS_without_ADI_or_operational_markers,Cdk17,CDK17,True
HPCS_without_ADI_or_operational_markers,Slc1a4,SLC1A4,True
HPCS_without_ADI_or_operational_markers,Arid5a,ARID5A,True
HPCS_without_ADI_or_operational_markers,Iars,,False
HPCS_without_ADI_or_operational_markers,Ptgs2,PTGS2,True
HPCS_without_ADI_or_operational_markers,Relb,RELB,True
HPCS_without_ADI_or_operational_markers,Mxd1,MXD1,True
HPCS_without_ADI_or_operational_markers,Ppp1r13l,PPP1R13L,True
HPCS_without_ADI_or_operational_markers,Btg1,,False
HPCS_without_ADI_or_operational_markers,Slc38a2,SLC38A2,True
HPCS_without_ADI_or_operational_markers,Sema7a,SEMA7A,True
HPCS_without_ADI_or_operational_markers,Smcr8,SMCR8,True
HPCS_without_ADI_or_operational_markers,Cwh43,CWH43,True
HPCS_without_ADI_or_operational_markers,Aaed1,,False
HPCS_without_ADI_or_operational_markers,B930095G15Rik,,False
HPCS_without_ADI_or_operational_markers,Pvr,PVR,True
HPCS_without_ADI_or_operational_markers,Fbxo30,FBXO30,True
HPCS_without_ADI_or_operational_markers,Zdhhc5,ZDHHC5,True
HPCS_without_ADI_or_operational_markers,Chrnb1,CHRNB1,True
HPCS_without_ADI_or_operational_markers,Rhbdf2,RHBDF2,True
HPCS_without_ADI_or_operational_markers,Fam50a,FAM50A,True
HPCS_without_ADI_or_operational_markers,Itga2,ITGA2,True
HPCS_without_ADI_or_operational_markers,Hs3st1,HS3ST1,True
HPCS_without_ADI_or_operational_markers,Trib1,TRIB1,True
HPCS_without_ADI_or_operational_markers,Tgif1,TGIF1,True
HPCS_without_ADI_or_operational_markers,B3gnt2,B3GNT2,True
HPCS_without_ADI_or_operational_markers,Rdh10,RDH10,True
HPCS_without_ADI_or_operational_markers,Rhob,RHOB,True
HPCS_without_ADI_or_operational_markers,Gm28048,,False
HPCS_without_ADI_or_operational_markers,Chmp4c,CHMP4C,True
HPCS_without_ADI_or_operational_markers,Chic2,CHIC2,True
HPCS_without_ADI_or_operational_markers,Bcl10,BCL10,True
HPCS_without_ADI_or_operational_markers,2610035D17Rik,,False
HPCS_without_ADI_or_operational_markers,Gm10157,,False
HPCS_without_ADI_or_operational_markers,Cars,,False
HPCS_without_ADI_or_operational_markers,Agap1,,False
HPCS_without_ADI_or_operational_markers,Llph-ps2,,False
HPCS_without_ADI_or_operational_markers,Otud4,OTUD4,True
HPCS_without_ADI_or_operational_markers,Prkca,PRKCA,True
HPCS_without_ADI_or_operational_markers,AI413582,,False
HPCS_without_ADI_or_operational_markers,Procr,PROCR,True
HPCS_without_ADI_or_operational_markers,9930111J21Rik1,,False
HPCS_without_ADI_or_operational_markers,Fam83g,FAM83G,True
HPCS_without_ADI_or_operational_markers,Ocln,OCLN,True
HPCS_without_ADI_or_operational_markers,1810013L24Rik,,False
HPCS_without_ADI_or_operational_markers,Otud7b,OTUD7B,True
HPCS_without_ADI_or_operational_markers,Gtpbp4,GTPBP4,True
HPCS_without_ADI_or_operational_markers,Pik3c2a,PIK3C2A,True
ADI_published_holdout,Cdkn1a,CDKN1A,True
ADI_published_holdout,Anxa1,ANXA1,True
ADI_published_holdout,Krt18,KRT18,True
ADI_published_holdout,Myl12a,MYL12A,True
ADI_published_holdout,Tnfrsf12a,TNFRSF12A,True
ADI_published_holdout,S100a10,S100A10,True
ADI_published_holdout,Lgals3,LGALS3,True
ADI_published_holdout,S100a6,S100A6,True
ADI_published_holdout,Rps27l,RPS27L,True
ADI_published_holdout,Tpm1,TPM1,True
ADI_published_holdout,Anxa3,ANXA3,True
ADI_published_holdout,S100a11,S100A11,True
ADI_published_holdout,Anxa2,,False
ADI_published_holdout,Anxa5,ANXA5,True
ADI_published_holdout,2200002D01Rik,C19orf33,True
ADI_published_holdout,Cryab,CRYAB,True
ADI_published_holdout,Cd81,CD81,True
ADI_published_holdout,Cstb,CSTB,True
ADI_published_holdout,Ubb,UBB,True
ADI_published_holdout,Krt7,KRT7,True
ADI_published_holdout,Epcam,EPCAM,True
ADI_published_holdout,Sfn,SFN,True
ADI_published_holdout,Hspb1,HSPB1,True
ADI_published_holdout,Msn,MSN,True
ADI_published_holdout,Ccng1,CCNG1,True
ADI_published_holdout,Rpl19,RPL19,True
ADI_published_holdout,Rps5,RPS5,True
ADI_published_holdout,Rplp0,RPLP0,True
ADI_published_holdout,Sqstm1,SQSTM1,True
ADI_published_holdout,Igfbp7,IGFBP7,True
ADI_published_holdout,Calm2,CALM2,True
ADI_published_holdout,Eef1a1,EEF1A1,True
ADI_published_holdout,Pkm,PKM,True
ADI_published_holdout,Arpc2,ARPC2,True
ADI_published_holdout,Rps19,RPS19,True
ADI_published_holdout,B2m,B2M,True
ADI_published_holdout,Hsp90ab1,HSP90AB1,True
ADI_published_holdout,Esd,ESD,True
ADI_published_holdout,Cystm1,CYSTM1,True
ADI_published_holdout,Clu,CLU,True
ADI_published_holdout,Rpl13a,RPL13A,True
ADI_published_holdout,Rps11,RPS11,True
ADI_published_holdout,Rps16,RPS16,True
ADI_published_holdout,Psmd8,PSMD8,True
ADI_published_holdout,Rpl13,RPL13,True
ADI_published_holdout,Rpl37,RPL37,True
ADI_published_holdout,Mif,MIF,True
ADI_published_holdout,H2-D1,,False
ADI_published_holdout,Rps17,RPS17,True
ADI_published_holdout,Rpl17,RPL17,True
ADI_published_holdout,Rps2,RPS2,True
ADI_published_holdout,Myl12b,MYL12B,True
ADI_published_holdout,Cxcl16,CXCL16,True
ADI_published_holdout,Dstn,DSTN,True
ADI_published_holdout,Rps3,RPS3,True
ADI_published_holdout,Eif1,EIF1,True
ADI_published_holdout,Hbegf,HBEGF,True
ADI_published_holdout,Tnip3,TNIP3,True
ADI_published_holdout,Itgb1,ITGB1,True
ADI_published_holdout,Rps14,RPS14,True
ADI_published_holdout,Rpl32,RPL32,True
ADI_published_holdout,Rpl23,RPL23,True
ADI_published_holdout,Rpl15,RPL15,True
ADI_published_holdout,Txn1,TXN,True
ADI_published_holdout,Rps26,RPS26,True
ADI_published_holdout,Cox6a1,COX6A1,True
ADI_published_holdout,Tceb2,,False
ADI_published_holdout,Ndufb6,NDUFB6,True
ADI_published_holdout,Emp2,EMP2,True
ADI_published_holdout,Rpl18a,RPL18A,True
ADI_published_holdout,Rps18,,False
ADI_published_holdout,Gadd45b,GADD45B,True
ADI_published_holdout,Rps27a,RPS27A,True
ADI_published_holdout,Rpl4,RPL4,True
ADI_published_holdout,Rplp2,,False
ADI_published_holdout,Rps3a1,RPS3A,True
ADI_published_holdout,Cd63,CD63,True
ADI_published_holdout,Tpm4,TPM4,True
ADI_published_holdout,Sbds,SBDS,True
ADI_published_holdout,Cyr61,,False
ADI_published_holdout,Rtn4,RTN4,True
ADI_published_holdout,Krt19,KRT19,True
ADI_published_holdout,Rps23,RPS23,True
ADI_published_holdout,Pttg1ip,PTTG1IP,True
ADI_published_holdout,Sprr1a,,False
ADI_published_holdout,Eif2s2,EIF2S2,True
ADI_published_holdout,Rpl26,RPL26,True
ADI_published_holdout,Actb,,False
ADI_published_holdout,Cast,CAST,True
ADI_published_holdout,Rpl23a,RPL23A,True
ADI_published_holdout,Timp2,TIMP2,True
ADI_published_holdout,F11r,F11R,True
ADI_published_holdout,Tspo,TSPO,True
ADI_published_holdout,Rpl12,RPL12,True
ADI_published_holdout,Calm1,CALM1,True
ADI_published_holdout,Npm1,NPM1,True
ADI_published_holdout,Rps7,RPS7,True
ADI_published_holdout,Ndufa4,NDUFA4,True
ADI_published_holdout,Rps13,RPS13,True
ADI_published_holdout,S100a14,S100A14,True
ADI_published_holdout,Ybx1,YBX1,True
ADI_published_holdout,Lmo7,LMO7,True
ADI_published_holdout,Rps20,RPS20,True
ADI_published_holdout,Rpl9,,False
ADI_published_holdout,Gas5,,False
ADI_published_holdout,Tbrg1,TBRG1,True
ADI_published_holdout,Perp,PERP,True
ADI_published_holdout,Rpl14,RPL14,True
ADI_published_holdout,Rps15,RPS15,True
ADI_published_holdout,Rps6,RPS6,True
ADI_published_holdout,Rps12,RPS12,True
ADI_published_holdout,Psma7,PSMA7,True
ADI_published_holdout,Psma2,PSMA2,True
ADI_published_holdout,Rpl38,RPL38,True
ADI_published_holdout,Rps25,RPS25,True
ADI_published_holdout,Pabpc1,,False
ADI_published_holdout,Rplp1,RPLP1,True
ADI_published_holdout,Uba52,,False
ADI_published_holdout,Lmna,LMNA,True
ADI_published_holdout,Txnl1,TXNL1,True
ADI_published_holdout,Rps29,RPS29,True
ADI_published_holdout,Cdc42,CDC42,True
ADI_published_holdout,Prr13,PRR13,True
ADI_published_holdout,Myl6,MYL6,True
ADI_published_holdout,H2-K1,,False
ADI_published_holdout,Ifrd1,IFRD1,True
ADI_published_holdout,Rps15a,RPS15A,True
ADI_published_holdout,Hsp90aa1,HSP90AA1,True
ADI_published_holdout,Rpl6,RPL6,True
ADI_published_holdout,F3,F3,True
ADI_published_holdout,Rnh1,RNH1,True
ADI_published_holdout,Rpl22,RPL22,True
ADI_published_holdout,Serbp1,SERBP1,True
ADI_published_holdout,Eif5,EIF5,True
ADI_published_holdout,Eif3c,,False
ADI_published_holdout,Akr1b8,,False
ADI_published_holdout,Itgb6,ITGB6,True
ADI_published_holdout,Rpl7,RPL7,True
ADI_published_holdout,Rpl11,,False
ADI_published_holdout,Tpm3,TPM3,True
ADI_published_holdout,Psmb3,PSMB3,True
ADI_published_holdout,Hspa9,HSPA9,True
ADI_published_holdout,Cox7c,COX7C,True
ADI_published_holdout,Rac1,RAC1,True
ADI_published_holdout,Tpd52,TPD52,True
ADI_published_holdout,Rpl35a,RPL35A,True
ADI_published_holdout,Psmd4,PSMD4,True
ADI_published_holdout,Clic1,CLIC1,True
ADI_published_holdout,Ncl,NCL,True
ADI_published_holdout,Capns1,CAPNS1,True
ADI_published_holdout,Mfge8,MFGE8,True
ADI_published_holdout,Gnb2l1,,False
ADI_published_holdout,Hnrnpc,,False
ADI_published_holdout,Rps24,RPS24,True
ADI_published_holdout,Rpl27a,RPL27A,True
ADI_published_holdout,Rps8,RPS8,True
ADI_published_holdout,Mdm2,MDM2,True
ADI_published_holdout,Atp6v0e,ATP6V0E1,True
ADI_published_holdout,Rpl27,RPL27,True
ADI_published_holdout,Ctnna1,CTNNA1,True
ADI_published_holdout,Sat1,SAT1,True
ADI_published_holdout,Rpl31,RPL31,True
ADI_published_holdout,Serpinb6a,,False
ADI_published_holdout,Edf1,EDF1,True
ADI_published_holdout,Ghitm,GHITM,True
ADI_published_holdout,Cd9,CD9,True
ADI_published_holdout,Psmc1,PSMC1,True
ADI_published_holdout,Taldo1,TALDO1,True
ADI_published_holdout,Nars,,False
ADI_published_holdout,Rpl41,,False
ADI_published_holdout,Arpp19,ARPP19,True
ADI_published_holdout,Tax1bp1,TAX1BP1,True
ADI_published_holdout,Chchd2,CHCHD2,True
ADI_published_holdout,Pfn1,PFN1,True
ADI_published_holdout,Ppp1r15a,PPP1R15A,True
ADI_published_holdout,Rpl35,,False
ADI_published_holdout,Sparc,SPARC,True
ADI_published_holdout,Cd151,CD151,True
ADI_published_holdout,Rps27,,False
ADI_published_holdout,Cald1,CALD1,True
ADI_published_holdout,Fau,FAU,True
ADI_published_holdout,Hnrnpab,HNRNPAB,True
ADI_published_holdout,Cox7a2,,False
ADI_published_holdout,Rpl7a,RPL7A,True
ADI_published_holdout,Areg,AREG,True
ADI_published_holdout,Btf3,BTF3,True
ADI_published_holdout,Morf4l1,MORF4L1,True
ADI_published_holdout,Mal,MAL,True
ADI_published_holdout,Atf3,ATF3,True
ADI_published_holdout,Serinc1,SERINC1,True
ADI_published_holdout,Vmp1,VMP1,True
ADI_published_holdout,Ctsl,,False
ADI_published_holdout,H3f3b,,False
ADI_published_holdout,Cd44,CD44,True
ADI_published_holdout,Phlda1,PHLDA1,True
ADI_published_holdout,Icam1,ICAM1,True
ADI_published_holdout,Psmb4,PSMB4,True
ADI_published_holdout,Ppia,PPIA,True
ADI_published_holdout,Nme1,NME1,True
ADI_published_holdout,Actn1,ACTN1,True
ADI_published_holdout,Rpl34,RPL34,True
ADI_published_holdout,Psmd7,PSMD7,True
ADI_published_holdout,Pa2g4,PA2G4,True
ADI_published_holdout,Arpc5,ARPC5,True
ADI_published_holdout,Ywhah,YWHAH,True
ADI_published_holdout,1500012F01Rik,,False
ADI_published_holdout,Btg2,BTG2,True
ADI_published_holdout,Cltb,CLTB,True
ADI_published_holdout,Rpl29,,False
ADI_published_holdout,Slc25a3,SLC25A3,True
ADI_published_holdout,Ndnf,NDNF,True
ADI_published_holdout,Rps10,RPS10,True
ADI_published_holdout,Ubxn1,UBXN1,True
ADI_published_holdout,Pls3,PLS3,True
ADI_published_holdout,Rap2b,RAP2B,True
ADI_published_holdout,Rpl28,RPL28,True
ADI_published_holdout,Psmb1,PSMB1,True
ADI_published_holdout,Ube2d3,UBE2D3,True
ADI_published_holdout,Rpl8,RPL8,True
ADI_published_holdout,Tuba1c,TUBA1C,True
ADI_published_holdout,Ftl1,,False
ADI_published_holdout,Ptp4a2,PTP4A2,True
ADI_published_holdout,Tceb1,,False
ADI_published_holdout,Pafah1b1,PAFAH1B1,True
ADI_published_holdout,Prdx1,PRDX1,True
ADI_published_holdout,D8Ertd738e,C19orf53,True
ADI_published_holdout,Cox5b,,False
ADI_published_holdout,Commd3,COMMD3,True
ADI_published_holdout,Capzb,CAPZB,True
ADI_published_holdout,Rpl18,RPL18,True
ADI_published_holdout,Rpl5,RPL5,True
ADI_published_holdout,Tmsb10,TMSB10,True
ADI_published_holdout,Rhoa,,False
ADI_published_holdout,Psmd12,PSMD12,True
ADI_published_holdout,Snx6,SNX6,True
ADI_published_holdout,Hist1h2bc,,False
ADI_published_holdout,Rsl1d1,RSL1D1,True
ADI_published_holdout,Tpd52l2,TPD52L2,True
ADI_published_holdout,Psmc3,PSMC3,True
ADI_published_holdout,Nop58,NOP58,True
ADI_published_holdout,Klf6,KLF6,True
ADI_published_holdout,Tmbim4,TMBIM4,True
ADI_published_holdout,Canx,CANX,True
ADI_published_holdout,Rpl36,RPL36,True
ADI_published_holdout,Naca,NACA,True
ADI_published_holdout,Lamp1,LAMP1,True
ADI_published_holdout,Bax,BAX,True
ADI_published_holdout,Tagln2,TAGLN2,True
ADI_published_holdout,Txnrd1,TXNRD1,True
ADI_published_holdout,Ran,,False
ADI_published_holdout,Psme2,,False
ADI_published_holdout,Aldoa,,False
ADI_published_holdout,Eif6,EIF6,True
ADI_published_holdout,Cox6b1,COX6B1,True
ADI_published_holdout,Rab2a,RAB2A,True
ADI_published_holdout,Ube2k,UBE2K,True
ADI_published_holdout,Cct6a,CCT6A,True
ADI_published_holdout,Eef1b2,EEF1B2,True
ADI_published_holdout,Rps9,RPS9,True
ADI_published_holdout,Fkbp3,FKBP3,True
ADI_published_holdout,Cycs,,False
ADI_published_holdout,Lamc2,LAMC2,True
